Category,Metric,cdsap-72_varianta_main Mean,cdsap-72_variantb_gradle_8_13 Mean,cdsap-72_varianta_main P50,cdsap-72_variantb_gradle_8_13 P50,cdsap-72_varianta_main P90,cdsap-72_variantb_gradle_8_13 P90,Unit
Build,Build time,210120,213756,210930,213191,216727,223733,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,37,40,37,49,43,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,17,9,10,45,45,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3916,3997,2786,2817,9671,9744,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,658,677,410,421,1387,1411,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,46,44,36,36,102,97,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,2,2,5,6,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,14,15,8,8,16,20,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,89,84,89,110,194,177,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,58,62,62,65,104,123,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,18,22,17,19,35,49,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,17,18,17,16,28,33,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,13,12,12,20,23,ms
Task Type,com.android.build.gradle.tasks.MergeResources,265,281,31,31,181,180,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,507,528,130,127,1347,1673,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,80,77,34,38,192,173,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,45,39,10,10,40,41,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,13,11,11,24,28,ms
