Category,Metric,varianta_main Mean,variantb_parallel_gc Mean,varianta_main P50,variantb_parallel_gc P50,varianta_main P90,variantb_parallel_gc P90,Unit
Build,Build time,211115,199094,210352,197896,221154,207407,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,38,39,38,47,43,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,16,10,8,45,44,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3904,3656,2768,2537,10402,9933,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,662,627,409,371,1364,1337,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,46,44,34,33,98,95,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,8,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,13,8,8,16,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,80,91,92,90,147,131,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,59,67,60,65,112,102,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,23,24,20,20,43,46,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,19,21,17,17,32,38,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,12,12,11,11,22,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,271,284,30,30,185,177,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,518,497,133,120,1535,1351,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,85,79,38,35,188,180,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,62,10,9,39,39,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,13,11,10,25,27,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,6,6,6,13,12,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,42,60,22,20,45,41,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,19,20,11,10,29,28,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,29,30,18,17,51,48,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,586,564,348,326,1122,962,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,79,89,15,15,221,214,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,150,96,37,36,398,99,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1470,1366,1327,1168,2245,2103,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,10,8,8,19,19,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3670,3513,2980,2835,6484,6382,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,366,328,105,100,954,724,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,140,129,20,19,61,52,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,74,73,9,9,353,358,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,31,31,29,28,56,60,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,86,88,79,85,154,157,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,18,11,11,24,23,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,26,26,11,11,65,67,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,14,14,12,29,30,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,5,4,3,2,14,9,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,20,19,18,17,29,29,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,311,309,117,118,759,767,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,105,104,32,30,279,292,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,12922,12117,79,75,39382,36874,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9915,8943,1323,1099,39920,37687,ms
