Category,Metric,varianta_main Mean,variantb_gradle_8_13 Mean,varianta_main P50,variantb_gradle_8_13 P50,varianta_main P90,variantb_gradle_8_13 P90,Unit
Build,Build time,41987,41906,41528,41461,44244,44671,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,4,3,8,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,36,39,37,64,40,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,49,40,46,41,73,46,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8856,8734,8473,8578,14296,12454,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,3,4,4,5,7,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,94,92,95,94,107,102,ms
Task Path,:build-logic:convention:compileKotlin,12604,12330,12116,12085,14699,14534,ms
Task Path,:core:model:compileKotlin,5108,5137,5116,5117,5218,5298,ms
All processes cpu,Max,96.7,96.1,97.0,96.0,98,98,%
All processes memory,Max,4.04,4.02,3.99,3.97,4.47,4.25,Gb
Build process cpu,Max,82.8,83.2,83.5,83.0,86,88,%
Build processes memory,Max,1.76,1.74,1.71,1.7,2.19,1.97,Gb
Build child processes cpu,Max,87.6,86.3,87.0,86.0,91,88,%
Build child processes memory,Max,1.25,1.24,1.25,1.25,1.27,1.26,Gb
