Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Build,Build time,215498,200624,216187,200629,224890,206831,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,38,40,37,49,47,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,14,10,8,44,42,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3969,3649,2838,2573,10742,9957,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,656,631,415,381,1320,1420,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,43,35,33,98,89,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,5,3,4,4,13,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,16,14,9,8,19,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,76,83,79,81,155,133,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,76,92,69,74,169,194,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,25,20,26,54,47,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,21,23,16,17,53,37,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,11,12,11,22,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,272,273,31,28,190,265,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,583,473,126,130,1785,1250,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,89,110,37,31,220,357,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,64,10,9,41,37,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,13,14,10,24,25,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,59,60,22,20,45,44,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,18,16,11,10,35,28,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,25,18,17,51,46,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,603,615,356,302,1250,836,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,74,121,15,14,238,197,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,50,102,33,34,81,202,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1461,1392,1302,1240,2208,2279,ms
