Category,Metric,varianta_main_4g Mean,variantb_main_6g Mean,varianta_main_4g P50,variantb_main_6g P50,varianta_main_4g P90,variantb_main_6g P90,Unit
Build,Build time,43595,43296,43600,43189,45901,45375,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,4,4,9,7,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,38,39,39,43,44,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,45,41,44,40,61,48,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8703,8484,8252,8343,14060,12102,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,4,3,4,4,6,5,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,98,104,97,103,116,120,ms
Task Path,:build-logic:convention:compileKotlin,12351,11858,11966,11879,14488,12331,ms
Task Path,:core:model:compileKotlin,5056,5111,5077,5092,5208,5299,ms
All processes cpu,Max,96.6,96.6,97.0,97.0,98,97,%
All processes memory,Max,4.1,3.94,4.1,3.95,4.33,4.01,Gb
Build process cpu,Max,82.6,81.9,82.5,82.0,86,83,%
Build processes memory,Max,1.79,1.54,1.81,1.55,2.03,1.64,Gb
Build child processes cpu,Max,87.3,86.5,87.5,86.0,90,88,%
Build child processes memory,Max,1.3,1.37,1.3,1.38,1.31,1.4,Gb
