Category,Metric,cdsap-69_varianta_main Mean,cdsap-69_variantb_no_compress Mean,cdsap-69_varianta_main P50,cdsap-69_variantb_no_compress P50,cdsap-69_varianta_main P90,cdsap-69_variantb_no_compress P90,Unit
Build,Build time,36498,36449,36447,36178,38930,37990,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,7,6,7,7,8,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,38,41,39,51,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,44,45,45,45,50,50,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,12183,12247,12068,12129,12999,12947,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,4,4,4,4,7,8,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,109,94,100,93,187,103,ms
Task Type,org.gradle.configuration.Help,6,7,6,7,8,13,ms
Task Path,:build-logic:convention:compileKotlin,12183,12247,12068,12129,12999,12947,ms
All processes cpu,Max,96.6,95.8,96.5,96.0,98,97,%
All processes memory,Max,3.56,3.84,3.51,3.63,3.89,4.7,Gb
Build process cpu,Max,81.8,82.4,81.0,82.0,85,85,%
Build processes memory,Max,1.82,2.1,1.76,1.92,2.14,2.98,Gb
Build child processes cpu,Max,87.9,87.2,87.5,87.0,90,90,%
Build child processes memory,Max,0.69,0.69,0.69,0.69,0.7,0.71,Gb
