Category,Metric,cdsap-79_varianta_main Mean,cdsap-79_variantb_gradle_8_13 Mean,cdsap-79_varianta_main P50,cdsap-79_variantb_gradle_8_13 P50,cdsap-79_varianta_main P90,cdsap-79_variantb_gradle_8_13 P90,Unit
Build,Build time,41929,41611,41664,41408,44608,43772,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,3,3,8,7,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,41,39,38,44,67,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,44,45,43,43,59,61,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8841,8584,8418,8550,14515,12156,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,3,4,4,5,5,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,1,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,101,92,97,93,136,102,ms
Task Path,:build-logic:convention:compileKotlin,12567,12035,11975,12033,15021,12617,ms
Task Path,:core:model:compileKotlin,5115,5134,5087,5106,5300,5414,ms
All processes cpu,Max,96.8,96.9,97.0,97.0,98,98,%
All processes memory,Max,4.12,4.04,3.99,3.98,4.7,4.4,Gb
Build process cpu,Max,83.2,84.4,83.0,83.5,90,89,%
Build processes memory,Max,1.85,1.76,1.7,1.7,2.4,2.08,Gb
Build child processes cpu,Max,86.6,85.7,86.5,85.0,89,88,%
Build child processes memory,Max,1.24,1.24,1.24,1.24,1.26,1.25,Gb
