Category,Metric,varianta_main Mean,variantb_gradle_8_13 Mean,varianta_main P50,variantb_gradle_8_13 P50,varianta_main P90,variantb_gradle_8_13 P90,Unit
Build,Build time,64618,65240,64778,64953,65716,67157,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,3,4,3,8,8,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,42,41,40,42,64,70,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,62,53,65,51,83,76,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,11697,11775,11461,11524,17596,17921,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,3,3,3,3,5,6,ms
Task Type,org.gradle.api.DefaultTask,0,0,1,1,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,69,67,67,67,86,76,ms
Task Path,:build-logic:convention:compileKotlin,17313,17567,17352,17378,18012,19253,ms
Task Path,:core:model:compileKotlin,6081,5983,6113,5993,6251,6172,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,5.89,5.91,5.91,5.92,5.99,6.01,Gb
Build process cpu,Max,94.2,93.8,94.0,94.0,95,94,%
Build processes memory,Max,3.62,3.64,3.63,3.66,3.7,3.74,Gb
Build child processes cpu,Max,90.0,89.1,90.0,89.0,92,91,%
Build child processes memory,Max,1.25,1.25,1.25,1.25,1.26,1.26,Gb
