Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Build,Build time,44114,42712,43854,42433,47650,45304,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,3,3,3,3,8,7,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,48,40,42,39,73,52,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,46,48,45,48,56,72,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,8776,8711,8710,8596,12531,12585,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,4,3,5,3,7,7,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,93,93,94,93,96,101,ms
All processes cpu,Max,96.6,96.0,96.5,96.0,98,97,%
All processes memory,Max,4.14,4.2,4.13,4.2,4.53,4.23,Gb
Build process cpu,Max,82.2,80.8,82.0,81.0,83,82,%
Build processes memory,Max,1.79,1.91,1.77,1.91,2.16,1.93,Gb
Build child processes cpu,Max,86.8,87.7,86.5,88.0,90,89,%
Build child processes memory,Max,1.3,1.25,1.3,1.24,1.32,1.27,Gb
