Category,Metric,varianta_main_4_workers Mean,variantb_kotlin_compiler_3_workers Mean,varianta_main_4_workers P50,variantb_kotlin_compiler_3_workers P50,varianta_main_4_workers P90,variantb_kotlin_compiler_3_workers P90,Unit
Build,Build time,214811,214910,214793,211012,222305,226064,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.13,0.14,0.14,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.56,3.56,3.56,3.5,3.68,3.75,
Gradle process state,Gradle-Process-usage,2.16,1.93,2.24,1.85,3.13,2.98,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.11,0.09,0.11,0.1,0.13,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.8,2.8,2.8,2.76,2.9,2.97,
Kotlin process state,Kotlin-Process-usage,1.36,1.39,1.39,1.27,2.03,2.21,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,40,40,40,46,48,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,9,9,45,46,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3945,4067,2818,2833,10446,9865,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,659,754,406,446,1415,1718,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,47,35,37,96,98,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,13,8,8,17,18,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,73,79,88,95,141,159,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,83,88,88,99,176,185,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,24,24,24,23,44,47,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,28,29,17,20,78,79,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,12,12,12,22,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,274,266,31,30,200,257,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,512,503,131,126,1575,1431,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,88,88,41,44,200,190,ms
