Category,Metric,varianta_main_4_workers Mean,variantb_kotlin_compiler_3_workers Mean,varianta_main_4_workers P50,variantb_kotlin_compiler_3_workers P50,varianta_main_4_workers P90,variantb_kotlin_compiler_3_workers P90,Unit
Build,Build time,214811,214910,214793,211012,222305,226064,ms
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.13,0.14,0.14,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.11,0.09,0.11,0.1,0.13,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3945,4067,2818,2833,10446,9865,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1452,1347,1339,1051,2225,2300,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3699,3812,3008,3073,6579,6505,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9919,9548,1183,1083,41063,35090,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1299,1170,1152,1042,1815,1745,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1811,1906,1777,1666,2909,3051,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3001,2593,2788,2555,4740,3316,ms
Task Path,:build-logic:convention:compileKotlin,12274,12402,12101,12166,13017,12994,ms
Task Path,:app:checkDemoDebugAarMetadata,1338,1316,1298,1262,1705,1688,ms
Task Path,:app:parseDemoDebugLocalResources,1782,1732,1450,1432,3661,4245,ms
Task Path,:app:mergeDemoDebugResources,5299,5197,5320,5179,5852,5868,ms
Task Path,:app:processDemoDebugResources,2120,2174,2092,2152,2383,2474,ms
Task Path,:core:common:kspKotlin,12262,12561,12262,12535,12958,13441,ms
Task Path,:core:model:compileKotlin,14248,14855,14236,14862,14965,15824,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3498,3964,3459,3924,3798,4460,ms
Task Path,:core:common:compileKotlin,2532,2950,2515,2924,2851,3190,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6538,7032,6541,7009,7003,7426,ms
Task Path,:core:common:compileJava,1604,1872,1589,1845,1824,2129,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2936,2628,2938,2613,3220,2835,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2429,1551,2421,947,2671,2901,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4093,4312,4097,4263,4326,4745,ms
Task Path,:core:network:kspDemoDebugKotlin,3745,4209,3739,4156,4008,4731,ms
Task Path,:core:database:kspProdDebugKotlin,8861,9651,8891,9616,9308,10242,ms
Task Path,:core:database:kspDemoDebugKotlin,10715,11115,10705,10985,11320,11810,ms
