Category,Metric,varianta_using_xms Mean,variantb_no_xms Mean,varianta_using_xms P50,variantb_no_xms P50,varianta_using_xms P90,variantb_no_xms P90,Unit
Build,Build time,212565,219916,211546,217186,221784,229056,ms
Gradle process state,Gradle-Process-capacity,4.0,3.62,4.0,3.64,4.0,3.97,
Gradle process state,Gradle-Process-gcTime,0.13,0.14,0.13,0.14,0.14,0.15,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.52,3.64,3.51,3.6,3.68,3.8,
Gradle process state,Gradle-Process-usage,2.28,1.76,2.42,1.47,3.11,2.82,
Kotlin process state,Kotlin-Process-capacity,4.0,2.16,4.0,2.19,4.0,2.62,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.1,0.08,0.1,0.11,0.12,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.78,2.87,2.76,2.84,2.91,3.01,
Kotlin process state,Kotlin-Process-usage,1.4,1.12,1.36,1.12,2.08,1.56,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,43,39,42,47,60,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,9,9,45,44,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3913,4105,2790,2943,10223,10663,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,658,680,410,422,1361,1420,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,45,34,36,96,95,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,15,13,9,8,19,17,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,82,95,99,91,161,165,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,84,92,76,84,189,169,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,25,24,22,23,50,47,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,23,29,21,19,37,81,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,12,12,22,22,ms
Task Type,com.android.build.gradle.tasks.MergeResources,278,275,31,30,357,219,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,567,524,126,128,1709,1490,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,92,87,37,41,227,204,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,44,49,10,10,39,40,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,14,15,11,12,30,26,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,14,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,39,39,23,22,47,46,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,628,571,349,362,1254,1100,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,81,80,15,18,225,228,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,163,171,41,37,451,495,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,21,20,11,12,29,30,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,32,30,19,19,50,51,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1442,1479,1265,1330,2187,2191,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,11,8,9,19,19,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3673,3809,2983,3060,6479,6684,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,342,344,104,108,885,942,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,138,138,20,21,57,59,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,73,75,9,10,355,354,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,85,86,81,94,152,153,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,28,31,20,28,52,54,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,20,11,12,24,25,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,27,29,13,11,67,71,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,4,9,3,2,8,33,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,20,14,16,30,36,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,19,20,18,18,29,30,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,335,331,115,133,864,812,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,116,115,34,36,321,312,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,12855,13400,83,84,39358,41036,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9867,10214,1276,1259,39918,41112,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,12,13,2,3,8,9,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,10,12,6,7,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,6,7,1,2,7,8,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,8,6,7,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,20,21,7,8,53,60,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,914,907,9,8,3200,3204,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,624,702,816,799,1127,1278,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1205,1176,1107,1127,1601,1544,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,212,216,13,13,60,73,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1779,1826,1705,1609,2895,3042,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3024,3395,2976,3035,4745,5835,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,8,7,7,12,15,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,8,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,6,4,5,9,9,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,4,5,9,9,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,25,34,21,22,38,45,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,13,14,5,5,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,42,33,33,72,77,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,19,16,17,32,33,ms
Task Path,:build-logic:convention:compileKotlin,12295,12363,12073,12215,13272,13150,ms
Task Path,:app:checkDemoDebugAarMetadata,1512,1376,1632,1347,1801,1813,ms
Task Path,:app:parseDemoDebugLocalResources,1374,1665,1072,1226,2658,3857,ms
Task Path,:app:processDemoDebugMainManifest,1372,1192,1127,973,2518,2296,ms
Task Path,:app:mergeDemoDebugResources,5529,5175,5548,5237,6018,5739,ms
Task Path,:app:processDemoDebugResources,2112,2122,2089,2090,2328,2365,ms
Task Path,:core:common:kspKotlin,11835,12696,11709,12472,12753,13744,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3463,3483,3484,3443,3730,3850,ms
Task Path,:core:common:compileKotlin,2536,2557,2550,2527,2830,2862,ms
Task Path,:core:model:compileKotlin,13794,14652,13627,14505,14360,15356,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6485,6701,6513,6630,6884,7032,ms
Task Path,:core:common:compileJava,1558,1641,1548,1638,1747,1869,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2814,3015,2839,2993,3114,3358,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,3945,4253,3943,4234,4215,4610,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2380,2486,2354,2470,2685,2797,ms
