Category,Metric,varianta_using_xms Mean,variantb_no_xms Mean,varianta_using_xms P50,variantb_no_xms P50,varianta_using_xms P90,variantb_no_xms P90,Unit
Build,Build time,212565,219916,211546,217186,221784,229056,ms
Gradle process state,Gradle-Process-gcTime,0.13,0.14,0.13,0.14,0.14,0.15,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.1,0.08,0.1,0.11,0.12,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3913,4105,2790,2943,10223,10663,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1442,1479,1265,1330,2187,2191,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3673,3809,2983,3060,6479,6684,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9867,10214,1276,1259,39918,41112,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1205,1176,1107,1127,1601,1544,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1779,1826,1705,1609,2895,3042,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3024,3395,2976,3035,4745,5835,ms
Task Path,:build-logic:convention:compileKotlin,12295,12363,12073,12215,13272,13150,ms
Task Path,:app:checkDemoDebugAarMetadata,1512,1376,1632,1347,1801,1813,ms
Task Path,:app:parseDemoDebugLocalResources,1374,1665,1072,1226,2658,3857,ms
Task Path,:app:processDemoDebugMainManifest,1372,1192,1127,973,2518,2296,ms
Task Path,:app:mergeDemoDebugResources,5529,5175,5548,5237,6018,5739,ms
Task Path,:app:processDemoDebugResources,2112,2122,2089,2090,2328,2365,ms
Task Path,:core:common:kspKotlin,11835,12696,11709,12472,12753,13744,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3463,3483,3484,3443,3730,3850,ms
Task Path,:core:common:compileKotlin,2536,2557,2550,2527,2830,2862,ms
Task Path,:core:model:compileKotlin,13794,14652,13627,14505,14360,15356,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6485,6701,6513,6630,6884,7032,ms
Task Path,:core:common:compileJava,1558,1641,1548,1638,1747,1869,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2814,3015,2839,2993,3114,3358,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,3945,4253,3943,4234,4215,4610,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2380,2486,2354,2470,2685,2797,ms
Task Path,:core:network:kspDemoDebugKotlin,3772,3755,3739,3744,4067,4077,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4728,4633,4725,4589,5120,5026,ms
Task Path,:core:database:kspDemoDebugKotlin,10717,10757,10699,10670,11227,11275,ms
Task Path,:core:database:kspProdDebugKotlin,8866,8792,8784,8698,9467,9320,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1560,1536,1535,1549,1777,1692,ms
Task Path,:core:network:compileDemoDebugKotlin,5923,6014,5859,5891,6497,6562,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3161,3143,3134,3122,3415,3437,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3482,3749,3453,3728,3763,4105,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3262,3424,3225,3377,3628,4034,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1853,1827,1891,1810,2125,2121,ms
Task Path,:core:database:compileProdDebugKotlin,11095,11174,11112,11112,11943,11872,ms
Task Path,:core:database:compileDemoDebugKotlin,11408,11490,11332,11384,12269,12126,ms
Task Path,:core:data:kspDemoDebugKotlin,5015,5078,4837,5070,5825,5571,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18106,18775,18086,18808,19643,20592,ms
Task Path,:core:data:compileDemoDebugKotlin,8566,8501,6845,7124,13887,13117,ms
Task Path,:core:ui:compileDemoDebugKotlin,5359,5835,5301,5728,6513,6819,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3520,3103,3606,2837,4594,4746,ms
Task Path,:core:domain:compileDemoDebugKotlin,1386,1799,1066,1214,1407,6202,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2522,2295,2927,2706,5094,5389,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5291,5716,5520,6103,7115,7305,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5251,5973,5830,6564,6907,7530,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1114,1220,1111,1200,1429,1549,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,5999,6278,5818,6095,7102,7328,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1787,1519,2021,1297,3648,3240,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38415,40047,38251,39758,40523,42309,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6747,7635,7444,8423,8484,9027,ms
Task Path,:feature:interests:kspDemoDebugKotlin,2991,3335,2940,3100,3375,4476,ms
Task Path,:feature:search:kspDemoDebugKotlin,2931,3010,2934,2985,3281,3368,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2988,2989,2999,2972,3539,3367,ms
Task Path,:feature:settings:kspDemoDebugKotlin,2974,2979,2902,2918,3544,3485,ms
Task Path,:app:mergeExtDexDemoDebug,42239,43693,42572,43415,44240,46340,ms
Task Path,:feature:search:compileDemoDebugKotlin,4630,4695,4705,4638,5190,5511,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2930,2982,2892,2928,3440,3470,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3031,3127,3058,3083,3490,3503,ms
Task Path,:sync:work:kspDemoDebugKotlin,3747,4017,3740,3869,4278,4335,ms
Task Path,:sync:work:compileDemoDebugKotlin,1448,1531,1454,1481,1730,1810,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3537,3686,3480,3646,4171,4349,ms
Task Path,:app:kspDemoDebugKotlin,4886,5030,4890,4992,5414,5756,ms
Task Path,:app:validateSigningDemoDebug,2727,2706,2667,2559,3788,4193,ms
Task Path,:app:mergeLibDexDemoDebug,1514,1516,1481,1468,1945,1914,ms
Task Path,:app:compileDemoDebugKotlin,5862,5940,5760,5842,6564,6896,ms
Task Path,:app:mergeProdDebugResources,3284,3638,3294,3585,3954,4284,ms
Task Path,:core:analytics:kspProdDebugKotlin,2450,2529,2368,2491,2921,2975,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2667,2688,2691,2631,2988,3187,ms
Task Path,:app:processProdDebugResources,1162,1273,1134,1206,1596,1698,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1016,1112,1002,1089,1192,1367,ms
Task Path,:core:analytics:compileProdDebugKotlin,1220,1266,1197,1189,1674,1593,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1270,1304,1271,1278,1553,1656,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1629,1627,1622,1566,2060,1951,ms
Task Path,:core:notifications:kspProdDebugKotlin,2488,2571,2429,2551,2840,2980,ms
Task Path,:core:network:kspProdDebugKotlin,2616,2732,2568,2673,3071,3170,ms
Task Path,:core:datastore:kspProdDebugKotlin,2263,2410,2185,2411,2603,2835,ms
Task Path,:app:hiltJavaCompileDemoDebug,5520,5725,5610,5671,6074,6686,ms
Task Path,:core:network:compileProdDebugKotlin,2044,2357,2019,2412,2308,2869,ms
Task Path,:core:datastore:compileProdDebugKotlin,1513,1708,1498,1689,1748,2164,ms
