Category,Metric,varianta_main_2_1_0 Mean,variantb_kotlin_2_1_20 Mean,varianta_main_2_1_0 P50,variantb_kotlin_2_1_20 P50,varianta_main_2_1_0 P90,variantb_kotlin_2_1_20 P90,Unit
Build,Build time,214317,213747,213437,212479,222291,225001,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.12,0.13,0.12,0.13,0.14,0.14,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.55,3.54,3.54,3.52,3.68,3.73,
Gradle process state,Gradle-Process-usage,2.22,2.19,2.35,2.31,3.14,3.1,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.08,0.09,0.08,0.09,0.1,0.11,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.79,2.79,2.78,2.78,2.9,2.96,
Kotlin process state,Kotlin-Process-usage,1.38,1.38,1.36,1.22,2.07,2.13,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,40,41,40,47,47,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,18,9,9,45,47,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3926,3959,2781,2780,10265,10461,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,666,672,417,412,1416,1453,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,44,34,32,96,95,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,14,8,9,16,19,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,78,90,87,99,155,163,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,84,66,78,74,180,122,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,24,22,22,49,48,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,26,20,19,17,70,32,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,12,12,22,22,ms
Task Type,com.android.build.gradle.tasks.MergeResources,270,278,30,31,202,193,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,538,578,136,128,1570,1684,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,85,94,43,39,192,229,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,50,10,10,39,40,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,14,16,12,12,27,30,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,41,40,22,21,44,46,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,592,596,341,343,1242,1219,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,21,20,12,11,31,30,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,31,32,18,18,52,50,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,83,78,16,16,240,222,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,125,172,44,37,280,459,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1489,1405,1323,1249,2247,2124,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,8,8,19,19,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3692,3637,2999,2973,6583,6054,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,360,345,104,104,1029,890,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,145,129,20,21,57,54,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,76,76,9,9,363,359,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,84,93,74,79,148,160,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,31,31,29,29,57,55,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,19,20,12,11,24,24,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,28,28,11,12,72,68,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,7,7,4,3,12,11,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,16,15,15,30,28,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,20,20,19,18,31,29,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,320,301,116,117,796,747,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,108,109,34,34,304,281,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,12953,13257,75,79,39363,40507,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9820,9901,1233,1300,39699,39578,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,13,12,3,3,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,11,12,7,6,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,6,2,1,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,7,7,7,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,22,8,8,51,56,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,949,894,8,9,2992,3132,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,653,619,805,715,1171,1177,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1207,1253,1135,1158,1638,1780,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,223,214,13,13,77,58,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1821,1863,1814,1870,2906,2883,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,2996,2968,2685,2798,4850,4815,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,7,10,6,7,14,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,5,5,10,9,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,6,5,5,5,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,15,10,5,5,13,13,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,34,25,22,21,45,41,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,41,41,33,33,75,73,ms
Task Type,com.android.build.gradle.tasks.BundleAar,19,19,16,16,32,33,ms
Task Path,:build-logic:convention:compileKotlin,12324,12295,12190,12160,12882,12950,ms
Task Path,:app:checkDemoDebugAarMetadata,1410,1537,1348,1605,1723,1809,ms
Task Path,:app:parseDemoDebugLocalResources,1864,1708,1605,1153,4174,4283,ms
Task Path,:app:mergeDemoDebugResources,5273,5544,5266,5469,5804,6061,ms
Task Path,:app:processDemoDebugMainManifest,1272,1275,977,980,2411,2440,ms
Task Path,:app:processDemoDebugResources,2147,2027,2145,2025,2399,2302,ms
Task Path,:core:common:kspKotlin,12505,11567,12397,11485,13521,12334,ms
Task Path,:core:model:compileKotlin,14313,13877,14253,13813,15156,14626,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3503,3420,3448,3429,3853,3725,ms
Task Path,:core:common:compileKotlin,2559,2582,2578,2561,2774,2909,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6649,5786,6632,5748,7129,6219,ms
Task Path,:core:common:compileJava,1634,1635,1612,1638,1880,1858,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2934,2742,2914,2724,3162,2987,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2434,2433,2465,2468,2663,2652,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4091,4185,4104,4170,4337,4613,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,1242,1626,856,1582,2503,2444,ms
Task Path,:core:network:kspDemoDebugKotlin,3769,3694,3756,3680,4105,4015,ms
Task Path,:core:database:kspDemoDebugKotlin,10772,10509,10808,10475,11324,11155,ms
Task Path,:core:database:kspProdDebugKotlin,8848,8719,8838,8607,9342,9313,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4687,4709,4682,4734,5043,5175,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1565,1535,1534,1557,1738,1707,ms
Task Path,:core:network:compileDemoDebugKotlin,6025,5978,6032,5968,6343,6334,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3128,3059,3101,3058,3439,3336,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3652,3629,3641,3609,3986,3984,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3365,3464,3333,3463,3737,3908,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1769,1868,1787,1836,2016,2106,ms
Task Path,:core:database:compileDemoDebugKotlin,11617,11725,11485,11630,12304,12508,ms
Task Path,:core:database:compileProdDebugKotlin,11098,11530,11132,11506,11723,12374,ms
