Category,Metric,varianta_main_2_1_0 Mean,variantb_kotlin_2_1_20 Mean,varianta_main_2_1_0 P50,variantb_kotlin_2_1_20 P50,varianta_main_2_1_0 P90,variantb_kotlin_2_1_20 P90,Unit
Build,Build time,214317,213747,213437,212479,222291,225001,ms
Gradle process state,Gradle-Process-gcTime,0.12,0.13,0.12,0.13,0.14,0.14,
Kotlin process state,Kotlin-Process-gcTime,0.08,0.09,0.08,0.09,0.1,0.11,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3926,3959,2781,2780,10265,10461,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1489,1405,1323,1249,2247,2124,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3692,3637,2999,2973,6583,6054,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9820,9901,1233,1300,39699,39578,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1207,1253,1135,1158,1638,1780,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1821,1863,1814,1870,2906,2883,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,2996,2968,2685,2798,4850,4815,ms
Task Path,:build-logic:convention:compileKotlin,12324,12295,12190,12160,12882,12950,ms
Task Path,:app:checkDemoDebugAarMetadata,1410,1537,1348,1605,1723,1809,ms
Task Path,:app:parseDemoDebugLocalResources,1864,1708,1605,1153,4174,4283,ms
Task Path,:app:mergeDemoDebugResources,5273,5544,5266,5469,5804,6061,ms
Task Path,:app:processDemoDebugResources,2147,2027,2145,2025,2399,2302,ms
Task Path,:core:common:kspKotlin,12505,11567,12397,11485,13521,12334,ms
Task Path,:core:model:compileKotlin,14313,13877,14253,13813,15156,14626,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3503,3420,3448,3429,3853,3725,ms
Task Path,:core:common:compileKotlin,2559,2582,2578,2561,2774,2909,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6649,5786,6632,5748,7129,6219,ms
Task Path,:core:common:compileJava,1634,1635,1612,1638,1880,1858,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2934,2742,2914,2724,3162,2987,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2434,2433,2465,2468,2663,2652,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4091,4185,4104,4170,4337,4613,ms
Task Path,:core:network:kspDemoDebugKotlin,3769,3694,3756,3680,4105,4015,ms
Task Path,:core:database:kspDemoDebugKotlin,10772,10509,10808,10475,11324,11155,ms
Task Path,:core:database:kspProdDebugKotlin,8848,8719,8838,8607,9342,9313,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4687,4709,4682,4734,5043,5175,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1565,1535,1534,1557,1738,1707,ms
Task Path,:core:network:compileDemoDebugKotlin,6025,5978,6032,5968,6343,6334,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3128,3059,3101,3058,3439,3336,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3652,3629,3641,3609,3986,3984,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3365,3464,3333,3463,3737,3908,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1769,1868,1787,1836,2016,2106,ms
Task Path,:core:database:compileDemoDebugKotlin,11617,11725,11485,11630,12304,12508,ms
Task Path,:core:database:compileProdDebugKotlin,11098,11530,11132,11506,11723,12374,ms
Task Path,:core:data:kspDemoDebugKotlin,4924,4775,4889,4758,5499,5325,ms
Task Path,:core:designsystem:compileDemoDebugKotlin,18032,18409,18140,18275,19571,20188,ms
Task Path,:core:data:compileDemoDebugKotlin,8707,8538,7096,6872,13495,14156,ms
Task Path,:core:ui:compileDemoDebugKotlin,5340,5469,5229,5383,6289,6341,ms
Task Path,:core:data:transformDemoDebugClassesWithAsm,3274,3461,3363,3383,4377,4702,ms
Task Path,:core:domain:compileDemoDebugKotlin,1104,1421,1111,1090,1319,1460,ms
Task Path,:core:domain:bundleLibCompileToJarDemoDebug,2402,2294,2594,2722,5075,5016,ms
Task Path,:feature:bookmarks:kspDemoDebugKotlin,5278,5387,5512,5475,7065,7133,ms
Task Path,:feature:bookmarks:compileDemoDebugKotlin,5291,5497,6001,5979,7032,7175,ms
Task Path,:feature:bookmarks:compileDemoDebugJavaWithJavac,1106,1101,1095,1119,1413,1438,ms
Task Path,:feature:foryou:kspDemoDebugKotlin,5978,6011,5988,6083,7182,7405,ms
Task Path,:feature:bookmarks:transformDemoDebugClassesWithAsm,1797,1843,1978,2106,3309,3601,ms
Task Path,:app:l8DexDesugarLibDemoDebug,38714,39630,38826,39779,40678,42097,ms
Task Path,:feature:foryou:compileDemoDebugKotlin,6912,6977,7327,7467,8763,8670,ms
Task Path,:feature:interests:kspDemoDebugKotlin,3389,3218,2964,3139,5559,3922,ms
Task Path,:feature:search:kspDemoDebugKotlin,3003,3015,3027,2970,3399,3612,ms
Task Path,:feature:interests:compileDemoDebugKotlin,2944,2927,2945,2935,3329,3380,ms
Task Path,:feature:settings:kspDemoDebugKotlin,2962,2939,2983,2963,3461,3350,ms
Task Path,:app:mergeExtDexDemoDebug,42652,42762,43149,42693,44677,45811,ms
Task Path,:feature:search:compileDemoDebugKotlin,4665,4558,4580,4589,5258,5193,ms
Task Path,:feature:settings:compileDemoDebugKotlin,2955,2885,2915,2869,3431,3253,ms
Task Path,:feature:topic:kspDemoDebugKotlin,3016,3047,3004,3060,3411,3518,ms
Task Path,:sync:work:kspDemoDebugKotlin,3763,3741,3734,3647,4208,4252,ms
Task Path,:sync:work:compileDemoDebugKotlin,1485,1462,1465,1475,1831,1710,ms
Task Path,:feature:topic:compileDemoDebugKotlin,3560,3518,3549,3476,4190,4031,ms
Task Path,:app:kspDemoDebugKotlin,4992,4936,4910,4837,5602,5828,ms
Task Path,:app:validateSigningDemoDebug,2833,2668,2492,2310,4387,4717,ms
Task Path,:app:mergeLibDexDemoDebug,1516,1555,1499,1497,2000,1941,ms
Task Path,:app:compileDemoDebugKotlin,5871,5877,5770,5812,6699,6544,ms
Task Path,:app:mergeProdDebugResources,3429,3401,3392,3313,4092,3988,ms
Task Path,:core:analytics:kspProdDebugKotlin,2479,2503,2395,2498,3051,3074,ms
Task Path,:ui-test-hilt-manifest:kspProdDebugKotlin,2551,2647,2503,2610,3218,3334,ms
Task Path,:core:analytics:compileProdDebugKotlin,1198,1202,1147,1171,1501,1500,ms
Task Path,:app:processProdDebugResources,1222,1159,1232,1086,1546,1507,ms
Task Path,:ui-test-hilt-manifest:compileProdDebugKotlin,1257,1258,1206,1208,1476,1551,ms
Task Path,:app:hiltAggregateDepsDemoDebug,1064,1044,1050,1018,1269,1310,ms
Task Path,:core:datastore-proto:compileProdDebugKotlin,1580,1615,1507,1588,1985,1823,ms
Task Path,:core:network:kspProdDebugKotlin,2602,2552,2543,2564,3095,2871,ms
Task Path,:core:notifications:kspProdDebugKotlin,2464,2456,2426,2436,2806,2841,ms
Task Path,:core:datastore:kspProdDebugKotlin,2202,2230,2181,2166,2540,2613,ms
Task Path,:core:network:compileProdDebugKotlin,2178,2100,2165,2060,2441,2358,ms
Task Path,:app:hiltJavaCompileDemoDebug,5581,5502,5577,5450,6414,6236,ms
Task Path,:core:datastore:compileProdDebugKotlin,1577,1546,1552,1488,1915,1965,ms
Task Path,:app:transformDemoDebugClassesWithAsm,1622,1516,1261,1256,3474,2088,ms
Task Path,:app:jacocoDemoDebug,1213,1187,1113,1033,1550,1612,ms
Task Path,:core:data:kspProdDebugKotlin,3327,3248,3300,3076,4040,4092,ms
Task Path,:app:mergeDemoDebugJavaResource,4601,4407,4531,4379,5293,5171,ms
Task Path,:app:dexBuilderDemoDebug,2607,2645,2569,2595,3185,3307,ms
Task Path,:core:data:compileProdDebugKotlin,3020,3098,2821,2999,4080,3865,ms
Task Path,:core:designsystem:compileProdDebugKotlin,8668,8641,8537,8614,9639,9801,ms
Task Path,:app:packageDemoDebug,4330,4270,4193,4038,5943,5802,ms
