Category,Metric,varianta_main_r8 Mean,variantb_r8_different_process Mean,varianta_main_r8 P50,variantb_r8_different_process P50,varianta_main_r8 P90,variantb_r8_different_process P90,Unit
Build,Build time,519017,529645,516637,524536,537050,551347,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.38,0.25,0.38,0.25,0.4,0.28,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,8.62,8.8,8.59,8.72,8.92,9.17,
Gradle process state,Gradle-Process-usage,1.23,1.54,1.19,1.17,1.3,2.47,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.11,0.09,0.11,0.11,0.13,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,7.83,8.0,7.81,7.91,8.11,8.3,
Kotlin process state,Kotlin-Process-usage,1.37,1.21,1.37,1.17,2.16,1.82,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,40,40,40,46,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,18,11,11,45,44,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3967,4229,2821,3264,9275,10851,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,704,735,457,471,1228,1278,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,47,47,36,34,96,97,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,36,46,8,8,19,22,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,50,49,70,47,102,101,ms
Task Type,com.android.build.gradle.internal.tasks.PerModuleReportDependenciesTask,434,472,330,465,802,756,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,246,228,230,225,405,368,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,380,384,75,74,1181,1091,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,32,30,22,25,69,60,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,20,20,18,16,37,39,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,15,11,12,25,25,ms
Task Type,com.android.build.gradle.tasks.MergeResources,582,596,246,250,1519,1531,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1061,1049,996,1084,1705,1602,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,33,44,18,19,40,51,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,59,61,9,10,47,44,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,15,14,9,9,31,34,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,8,6,6,14,14,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,42,47,21,22,47,45,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,556,520,276,301,1223,1034,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,76,76,13,15,220,226,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,40,43,11,10,39,39,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,193,142,27,29,385,280,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,34,37,18,20,56,55,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1321,1352,1111,1244,2268,2176,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,8,9,19,19,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,68,71,9,8,323,325,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,86,88,78,86,145,148,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3666,3981,2997,3419,5266,5799,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,255,290,116,131,803,970,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,24,26,20,22,38,40,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,33,31,26,28,51,49,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractProguardFiles,13,15,11,12,19,21,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,22,23,19,21,32,33,ms
Task Type,com.android.build.gradle.tasks.ZipMergingTask,14,15,12,13,22,24,ms
Task Type,com.android.build.gradle.internal.lint.LintModelWriterTask,66,67,38,38,149,152,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,53,76,9,10,56,52,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,5,6,3,2,11,15,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,17,19,12,13,24,26,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,11,11,3,3,10,12,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,5,5,1,2,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,19,20,6,6,14,15,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,5,5,5,5,10,10,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,31,33,24,26,47,51,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,6,6,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,6,6,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,196,182,18,19,97,107,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,48,53,38,42,85,93,ms
Task Type,com.android.build.gradle.tasks.BundleAar,18,22,15,18,29,35,ms
Task Type,com.android.build.gradle.internal.tasks.LintModelMetadataTask,8,8,7,8,14,14,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,4803,4836,3032,3182,11299,11511,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,665,686,559,572,1279,1325,ms
Task Type,com.android.build.gradle.internal.tasks.MergeArtProfileTask,114,120,29,36,299,318,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractNativeDebugMetadataTask,19,21,11,12,43,45,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,4,2,2,2,6,5,ms
Task Type,com.android.build.gradle.internal.tasks.ExportConsumerProguardFilesTask,6,7,6,6,11,12,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,200,227,110,154,434,435,ms
Task Type,com.android.build.gradle.internal.tasks.MergeStartupProfileTask,4,4,4,5,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.ExpandArtProfileWildcardsTask,1269,1323,1031,1046,3071,3139,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,21,21,11,11,47,47,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractVersionControlInfoTask,67,65,9,9,188,188,ms
Task Type,com.android.build.gradle.internal.tasks.SdkDependencyDataGeneratorTask,127,124,57,60,285,292,ms
