Category,Metric,varianta_main_r8 Mean,variantb_r8_different_process Mean,varianta_main_r8 P50,variantb_r8_different_process P50,varianta_main_r8 P90,variantb_r8_different_process P90,Unit
Build,Build time,519017,529645,516637,524536,537050,551347,ms
Gradle process state,Gradle-Process-gcTime,0.38,0.25,0.38,0.25,0.4,0.28,
Kotlin process state,Kotlin-Process-gcTime,0.09,0.11,0.09,0.11,0.11,0.13,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3967,4229,2821,3264,9275,10851,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1321,1352,1111,1244,2268,2176,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3666,3981,2997,3419,5266,5799,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,4803,4836,3032,3182,11299,11511,ms
Task Type,com.android.build.gradle.internal.tasks.ExpandArtProfileWildcardsTask,1269,1323,1031,1046,3071,3139,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2024,2869,2009,2831,2551,3400,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,19908,21653,19256,22247,23524,27910,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,23098,34003,16647,29022,46107,59783,ms
Task Type,com.android.build.gradle.internal.tasks.R8Task,180886,183153,179733,206333,262373,264743,ms
Task Path,:build-logic:convention:compileKotlin,12566,12378,12253,12135,14351,13843,ms
Task Path,:app:demoReleaseOssLicensesTask,1472,1440,1389,1444,1907,1679,ms
Task Path,:core:designsystem:packageDemoReleaseResources,1309,1251,1266,1261,1556,1403,ms
Task Path,:app:parseDemoReleaseLocalResources,1787,1875,1449,1407,4398,4362,ms
Task Path,:app:mergeDemoReleaseResources,5561,5473,5472,5480,6249,5940,ms
Task Path,:app:processDemoReleaseResources,2149,2097,2155,2081,2415,2337,ms
Task Path,:core:common:kspKotlin,12118,12119,12069,12172,12950,12791,ms
Task Path,:core:analytics:kspDemoReleaseKotlin,4987,5084,4953,5079,5489,5589,ms
Task Path,:core:model:compileKotlin,14261,14214,14249,14311,14955,14955,ms
Task Path,:core:common:compileKotlin,2697,2741,2697,2729,2975,3058,ms
Task Path,:core:common:compileJava,1588,1612,1589,1618,1805,1775,ms
Task Path,:core:analytics:compileDemoReleaseKotlin,2583,2568,2594,2614,2981,2866,ms
Task Path,:core:datastore-proto:compileDemoReleaseKotlin,5773,5693,5817,5704,6260,6241,ms
Task Path,:core:analytics:compileDemoReleaseJavaWithJavac,2270,2306,2272,2315,2563,2544,ms
Task Path,:core:datastore-proto:compileDemoReleaseJavaWithJavac,2718,2938,3031,3171,3480,3589,ms
Task Path,:core:datastore:kspDemoReleaseKotlin,3193,3113,3186,3066,3451,3457,ms
Task Path,:core:network:kspDemoReleaseKotlin,4180,4083,4155,4048,4610,4441,ms
Task Path,:core:database:kspDemoReleaseKotlin,10860,10755,10743,10744,11585,11228,ms
Task Path,:core:database:kspProdReleaseKotlin,9411,9142,9287,8874,10597,10402,ms
Task Path,:core:datastore:compileDemoReleaseKotlin,4001,3966,3986,3959,4449,4289,ms
Task Path,:core:network:compileDemoReleaseKotlin,5487,5475,5473,5485,6008,5848,ms
Task Path,:core:notifications:kspDemoReleaseKotlin,3679,3734,3658,3752,4139,4106,ms
Task Path,:core:notifications:compileDemoReleaseKotlin,1667,1664,1645,1669,1965,1878,ms
Task Path,:core:database:compileProdReleaseKotlin,11374,11273,11285,11293,12140,11838,ms
Task Path,:core:database:compileDemoReleaseKotlin,11538,11527,11563,11499,12398,12158,ms
Task Path,:lint:compileKotlin,4086,4066,4049,4081,4594,4426,ms
Task Path,:core:data:kspDemoReleaseKotlin,4588,4517,4503,4464,5051,5037,ms
Task Path,:core:data:compileDemoReleaseKotlin,4907,4910,4960,4924,5409,5378,ms
Task Path,:core:domain:compileDemoReleaseKotlin,1263,1273,1266,1275,1441,1504,ms
Task Path,:core:designsystem:compileDemoReleaseKotlin,17812,17736,17908,17507,18951,19112,ms
Task Path,:core:analytics:lintVitalAnalyzeDemoRelease,11640,11623,11691,11546,12390,12432,ms
Task Path,:core:common:lintVitalAnalyzeJvmMain,10643,10659,10600,10674,11390,11639,ms
Task Path,:sync:work:kspDemoReleaseKotlin,4743,4630,4730,4594,5163,5259,ms
Task Path,:sync:work:compileDemoReleaseKotlin,1963,1976,1911,1945,2364,2337,ms
Task Path,:core:ui:compileDemoReleaseKotlin,6330,6257,6363,6276,6888,6923,ms
Task Path,:core:database:lintVitalAnalyzeDemoRelease,5044,5011,4954,5045,5793,5436,ms
Task Path,:feature:bookmarks:kspDemoReleaseKotlin,3812,3746,3776,3644,4273,4251,ms
Task Path,:feature:foryou:kspDemoReleaseKotlin,3994,3853,4020,3850,4385,4320,ms
Task Path,:feature:interests:kspDemoReleaseKotlin,3473,3476,3472,3496,3788,3803,ms
Task Path,:core:data:lintVitalAnalyzeDemoRelease,9428,9313,9331,9265,10642,10164,ms
Task Path,:feature:bookmarks:compileDemoReleaseKotlin,3832,3794,3781,3786,4194,4194,ms
Task Path,:feature:interests:compileDemoReleaseKotlin,3455,3424,3420,3434,3910,3698,ms
Task Path,:feature:foryou:compileDemoReleaseKotlin,5462,5464,5548,5439,6057,6104,ms
Task Path,:feature:search:kspDemoReleaseKotlin,3579,3489,3624,3420,3902,3895,ms
Task Path,:feature:settings:kspDemoReleaseKotlin,3360,3222,3340,3195,3707,3570,ms
Task Path,:feature:topic:kspDemoReleaseKotlin,3541,3522,3512,3462,3988,3914,ms
Task Path,:core:datastore:lintVitalAnalyzeDemoRelease,3839,3878,3739,3811,4514,4818,ms
Task Path,:feature:settings:compileDemoReleaseKotlin,3802,3797,3765,3772,4341,4496,ms
Task Path,:feature:search:compileDemoReleaseKotlin,5858,5742,5803,5580,6628,6526,ms
Task Path,:feature:topic:compileDemoReleaseKotlin,4434,4418,4440,4324,5008,5023,ms
Task Path,:core:domain:lintVitalAnalyzeDemoRelease,1420,1497,1380,1455,1764,1876,ms
Task Path,:core:model:lintVitalAnalyzeJvmMain,1547,1493,1503,1496,1858,1855,ms
Task Path,:core:datastore-proto:lintVitalAnalyzeDemoRelease,5110,5046,5111,5077,5772,5929,ms
Task Path,:core:notifications:lintVitalAnalyzeDemoRelease,2643,2528,2567,2492,3130,2929,ms
Task Path,:app:kspDemoReleaseKotlin,5666,5484,5524,5450,6498,6273,ms
Task Path,:core:network:lintVitalAnalyzeDemoRelease,3586,3520,3534,3482,4196,4144,ms
Task Path,:feature:bookmarks:lintVitalAnalyzeDemoRelease,4266,4239,4200,4170,4871,4834,ms
Task Path,:core:ui:lintVitalAnalyzeDemoRelease,4984,4916,4918,4897,5510,5464,ms
Task Path,:app:compileDemoReleaseKotlin,6732,6584,6540,6460,7671,7591,ms
Task Path,:feature:interests:lintVitalAnalyzeDemoRelease,2706,2615,2646,2573,3181,3088,ms
Task Path,:app:compileDemoReleaseJavaWithJavac,1150,1124,1162,1120,1415,1365,ms
Task Path,:feature:foryou:lintVitalAnalyzeDemoRelease,4434,4344,4436,4186,5196,5301,ms
Task Path,:app:hiltAggregateDepsDemoRelease,1149,1171,1126,1132,1420,1501,ms
Task Path,:core:designsystem:lintVitalAnalyzeDemoRelease,16041,15861,15966,15728,17762,17376,ms
Task Path,:feature:settings:lintVitalAnalyzeDemoRelease,2292,2340,2184,2322,2677,2795,ms
Task Path,:feature:search:lintVitalAnalyzeDemoRelease,3755,3867,3626,3805,4623,4557,ms
Task Path,:feature:topic:lintVitalAnalyzeDemoRelease,2589,2618,2504,2551,3202,3237,ms
Task Path,:sync:work:lintVitalAnalyzeDemoRelease,1967,1987,1872,1838,2707,2768,ms
Task Path,:app:expandDemoReleaseL8ArtProfileWildcards,1076,1076,1031,1046,1411,1334,ms
Task Path,:app:hiltJavaCompileDemoRelease,5702,5706,5776,5668,6243,6411,ms
