Category,Metric,varianta_main_lint_with_memory Mean,variantb_main_lint Mean,varianta_main_lint_with_memory P50,variantb_main_lint P50,varianta_main_lint_with_memory P90,variantb_main_lint P90,Unit
Build,Build time,219146,225177,219018,220409,224972,243479,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,38,40,40,44,42,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,16,17,11,12,42,46,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4896,5063,3747,3813,12191,12416,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,715,742,420,437,1598,1636,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,47,47,34,33,98,100,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,14,15,9,9,25,26,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,47,53,44,46,100,116,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,46,43,43,42,65,63,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,30,25,22,26,91,34,ms
Task Type,com.android.build.gradle.internal.tasks.PerModuleReportDependenciesTask,722,704,743,658,828,980,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,371,357,386,332,475,511,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,660,580,520,453,1426,1323,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,16,17,15,14,28,29,ms
Task Type,com.android.build.gradle.tasks.MergeResources,345,364,40,40,961,1042,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1510,1617,1404,1534,2428,2293,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,130,134,116,152,259,264,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,82,120,18,20,121,116,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,15,13,12,11,29,26,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,9,9,8,8,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,40,68,29,30,59,62,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,642,529,480,485,1190,910,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,118,117,91,68,270,275,ms
