Category,Metric,varianta_main_lint_with_memory Mean,variantb_main_lint Mean,varianta_main_lint_with_memory P50,variantb_main_lint P50,varianta_main_lint_with_memory P90,variantb_main_lint P90,Unit
Build,Build time,219146,225177,219018,220409,224972,243479,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4896,5063,3747,3813,12191,12416,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1510,1617,1404,1534,2428,2293,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,4046,4211,3539,3527,6409,6756,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1332,1550,1413,1531,2241,2452,ms
Task Type,com.android.build.gradle.internal.lint.AndroidLintAnalysisTask,6502,7040,4080,4658,14656,14712,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1159,1152,1228,1148,1336,1385,ms
Task Path,:build-logic:convention:compileKotlin,12117,12486,12027,12082,12800,13958,ms
Task Path,:app:checkProdReleaseAarMetadata,1294,1123,1306,1064,1678,1594,ms
Task Path,:app:prodReleaseOssLicensesTask,1510,1617,1404,1534,2428,2293,ms
Task Path,:core:designsystem:packageProdReleaseResources,1317,1245,1264,1193,1909,1447,ms
Task Path,:app:parseProdReleaseLocalResources,1268,2426,1004,2062,4282,4845,ms
Task Path,:app:mergeProdReleaseResources,5705,5660,5697,5583,6207,6378,ms
Task Path,:core:common:kspKotlin,11453,11949,11439,11805,11950,13736,ms
Task Path,:app:processProdReleaseResources,2134,2278,2110,2265,2288,2552,ms
Task Path,:core:model:compileKotlin,13484,14205,13484,13972,13805,15875,ms
Task Path,:core:common:compileKotlin,2740,2891,2739,2893,3039,3283,ms
Task Path,:core:analytics:kspProdReleaseKotlin,5587,5893,5594,5788,5884,6352,ms
Task Path,:core:common:compileJava,1557,1603,1543,1597,1748,1893,ms
Task Path,:core:analytics:compileProdReleaseKotlin,2613,2774,2592,2803,3017,3190,ms
Task Path,:core:datastore-proto:compileProdReleaseKotlin,5266,5596,5255,5535,5476,6307,ms
Task Path,:core:analytics:compileProdReleaseJavaWithJavac,2620,2786,2670,2792,2902,2985,ms
Task Path,:core:network:kspProdReleaseKotlin,4262,4367,4280,4397,4553,4956,ms
Task Path,:core:datastore-proto:compileProdReleaseJavaWithJavac,3501,3728,3572,3681,3810,4468,ms
Task Path,:core:database:kspProdReleaseKotlin,10906,11448,10903,11515,11901,12188,ms
Task Path,:core:notifications:kspProdReleaseKotlin,3803,3815,3780,3753,4177,4590,ms
Task Path,:core:datastore:kspProdReleaseKotlin,3214,3291,3138,3216,3863,3760,ms
Task Path,:core:notifications:compileProdReleaseKotlin,2087,2045,2056,2041,2519,2240,ms
Task Path,:core:network:compileProdReleaseKotlin,6178,6449,6147,6244,6488,7409,ms
Task Path,:core:datastore:compileProdReleaseKotlin,4401,4399,4453,4328,4968,5061,ms
Task Path,:lint:compileKotlin,3865,4084,3779,4089,4635,4715,ms
Task Path,:core:datastore-test:kspProdReleaseKotlin,2801,2936,2787,2902,3051,3448,ms
Task Path,:core:datastore-test:compileProdReleaseKotlin,1232,1308,1219,1274,1555,1528,ms
