Category,Metric,varianta_main_lint Mean,variantb_main_lint_with_memory Mean,varianta_main_lint P50,variantb_main_lint_with_memory P50,varianta_main_lint P90,variantb_main_lint_with_memory P90,Unit
Build,Build time,220491,221151,220357,220265,227485,228486,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.15,0.14,0.15,0.14,0.16,0.15,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.65,3.66,3.65,3.65,3.77,3.79,
Gradle process state,Gradle-Process-usage,2.06,2.08,2.09,1.91,2.99,3.06,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.06,0.06,0.07,0.06,0.08,0.08,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.9,2.9,2.9,2.9,3.0,3.01,
Kotlin process state,Kotlin-Process-usage,1.13,1.24,0.88,1.02,2.41,2.3,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,42,39,39,47,47,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,11,11,45,43,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4928,4953,3684,3780,12171,12271,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,723,728,439,427,1614,1628,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,47,47,34,33,96,97,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,49,51,39,69,99,105,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,14,13,9,9,24,23,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,43,42,43,42,51,60,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,25,24,24,25,35,32,ms
Task Type,com.android.build.gradle.internal.tasks.PerModuleReportDependenciesTask,712,698,729,689,820,839,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,357,370,368,363,452,499,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,620,604,494,491,1350,1381,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,16,16,14,14,28,29,ms
Task Type,com.android.build.gradle.tasks.MergeResources,354,340,38,38,1025,931,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,1454,1468,1425,1427,1629,1756,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,130,120,152,92,257,246,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,79,104,18,18,97,95,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,14,15,14,32,31,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,8,8,8,8,15,16,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,56,66,30,30,60,60,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,730,721,596,475,2242,2418,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,112,109,71,70,240,244,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,340,191,60,29,1570,367,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,67,61,16,16,165,150,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,51,48,36,36,103,92,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,4099,4085,3512,3544,6417,6534,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1496,1391,1401,1356,2383,2372,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,18,16,10,10,34,32,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,78,80,7,8,367,369,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,135,125,130,126,166,151,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,33,36,32,36,44,53,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,170,173,132,134,330,350,ms
