Category,Metric,varianta_main Mean,variantb_lint_2g Mean,varianta_main P50,variantb_lint_2g P50,varianta_main P90,variantb_lint_2g P90,Unit
Build,Build time,1013333,1087546,1011262,1081525,1049998,1194957,ms
Gradle process state,Gradle-Process-gcTime,2.86,2.17,2.85,2.14,3.06,2.42,
Kotlin process state,Kotlin-Process-gcTime,0.37,0.37,0.37,0.38,0.42,0.41,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2484,2538,1994,2064,4106,3745,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1920,2406,1726,2248,2065,2531,ms
Task Path,:build-logic:convention:compileKotlin,7034,7085,6714,6846,9086,7763,ms
Task Path,:layer_0:module_0_100:kaptGenerateStubsDebugKotlin,1498,1515,1472,1462,1626,1749,ms
Task Path,:layer_0:module_0_101:kaptGenerateStubsDebugKotlin,1138,1118,1130,1110,1296,1365,ms
Task Path,:layer_0:module_0_1:kaptGenerateStubsDebugKotlin,2873,3012,2868,2984,3049,3343,ms
Task Path,:layer_0:module_0_10:kaptGenerateStubsDebugKotlin,2238,2226,2218,2175,2387,2513,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,15578,15516,15541,15453,16379,15976,ms
Task Path,:layer_0:module_0_100:compileDebugKotlin,15537,15454,15479,15448,16176,15794,ms
Task Path,:layer_0:module_0_101:compileDebugKotlin,15415,15368,15363,15312,16212,15711,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,15578,15474,15503,15417,16355,15877,ms
Task Path,:layer_0:module_0_1:lintAnalyzeDebugUnitTest,8324,1007,8235,948,8692,1453,ms
Task Path,:layer_0:module_0_1:lintAnalyzeDebugAndroidTest,8356,13975,8275,13259,8729,18272,ms
Task Path,:layer_0:module_0_101:lintAnalyzeDebug,22149,12394,21728,12373,24479,13361,ms
Task Path,:layer_0:module_0_1:lintAnalyzeDebug,33255,46895,32844,47045,35544,49519,ms
Task Path,:layer_0:module_0_100:lintAnalyzeDebug,23500,13146,23076,13244,25920,13850,ms
Task Path,:layer_0:module_0_10:lintAnalyzeDebug,32605,31816,32276,32371,35124,33678,ms
Task Path,:layer_0:module_0_104:compileDebugKotlin,6400,6799,6363,6703,6717,7675,ms
Task Path,:layer_0:module_0_103:compileDebugKotlin,6782,9041,6717,8881,7129,10563,ms
Task Path,:layer_0:module_0_102:compileDebugKotlin,7059,9243,7036,9030,7295,11151,ms
Task Path,:layer_0:module_0_105:compileDebugKotlin,6154,6678,6147,6653,6749,7278,ms
Task Path,:layer_0:module_0_102:lintAnalyzeDebug,11333,11006,11233,10981,12381,11996,ms
Task Path,:layer_0:module_0_104:lintAnalyzeDebug,10436,10445,10325,9922,11335,14495,ms
Task Path,:layer_0:module_0_103:lintAnalyzeDebug,11059,10558,10787,10411,11984,11374,ms
Task Path,:layer_0:module_0_105:lintAnalyzeDebug,9456,9624,9321,9300,10063,10822,ms
Task Path,:layer_0:module_0_106:compileDebugKotlin,5838,8276,5761,8385,6357,9546,ms
Task Path,:layer_0:module_0_107:compileDebugKotlin,5607,7849,5606,8040,6070,9146,ms
Task Path,:layer_0:module_0_108:compileDebugKotlin,5494,6122,5458,6159,6012,6572,ms
Task Path,:layer_0:module_0_109:compileDebugKotlin,5346,6032,5279,6154,5845,6469,ms
Task Path,:layer_0:module_0_107:lintAnalyzeDebug,9416,9170,8804,8854,11670,11776,ms
Task Path,:layer_0:module_0_106:lintAnalyzeDebug,9692,9316,9074,9234,12152,11376,ms
Task Path,:layer_0:module_0_108:lintAnalyzeDebug,8950,8549,8417,8320,11150,12014,ms
Task Path,:layer_0:module_0_109:lintAnalyzeDebug,7917,7924,7595,7925,9891,8894,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,4902,4897,4896,4825,5416,5519,ms
Task Path,:layer_0:module_0_110:compileDebugKotlin,4956,4713,4899,4635,5441,5221,ms
Task Path,:layer_0:module_0_111:compileDebugKotlin,4878,4292,4892,4339,5276,5270,ms
Task Path,:layer_0:module_0_112:compileDebugKotlin,4661,4380,4622,4512,5043,5461,ms
Task Path,:layer_0:module_0_11:lintAnalyzeDebug,8327,7507,8030,7369,9599,9184,ms
Task Path,:layer_0:module_0_110:lintAnalyzeDebug,8023,7484,7792,7312,8934,9465,ms
Task Path,:layer_0:module_0_111:lintAnalyzeDebug,8099,7217,7384,7195,12060,9043,ms
Task Path,:layer_0:module_0_112:lintAnalyzeDebug,7566,6937,6915,6952,12578,8635,ms
Task Path,:layer_0:module_0_113:compileDebugKotlin,4227,4608,4389,4769,4899,5312,ms
Task Path,:layer_0:module_0_114:compileDebugKotlin,4510,4567,4593,4644,5075,5332,ms
Task Path,:layer_0:module_0_115:compileDebugKotlin,4530,3947,4572,3930,5120,4488,ms
Task Path,:layer_0:module_0_116:compileDebugKotlin,4338,3893,4333,3942,5029,4454,ms
Task Path,:layer_0:module_0_113:lintAnalyzeDebug,9416,6758,8511,6626,12184,8106,ms
Task Path,:layer_0:module_0_114:lintAnalyzeDebug,10028,6711,9844,6574,14303,8092,ms
Task Path,:layer_0:module_0_115:lintAnalyzeDebug,9787,6428,9411,6445,13704,7669,ms
Task Path,:layer_0:module_0_116:lintAnalyzeDebug,9255,6349,8910,6384,13293,7693,ms
Task Path,:layer_0:module_0_117:compileDebugKotlin,4285,4367,4284,4518,5608,5139,ms
Task Path,:layer_0:module_0_118:compileDebugKotlin,4376,4327,4327,4461,6234,5176,ms
Task Path,:layer_0:module_0_119:compileDebugKotlin,4335,3721,4350,3886,4929,4283,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,4220,3647,4189,3747,5442,4253,ms
