Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_8_14_rc2 Mean,varianta_gradle_8_13 P50,variantb_gradle_8_14_rc2 P50,varianta_gradle_8_13 P90,variantb_gradle_8_14_rc2 P90,Unit
Build,Build time,575603,604707,562685,567665,671996,711761,ms
Build,Configuration time,177637,206354,163139,166865,261755,307099,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.29,0.28,0.28,0.28,0.31,0.3,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,9.54,10.02,9.32,9.4,11.14,11.8,
Gradle process state,Gradle-Process-usage,2.58,2.8,3.0,3.08,3.31,3.88,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.07,0.07,0.07,0.07,0.09,0.08,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,6.4,6.4,6.42,6.39,6.58,6.61,
Kotlin process state,Kotlin-Process-usage,1.41,1.31,1.16,1.12,2.53,2.31,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,26,25,25,24,37,34,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,18,9,10,51,51,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4783,4689,2320,2244,12448,12164,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,1705,1962,424,415,3907,4526,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,34,35,29,31,64,62,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,2,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,12,8,7,16,15,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,121,120,125,122,207,205,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,90,90,87,94,153,148,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,25,26,23,30,47,47,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,27,25,19,19,61,50,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,11,11,11,11,20,19,ms
Task Type,com.android.build.gradle.tasks.MergeResources,313,280,27,27,246,233,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,560,550,38,35,1746,1709,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,2446,2433,220,219,7050,7112,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,73,74,9,9,38,38,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,12,12,9,9,27,23,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,39,39,20,20,39,38,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,28,28,10,10,29,29,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,29,29,19,18,49,50,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,593,586,283,290,1399,1356,ms
