Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_8_14_rc2 Mean,varianta_gradle_8_13 P50,variantb_gradle_8_14_rc2 P50,varianta_gradle_8_13 P90,variantb_gradle_8_14_rc2 P90,Unit
Build,Build time,575603,604707,562685,567665,671996,711761,ms
Build,Configuration time,177637,206354,163139,166865,261755,307099,ms
Gradle process state,Gradle-Process-gcTime,0.29,0.28,0.28,0.28,0.31,0.3,
Kotlin process state,Kotlin-Process-gcTime,0.07,0.07,0.07,0.07,0.09,0.08,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4783,4689,2320,2244,12448,12164,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,3133,2317,2176,1836,4636,4552,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,8114,7812,2906,2925,13009,12941,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,53576,54002,2136,2149,240241,243434,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1702,1689,1442,1361,3618,3544,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2999,2984,1768,1315,4836,5020,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,4443,3903,2620,2633,12916,6657,ms
Task Path,:build-logic:convention:compileKotlin,20094,20648,19624,19998,21691,22651,ms
Task Path,:core:designsystem:packageDemoDebugResources,3778,3870,3851,3838,4087,4447,ms
Task Path,:app:mapDemoDebugSourceSetPaths,1603,1591,1612,1549,1933,1984,ms
Task Path,:app:checkDemoDebugAarMetadata,6936,6947,6914,6882,7417,7353,ms
Task Path,:app:parseDemoDebugLocalResources,2544,2616,2346,2892,4235,3721,ms
Task Path,:app:mergeDemoDebugResources,4070,4090,3956,4093,4703,4553,ms
Task Path,:app:processDemoDebugMainManifest,1382,1329,1324,1312,1494,1477,ms
Task Path,:app:processDemoDebugResources,4113,4105,4111,4098,4734,4825,ms
Task Path,:core:common:kspKotlin,18407,18196,18420,18010,19314,19259,ms
Task Path,:core:model:compileKotlin,20612,20741,20708,20720,21573,21710,ms
Task Path,:core:common:compileKotlin,3146,3117,3155,3028,3482,3541,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,10850,10869,10906,10829,11895,12109,ms
Task Path,:core:common:compileJava,2382,2423,2367,2387,2647,2703,ms
Task Path,:core:analytics:kspDemoDebugKotlin,7258,7230,7250,7261,7879,7808,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4278,3980,3890,3821,7020,4160,ms
Task Path,:core:analytics:compileDemoDebugKotlin,2453,2446,2421,2331,2998,3041,ms
Task Path,:core:database:kspProdDebugKotlin,9024,9153,9050,9082,10030,10250,ms
Task Path,:core:database:kspDemoDebugKotlin,12282,12205,12051,12279,13742,13077,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugJavaWithJavac,5406,5673,5823,5847,7071,6942,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,6627,6741,6734,6801,7654,7931,ms
Task Path,:core:analytics:transformDemoDebugClassesWithAsm,1756,1766,1741,1713,2142,2105,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4812,4823,4810,4770,5501,5418,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1452,1501,1469,1485,1656,1751,ms
Task Path,:core:network:kspDemoDebugKotlin,5684,5691,5719,5692,6376,6191,ms
Task Path,:core:database:compileDemoDebugKotlin,12093,11979,12179,12093,13165,12764,ms
Task Path,:core:database:compileProdDebugKotlin,11986,11967,12054,12074,12946,12886,ms
