Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_814 Mean,varianta_gradle_8_13 P50,variantb_gradle_814 P50,varianta_gradle_8_13 P90,variantb_gradle_814 P90,Unit
Build,Build time,221317,218791,219952,219323,232196,226016,ms
Build,Configuration time,41817,41294,41606,40986,43210,42972,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.13,0.15,0.15,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.67,3.63,3.65,3.64,3.85,3.74,
Gradle process state,Gradle-Process-usage,2.13,2.13,2.26,2.38,2.96,3.1,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.1,0.1,0.1,0.1,0.12,0.13,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.88,2.86,2.86,2.86,3.03,2.98,
Kotlin process state,Kotlin-Process-usage,1.26,1.31,1.21,1.19,1.93,2.11,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,42,38,41,46,53,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,10,9,47,47,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4026,3963,2864,2799,10348,10584,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,696,694,413,411,1446,1446,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,46,45,34,33,97,96,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,2,3,2,7,6,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,13,9,9,17,19,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,78,80,99,101,149,151,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,86,63,82,66,179,117,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,25,30,24,23,47,62,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,33,22,19,20,85,39,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,14,12,12,23,23,ms
Task Type,com.android.build.gradle.tasks.MergeResources,277,289,32,32,225,194,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,539,639,234,231,1353,1694,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,94,99,46,46,210,238,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,62,54,10,10,41,41,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,18,16,13,14,32,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,8,6,6,14,14,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,47,48,23,23,46,45,ms
