Category,Metric,varianta_gradle_8_13 Mean,variantb_gradle_814 Mean,varianta_gradle_8_13 P50,variantb_gradle_814 P50,varianta_gradle_8_13 P90,variantb_gradle_814 P90,Unit
Build,Build time,221317,218791,219952,219323,232196,226016,ms
Build,Configuration time,41817,41294,41606,40986,43210,42972,ms
Gradle process state,Gradle-Process-gcTime,0.13,0.13,0.13,0.13,0.15,0.15,
Kotlin process state,Kotlin-Process-gcTime,0.1,0.1,0.1,0.1,0.12,0.13,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4026,3963,2864,2799,10348,10584,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1601,1585,1473,1520,2345,2339,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3823,3771,3142,3046,6627,6484,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,9985,9958,1261,1206,40591,39852,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1417,1395,1118,1134,2628,2714,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2115,2020,2045,1949,3477,3303,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3090,3000,2905,2925,4637,4302,ms
Task Path,:build-logic:convention:compileKotlin,12465,12505,12284,12318,13350,14089,ms
Task Path,:app:checkDemoDebugAarMetadata,1285,1586,1260,1648,1598,1791,ms
Task Path,:app:parseDemoDebugLocalResources,2195,1866,1978,1656,4146,4090,ms
Task Path,:app:mergeDemoDebugResources,5033,5371,5010,5389,5502,5867,ms
Task Path,:app:processDemoDebugResources,2191,2201,2205,2202,2474,2402,ms
Task Path,:core:common:kspKotlin,12594,11574,12600,11535,13698,12452,ms
Task Path,:core:analytics:kspDemoDebugKotlin,3511,3536,3439,3552,3861,3844,ms
Task Path,:ui-test-hilt-manifest:kspDemoDebugKotlin,6641,6511,6606,6459,7213,6850,ms
Task Path,:core:model:compileKotlin,14501,13598,14459,13651,15382,14128,ms
Task Path,:core:common:compileKotlin,2612,2636,2612,2611,2941,2937,ms
Task Path,:core:common:compileJava,1674,1553,1670,1546,1878,1725,ms
Task Path,:core:analytics:compileDemoDebugKotlin,3009,2791,2968,2799,3319,3170,ms
Task Path,:ui-test-hilt-manifest:compileDemoDebugKotlin,4187,3944,4197,3914,4576,4279,ms
Task Path,:core:analytics:compileDemoDebugJavaWithJavac,2523,2399,2480,2396,2904,2637,ms
Task Path,:core:network:kspDemoDebugKotlin,3779,3742,3777,3737,4112,3992,ms
Task Path,:core:datastore-proto:compileDemoDebugKotlin,4716,4651,4684,4634,5135,5117,ms
Task Path,:core:database:kspProdDebugKotlin,8899,8885,8875,8914,9592,9358,ms
Task Path,:core:database:kspDemoDebugKotlin,10895,10765,10810,10734,11505,11330,ms
Task Path,:core:datastore-proto:compileDemoDebugJavaWithJavac,1563,1580,1552,1580,1739,1711,ms
Task Path,:core:datastore:kspDemoDebugKotlin,3197,3159,3188,3146,3500,3427,ms
Task Path,:core:network:compileDemoDebugKotlin,6028,5904,5947,5871,6407,6283,ms
Task Path,:core:datastore:compileDemoDebugKotlin,3670,3432,3624,3434,4013,3776,ms
Task Path,:core:notifications:kspDemoDebugKotlin,3402,3300,3399,3317,3738,3564,ms
Task Path,:core:notifications:compileDemoDebugKotlin,1818,1857,1771,1823,2155,2223,ms
