Category,Metric,varianta_main Mean,variantb_lint_1.5g Mean,varianta_main P50,variantb_lint_1.5g P50,varianta_main P90,variantb_lint_1.5g P90,Unit
Build,Build time,1642304,1057511,1591554,1035889,1856659,1153438,ms
Build,Configuration time,83526,82140,82718,81412,88722,84902,ms
Gradle process state,Gradle-Process-gcTime,0.87,2.16,0.89,2.13,0.92,2.37,
Kotlin process state,Kotlin-Process-gcTime,0.45,0.37,0.45,0.37,0.48,0.4,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2841,2536,2369,2057,4103,3807,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1895,2294,1882,2308,2148,2577,ms
Task Path,:build-logic:convention:compileKotlin,7120,6871,6665,6641,9388,7259,ms
Task Path,:layer_0:module_0_100:kaptGenerateStubsDebugKotlin,1497,1475,1461,1481,1699,1559,ms
Task Path,:layer_0:module_0_1:kaptGenerateStubsDebugKotlin,3061,2867,3008,2872,3410,2999,ms
Task Path,:layer_0:module_0_10:kaptGenerateStubsDebugKotlin,2230,2195,2183,2207,2452,2322,ms
Task Path,:layer_0:module_0_101:kaptGenerateStubsDebugKotlin,1155,1136,1123,1127,1337,1243,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,15483,15497,15414,15462,15931,16000,ms
Task Path,:layer_0:module_0_100:compileDebugKotlin,15447,15434,15422,15389,15932,15977,ms
Task Path,:layer_0:module_0_101:compileDebugKotlin,15356,15309,15343,15233,15830,15675,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,15573,15497,15563,15419,15999,15983,ms
Task Path,:layer_0:module_0_102:compileDebugKotlin,9248,9430,9208,9052,10345,11830,ms
Task Path,:layer_0:module_0_103:compileDebugKotlin,8956,9139,9011,8842,10149,11645,ms
Task Path,:layer_0:module_0_104:compileDebugKotlin,8415,6767,8328,6761,9479,7363,ms
Task Path,:layer_0:module_0_107:compileDebugKotlin,6518,7423,6566,7546,7507,8834,ms
