Category,Metric,varianta_main Mean,variantb_agp_8_10_1 Mean,varianta_main P50,variantb_agp_8_10_1 P50,varianta_main P90,variantb_agp_8_10_1 P90,Unit
Build,Build time,222202,223560,221895,222718,230241,236482,ms
Build,Configuration time,40633,41330,40455,41328,42103,42889,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.14,0.14,0.14,0.14,0.15,0.15,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,3.69,3.71,3.68,3.69,3.82,3.93,
Gradle process state,Gradle-Process-usage,2.21,1.85,2.36,1.54,3.18,2.91,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.1,0.11,0.11,0.11,0.12,0.13,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,2.94,2.95,2.94,2.93,3.03,3.11,
Kotlin process state,Kotlin-Process-usage,1.4,1.38,1.4,1.36,2.0,2.22,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,42,42,40,41,57,56,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,17,17,8,8,48,47,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,4101,4149,2909,2969,10772,10888,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,707,709,444,445,1451,1477,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,45,33,34,94,96,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,4,3,3,6,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,14,9,9,19,20,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,87,88,103,111,163,151,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,63,66,68,71,110,118,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,24,23,22,46,49,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,22,27,19,21,37,62,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,14,13,13,23,24,ms
Task Type,com.android.build.gradle.tasks.MergeResources,314,320,33,33,192,199,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,622,624,145,139,1720,1751,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,98,96,43,44,235,230,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,59,60,11,12,42,42,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,15,13,13,32,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,8,6,7,14,15,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,43,42,24,24,47,47,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,18,18,12,13,30,30,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,29,29,20,21,50,51,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,576,698,373,424,1105,2467,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,81,80,17,18,230,219,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,208,152,43,38,1285,193,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3929,3945,3287,3335,6601,6507,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1514,1496,1506,1474,2184,2125,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,11,9,9,21,20,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,361,364,112,114,883,779,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,149,145,22,23,67,70,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,77,75,9,9,368,354,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,89,90,83,72,150,154,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,32,31,30,32,54,50,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,5,3,4,2,11,7,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,21,20,12,12,26,24,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,27,28,14,12,65,71,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,18,16,16,30,32,ms
