Category,Metric,varianta_9.0.0-rc1 Mean,variantb_8.14.2 Mean,varianta_9.0.0-rc1 P50,variantb_8.14.2 P50,varianta_9.0.0-rc1 P90,variantb_8.14.2 P90,Unit
Build,Build time,878540,869710,872416,865152,914883,898425,ms
Build,Configuration time,68718,69700,67799,69455,71991,72393,ms
Gradle process state,Gradle-Process-capacity,4.99,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-gcTime,0.37,0.37,0.37,0.37,0.4,0.38,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,14.62,14.47,14.52,14.4,15.22,14.95,
Gradle process state,Gradle-Process-usage,4.02,3.83,4.04,3.71,4.61,4.76,
Kotlin process state,Kotlin-Process-capacity,3.69,3.67,3.8,3.64,4.32,4.48,
Kotlin process state,Kotlin-Process-gcTime,0.97,0.96,0.95,0.97,1.04,1.0,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,14.42,14.28,14.33,14.21,15.02,14.76,
Kotlin process state,Kotlin-Process-usage,1.45,1.85,1.23,1.58,3.54,3.35,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,41,35,38,60,58,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,35,34,34,47,48,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2536,2520,2257,2237,3685,3662,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,614,606,477,468,742,730,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,48,51,46,51,58,58,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,7,6,6,5,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,10,9,1,1,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,3,3,1,1,3,3,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,3,3,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,4,5,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,7,7,6,6,12,11,ms
Task Type,com.android.build.gradle.tasks.MergeResources,25,25,16,16,28,28,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,3,2,2,7,6,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,4,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,3,3,3,2,7,6,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,14,13,12,12,22,22,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,19,18,12,12,24,24,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,4,4,3,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,6,6,5,5,12,11,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,13,13,12,11,23,22,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,16,15,14,14,26,25,ms
