Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Build,Build time,914496,969364,913022,965146,936113,995622,ms
Build,Configuration time,72722,76656,72466,76200,75075,81020,ms
Gradle process state,Gradle-Process-capacity,5.96,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-gcTime,0.59,0.37,0.59,0.37,0.64,0.38,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,15.22,16.13,15.2,16.06,15.59,16.57,
Gradle process state,Gradle-Process-usage,4.37,4.65,4.4,4.67,5.08,5.58,
Kotlin process state,Kotlin-Process-capacity,5.98,5.99,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-gcTime,0.91,0.95,0.91,0.95,0.97,1.0,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,13.86,14.73,13.85,14.66,14.13,15.17,
Kotlin process state,Kotlin-Process-usage,1.89,1.83,1.56,1.67,3.6,3.04,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,32,29,30,30,48,36,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,32,31,32,31,45,39,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2284,2349,2029,2090,3200,3309,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,562,602,423,463,625,708,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,48,48,47,50,56,56,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,7,5,5,11,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,3,5,1,1,4,5,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,7,8,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,3,4,3,3,6,7,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,3,3,2,2,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,7,7,7,7,12,12,ms
Task Type,com.android.build.gradle.tasks.MergeResources,23,24,15,15,25,26,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,3,3,3,6,7,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,3,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,3,3,2,2,6,6,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,13,11,12,19,21,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,6,5,5,11,11,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,18,18,11,11,21,22,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,15,15,13,13,22,24,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,12,12,10,11,20,21,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3038,3115,2899,2973,3759,3889,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,55,59,43,45,82,88,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,11,12,9,10,19,20,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,112,118,98,102,174,189,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,18,19,8,9,16,18,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,4,4,3,3,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,3,3,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,33,36,28,29,59,65,ms
Task Type,com.android.build.gradle.tasks.BundleAar,16,17,14,14,29,31,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,22,24,17,19,34,40,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,2,2,7,8,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,8,9,6,6,11,12,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,80,86,79,84,94,104,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1280,1400,1213,1377,1684,1741,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,8,9,7,9,14,16,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,604,645,560,623,768,838,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,136,146,133,148,159,175,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,3,3,3,3,5,5,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,230,217,262,249,433,450,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2851,3123,2852,3076,3314,3714,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,6,6,6,6,10,11,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,213,243,213,232,269,328,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,134,157,121,146,214,262,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4286,5422,5209,7046,6985,8705,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,3033,3782,2864,3905,3226,4657,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2015,2157,1670,2045,4189,2667,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,898,727,702,666,1176,1049,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1659,2267,1624,2259,2296,3508,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,6,5,6,8,9,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,57,58,53,57,75,73,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,918,1057,853,1060,992,1297,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,3,2,3,3,5,ms
Task Path,:build-logic:convention:compileKotlin,6814,6768,6474,6561,9055,6909,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1983,1490,1266,1140,3305,2738,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8416,8929,8399,8916,8660,9399,ms
