Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Build,Build time,914496,969364,913022,965146,936113,995622,ms
Build,Configuration time,72722,76656,72466,76200,75075,81020,ms
Gradle process state,Gradle-Process-gcTime,0.59,0.37,0.59,0.37,0.64,0.38,
Kotlin process state,Kotlin-Process-gcTime,0.91,0.95,0.91,0.95,0.97,1.0,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2284,2349,2029,2090,3200,3309,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3038,3115,2899,2973,3759,3889,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1280,1400,1213,1377,1684,1741,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2851,3123,2852,3076,3314,3714,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4286,5422,5209,7046,6985,8705,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,3033,3782,2864,3905,3226,4657,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,2015,2157,1670,2045,4189,2667,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1659,2267,1624,2259,2296,3508,ms
Task Path,:build-logic:convention:compileKotlin,6814,6768,6474,6561,9055,6909,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1983,1490,1266,1140,3305,2738,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8416,8929,8399,8916,8660,9399,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,8038,8424,8016,8435,8292,8864,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,9288,9942,9295,9953,9581,10440,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,11364,11126,11586,11127,11932,11596,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,13002,13122,12976,13067,13410,13682,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,12968,13097,12961,13062,13322,13571,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,12885,13044,12840,13004,13214,13596,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,13164,13340,13193,13327,13547,13871,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1393,1421,1399,1426,1485,1553,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,3951,3977,3928,3965,4180,4267,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,3852,3888,3834,3878,4096,4126,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,4629,4683,4655,4663,4987,4985,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4321,4409,4305,4418,4590,4713,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,5577,5587,5593,5564,5965,5915,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,5923,5978,5866,6005,6399,6415,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,6050,6196,6010,6234,6533,6607,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,6630,6769,6627,6764,6977,7327,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,3680,3795,3688,3771,3940,4100,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3653,3719,3656,3690,3885,4032,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,4149,4308,4153,4302,4354,4647,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,4060,4159,4085,4185,4306,4391,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,4423,4527,4435,4480,4727,4821,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,4317,4451,4264,4382,4754,4889,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,6874,6648,6329,6479,9581,7407,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,7019,7110,6848,6943,7635,7667,ms
Task Path,:layer_0:module_0_21:kspDebugKotlin,4720,3932,4850,3897,5380,4404,ms
Task Path,:layer_0:module_0_20:kspDebugKotlin,5171,4944,5142,4990,5924,5377,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,3279,3944,3220,3981,3566,4571,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,4030,4868,3972,4931,4534,5581,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,4140,4538,4200,4448,4471,5145,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3681,4148,3722,4094,4002,4702,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,3765,4353,3731,4398,4127,4826,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,3278,4185,3220,4191,3492,4872,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3741,4119,3743,4161,4003,4522,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,5206,6321,5182,6335,5653,7251,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2427,2449,2425,2402,2673,2798,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,4187,4284,4202,4304,4700,4919,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3596,3775,3615,3695,4221,4243,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3479,3629,3457,3610,4026,4117,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3342,3484,3328,3478,3622,3787,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3282,3402,3296,3372,3496,3679,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,3758,3958,3737,3914,4124,4361,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,1943,1964,1907,1952,2233,2229,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,2342,2454,2330,2442,2767,2893,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,3731,3842,3723,3809,4140,4283,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3255,3371,3222,3385,3744,3832,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,2376,2449,2351,2419,2574,2764,ms
Task Path,:layer_0:module_0_31:kspDebugKotlin,3278,3385,3234,3426,3546,3683,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3201,3262,3189,3237,3463,3611,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,3773,3957,3765,3931,4042,4396,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,2010,2097,1982,2096,2266,2377,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,2943,3048,2999,3125,3289,3458,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,3220,3215,3229,3221,3458,3513,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,3363,3352,3363,3336,3618,3647,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,1946,1985,1922,1981,2283,2242,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,2818,2905,2827,2891,3239,3222,ms
