Category,Metric,varianta_kotlin_2.2.0 Mean,variantb_k2_kotlin_2.2.0 Mean,varianta_kotlin_2.2.0 P50,variantb_k2_kotlin_2.2.0 P50,varianta_kotlin_2.2.0 P90,variantb_k2_kotlin_2.2.0 P90,Unit
Build,Build time,581085,623762,577115,621142,598178,643598,ms
Build,Configuration time,59302,57817,58558,56856,66588,62461,ms
Gradle process state,Gradle-Process-gcTime,0.23,0.56,0.23,0.56,0.24,0.6,
Kotlin process state,Kotlin-Process-gcTime,0.5,0.28,0.5,0.28,0.54,0.3,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2606,2855,2202,2327,3709,4251,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1953,2105,1938,2057,2224,2430,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1571,1548,1536,1565,2019,1957,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3956,3790,2989,2852,8747,8417,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1469,1427,1472,1372,1745,1736,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1386,1326,1118,1043,2574,2902,ms
Task Path,:build-logic:convention:compileKotlin,6794,6546,6464,6357,8824,6918,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1412,1368,1280,936,2687,2573,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,8636,13518,8604,13452,9021,14018,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,8212,13165,8150,13095,8617,13696,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,9444,14032,9406,14032,9828,14413,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,10481,14536,10420,14501,10905,14985,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,10931,13810,10899,13789,11360,14416,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,10859,13584,10804,13371,11273,14544,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,10968,14359,10933,14347,11449,14881,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,10916,13950,10864,13625,11428,15007,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1459,1443,1411,1427,1760,1601,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,4605,6783,4488,6749,5054,7417,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4452,6669,4371,6683,4829,7216,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4320,7106,4210,7064,4793,7717,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,5179,7954,5106,7886,5708,8671,ms
