Category,Metric,varianta_kotlin_2.1.21 Mean,variantb_k2_kotlin_2.1.21 Mean,varianta_kotlin_2.1.21 P50,variantb_k2_kotlin_2.1.21 P50,varianta_kotlin_2.1.21 P90,variantb_k2_kotlin_2.1.21 P90,Unit
Build,Build time,569857,617338,563940,611293,585511,633799,ms
Build,Configuration time,59321,58671,58339,58439,65559,63499,ms
Gradle process state,Gradle-Process-capacity,3.6,4.99,3.54,5.0,3.89,5.0,
Gradle process state,Gradle-Process-gcTime,0.23,0.55,0.23,0.55,0.24,0.59,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,9.47,10.26,9.38,10.16,9.74,10.54,
Gradle process state,Gradle-Process-usage,2.66,3.31,2.65,3.11,3.11,4.42,
Kotlin process state,Kotlin-Process-capacity,3.31,2.93,3.33,2.89,3.7,3.29,
Kotlin process state,Kotlin-Process-gcTime,0.48,0.27,0.49,0.28,0.52,0.3,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,8.28,8.67,8.3,8.88,8.54,9.16,
Kotlin process state,Kotlin-Process-usage,1.26,1.24,1.25,1.25,1.81,2.14,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,33,37,33,34,42,54,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,38,35,34,44,59,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2496,2772,2087,2190,3578,4137,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,484,510,393,416,640,702,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,46,45,45,44,55,54,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,7,9,1,1,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,9,7,3,3,7,7,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,6,7,5,6,11,11,ms
Task Type,com.android.build.gradle.tasks.MergeResources,29,30,15,17,29,28,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,3,2,2,6,6,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,4,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,21,23,13,14,25,24,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,14,12,13,11,23,19,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,4,4,3,4,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,6,6,5,6,12,11,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,13,14,12,12,23,23,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,16,17,14,15,26,25,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3211,,3035,,4034,,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,55,60,43,48,81,89,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,12,13,11,12,21,22,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,19,19,10,10,19,19,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,100,104,86,87,152,165,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,4,4,3,3,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,3,3,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,26,27,21,21,45,46,ms
Task Type,com.android.build.gradle.tasks.BundleAar,14,15,12,12,26,26,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,20,20,19,18,30,28,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,1,1,1,1,3,4,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,10,11,8,8,15,16,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,639,736,632,662,1012,1133,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,73,71,64,68,115,89,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,9,7,9,7,15,10,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,300,321,279,302,444,462,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,126,142,121,142,160,182,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,2,3,2,3,3,4,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,66,75,72,82,116,112,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2030,2123,1961,2071,2457,2405,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,6,7,7,6,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,211,191,198,183,295,248,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,97,91,93,86,136,126,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1813,1609,1742,1552,2301,2119,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3932,3733,2978,2920,8791,8239,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1389,1311,1400,1277,1683,1573,ms
