Category,Metric,varianta_k2_kotlin_2.2.0 Mean,variantb_k2_increase_memory_gradle Mean,varianta_k2_kotlin_2.2.0 P50,variantb_k2_increase_memory_gradle P50,varianta_k2_kotlin_2.2.0 P90,variantb_k2_increase_memory_gradle P90,Unit
Build,Build time,618083,626643,615197,623364,639174,649371,ms
Build,Configuration time,56945,58217,56633,57954,59913,61223,ms
Gradle process state,Gradle-Process-capacity,4.98,7.7,5.0,7.73,5.0,7.96,
Gradle process state,Gradle-Process-gcTime,0.55,0.56,0.56,0.55,0.59,0.65,
Gradle process state,Gradle-Process-max,5.0,8.0,5.0,8.0,5.0,8.0,
Gradle process state,Gradle-Process-uptime,10.28,10.42,10.23,10.36,10.63,10.8,
Gradle process state,Gradle-Process-usage,3.49,3.65,3.46,3.39,4.33,4.93,
Kotlin process state,Kotlin-Process-capacity,2.9,2.95,2.89,2.95,3.17,3.19,
Kotlin process state,Kotlin-Process-gcTime,0.27,0.3,0.27,0.28,0.29,0.38,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,9.0,9.1,8.92,9.06,9.34,9.43,
Kotlin process state,Kotlin-Process-usage,1.25,1.27,1.23,1.24,1.74,1.84,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,33,35,33,66,38,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,37,36,36,36,49,44,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2835,2852,2300,2323,4197,4256,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,510,513,419,421,698,700,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,46,48,46,46,51,57,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,7,7,6,6,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,6,7,1,1,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,2,1,1,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,11,8,3,3,7,7,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,7,7,6,6,11,12,ms
Task Type,com.android.build.gradle.tasks.MergeResources,29,30,17,17,28,28,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,3,2,2,5,6,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,3,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,3,3,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,4,4,4,4,8,8,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,11,11,19,19,ms
