Category,Metric,varianta_k2_kotlin_2.2.0 Mean,variantb_k2_increase_memory_gradle Mean,varianta_k2_kotlin_2.2.0 P50,variantb_k2_increase_memory_gradle P50,varianta_k2_kotlin_2.2.0 P90,variantb_k2_increase_memory_gradle P90,Unit
Build,Build time,618083,626643,615197,623364,639174,649371,ms
Build,Configuration time,56945,58217,56633,57954,59913,61223,ms
Gradle process state,Gradle-Process-gcTime,0.55,0.56,0.56,0.55,0.59,0.65,
Kotlin process state,Kotlin-Process-gcTime,0.27,0.3,0.27,0.28,0.29,0.38,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2835,2852,2300,2323,4197,4256,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3677,3697,3307,3334,4812,4816,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2152,2561,2082,2503,2601,3099,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1410,1944,1374,1888,1727,2407,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3793,3920,2899,3003,8537,8784,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1386,1450,1364,1392,1654,1782,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1419,1661,1068,1371,2691,2891,ms
Task Path,:build-logic:convention:compileKotlin,6508,6758,6327,6449,6759,8837,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,14475,14757,14427,14688,15029,15539,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,13167,13189,13102,13149,13688,14016,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,13512,13549,13444,13495,14034,14319,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,14011,14039,13969,13963,14501,14752,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,13784,13853,13548,13571,14731,14853,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,13715,13776,13655,13776,14368,14305,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,14242,14357,14197,14345,14940,14839,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,13439,13457,13298,13378,14480,14298,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1400,1438,1392,1429,1527,1587,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,6818,6794,6836,6726,7338,7478,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,6685,6753,6703,6752,7515,7524,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,7172,7200,7233,7177,7850,7946,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,8140,8106,8129,8041,8707,8737,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,7480,7673,7511,7713,8107,8215,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,7268,7400,7204,7428,7923,7840,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,6166,6289,6075,6275,6775,6765,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,5928,6095,5922,6086,6354,6534,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,5069,5101,4966,5037,5580,5732,ms
