Category,Metric,varianta_8.14.2 Mean,variantb_9.0.0-rc4 Mean,varianta_8.14.2 P50,variantb_9.0.0-rc4 P50,varianta_8.14.2 P90,variantb_9.0.0-rc4 P90,Unit
Build,Build time,872077,879564,874976,878488,905630,914242,ms
Build,Configuration time,69937,68455,69868,68175,73026,70513,ms
Gradle process state,Gradle-Process-gcTime,0.37,0.37,0.37,0.37,0.38,0.38,
Kotlin process state,Kotlin-Process-gcTime,0.96,0.94,0.96,0.94,1.01,0.99,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2542,2538,2253,2237,3682,3671,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3206,3247,3099,3100,4116,4127,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2566,2581,2555,2535,2870,3059,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1865,1931,1864,1869,2163,2391,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4413,4406,5839,5812,7118,7142,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1924,1869,1871,1863,2333,2310,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1751,1827,1522,1770,2923,2758,ms
Task Path,:build-logic:convention:compileKotlin,6493,6336,6439,6312,6869,6611,ms
Task Path,:layer_0:module_0_1:parseDebugLocalResources,1718,1228,1156,940,3900,2748,ms
Task Path,:layer_0:module_0_1:kspDebugKotlin,7296,10674,7318,10503,7613,11359,ms
Task Path,:layer_0:module_0_10:kspDebugKotlin,6469,9771,6476,9627,6735,10344,ms
Task Path,:layer_0:module_0_12:kspDebugKotlin,5127,8461,5120,8371,5450,8930,ms
Task Path,:layer_0:module_0_11:kspDebugKotlin,5864,8910,5876,8809,6186,9363,ms
Task Path,:layer_0:module_0_10:compileDebugKotlin,12641,14416,12607,14299,13126,15188,ms
Task Path,:layer_0:module_0_12:compileDebugKotlin,12989,14352,12963,14246,13510,15106,ms
Task Path,:layer_0:module_0_11:compileDebugKotlin,13670,14582,13687,14453,14270,15455,ms
Task Path,:layer_0:module_0_1:compileDebugKotlin,13770,14685,13723,14590,14284,15531,ms
Task Path,:layer_0:module_0_1:compileDebugJavaWithJavac,1769,1705,1711,1680,2093,1879,ms
Task Path,:layer_0:module_0_13:kspDebugKotlin,3866,4001,3827,3987,4283,4301,ms
Task Path,:layer_0:module_0_14:kspDebugKotlin,4393,4540,4314,4495,4813,4990,ms
Task Path,:layer_0:module_0_15:kspDebugKotlin,4845,5114,4823,5003,5205,5613,ms
Task Path,:layer_0:module_0_16:kspDebugKotlin,4539,4722,4504,4650,4988,5210,ms
Task Path,:layer_0:module_0_13:compileDebugKotlin,3879,4078,3872,4068,4191,4509,ms
Task Path,:layer_0:module_0_15:compileDebugKotlin,7061,7280,7049,7274,7598,8096,ms
Task Path,:layer_0:module_0_17:kspDebugKotlin,4070,4199,4066,4221,4579,4729,ms
Task Path,:layer_0:module_0_16:compileDebugKotlin,7444,7704,7527,7740,8200,8395,ms
Task Path,:layer_0:module_0_14:compileDebugKotlin,8538,8874,8559,8872,9279,9628,ms
Task Path,:layer_0:module_0_17:compileDebugKotlin,3167,3207,3175,3231,3752,3620,ms
Task Path,:layer_0:module_0_19:kspDebugKotlin,3746,3774,3779,3708,4200,4207,ms
Task Path,:layer_0:module_0_18:kspDebugKotlin,4133,4199,4154,4173,4811,4749,ms
Task Path,:layer_0:module_0_2:kspDebugKotlin,3685,3767,3664,3760,4229,4236,ms
Task Path,:layer_0:module_0_19:compileDebugKotlin,2878,3037,2924,3121,3257,3462,ms
Task Path,:layer_0:module_0_2:compileDebugKotlin,2730,2847,2765,2859,3143,3351,ms
Task Path,:layer_0:module_0_20:kspDebugKotlin,5246,5321,5340,5237,5822,5910,ms
Task Path,:layer_0:module_0_18:compileDebugKotlin,4850,4910,4941,4873,5370,5481,ms
Task Path,:layer_0:module_0_21:kspDebugKotlin,3818,3768,3851,3714,4326,4414,ms
Task Path,:layer_0:module_0_22:kspDebugKotlin,3502,3528,3467,3497,3919,3941,ms
Task Path,:layer_0:module_0_23:kspDebugKotlin,3280,3254,3234,3255,3627,3558,ms
Task Path,:layer_0:module_0_20:compileDebugKotlin,5964,6061,5813,5881,6690,6791,ms
Task Path,:layer_0:module_0_23:compileDebugKotlin,2636,2764,2638,2776,3227,3129,ms
Task Path,:layer_0:module_0_21:compileDebugKotlin,5391,5380,5427,5381,5905,5846,ms
Task Path,:layer_0:module_0_22:compileDebugKotlin,4090,4114,4070,4122,4533,4618,ms
Task Path,:layer_0:module_0_24:kspDebugKotlin,4059,4067,3993,4139,4752,4708,ms
Task Path,:layer_0:module_0_25:kspDebugKotlin,3602,3620,3564,3602,3975,4143,ms
Task Path,:layer_0:module_0_26:kspDebugKotlin,3372,3419,3380,3396,3661,4011,ms
Task Path,:layer_0:module_0_27:kspDebugKotlin,3540,3590,3522,3554,3931,3908,ms
Task Path,:layer_0:module_0_24:compileDebugKotlin,5206,5306,5205,5282,5751,5951,ms
Task Path,:layer_0:module_0_25:compileDebugKotlin,2401,2440,2338,2418,2736,2832,ms
Task Path,:layer_0:module_0_26:compileDebugKotlin,3964,4025,3928,4036,4389,4443,ms
Task Path,:layer_0:module_0_27:compileDebugKotlin,4601,4681,4567,4700,5123,5140,ms
Task Path,:layer_0:module_0_29:kspDebugKotlin,3216,3233,3242,3240,3549,3482,ms
Task Path,:layer_0:module_0_28:kspDebugKotlin,3727,3769,3731,3808,4177,4325,ms
Task Path,:layer_0:module_0_3:kspDebugKotlin,3837,3910,3763,3889,4488,4505,ms
Task Path,:layer_0:module_0_29:compileDebugKotlin,2542,2577,2481,2551,3097,3040,ms
Task Path,:layer_0:module_0_28:compileDebugKotlin,4038,4034,3917,4034,4719,4660,ms
Task Path,:layer_0:module_0_30:kspDebugKotlin,4471,4412,4421,4421,5159,5053,ms
Task Path,:layer_0:module_0_31:kspDebugKotlin,3903,3923,3783,3902,4420,4301,ms
Task Path,:layer_0:module_0_3:compileDebugKotlin,4477,4361,4419,4377,5135,5053,ms
Task Path,:layer_0:module_0_30:compileDebugKotlin,3678,3645,3616,3640,4388,4277,ms
Task Path,:layer_0:module_0_32:kspDebugKotlin,3699,3745,3643,3698,4184,4349,ms
Task Path,:layer_0:module_0_31:compileDebugKotlin,4595,4565,4516,4385,5254,5312,ms
Task Path,:layer_0:module_0_33:kspDebugKotlin,3779,3776,3726,3730,4324,4352,ms
Task Path,:layer_0:module_0_34:kspDebugKotlin,3013,3055,2954,3017,3466,3529,ms
Task Path,:layer_0:module_0_32:compileDebugKotlin,3570,3549,3484,3474,4219,4035,ms
Task Path,:layer_0:module_0_34:compileDebugKotlin,1667,1682,1658,1669,1926,1991,ms
Task Path,:layer_0:module_0_35:kspDebugKotlin,3518,3624,3410,3550,3869,4191,ms
Task Path,:layer_0:module_0_33:compileDebugKotlin,4123,4159,4021,4110,4632,4662,ms
Task Path,:layer_0:module_0_35:compileDebugKotlin,2084,2070,1977,1988,2511,2540,ms
Task Path,:layer_0:module_0_36:kspDebugKotlin,3476,3661,3420,3630,4001,4215,ms
Task Path,:layer_0:module_0_37:kspDebugKotlin,3693,3796,3705,3798,4289,4415,ms
Task Path,:layer_0:module_0_36:compileDebugKotlin,3140,3156,3119,3109,3646,3741,ms
Task Path,:layer_0:module_0_38:kspDebugKotlin,3870,3814,3876,3724,4358,4395,ms
Task Path,:layer_0:module_0_39:kspDebugKotlin,3121,3225,3092,3193,3487,3788,ms
Task Path,:layer_0:module_0_37:compileDebugKotlin,4275,4253,4288,4214,4825,4992,ms
Task Path,:layer_0:module_0_39:compileDebugKotlin,1818,1786,1852,1766,2060,2014,ms
Task Path,:layer_0:module_0_38:compileDebugKotlin,4028,4133,4039,4096,4444,4739,ms
Task Path,:layer_0:module_0_4:kspDebugKotlin,3370,3475,3357,3421,3754,3966,ms
Task Path,:layer_0:module_0_40:kspDebugKotlin,3607,3500,3556,3502,4086,3844,ms
Task Path,:layer_0:module_0_41:kspDebugKotlin,2980,2921,2929,2910,3302,3309,ms
Task Path,:layer_0:module_0_4:compileDebugKotlin,2551,2451,2509,2459,2917,2738,ms
Task Path,:layer_0:module_0_40:compileDebugKotlin,1614,1574,1616,1545,1836,1813,ms
Task Path,:layer_0:module_0_41:compileDebugKotlin,2129,2123,2099,2116,2454,2364,ms
Task Path,:layer_0:module_0_42:kspDebugKotlin,2979,2991,2962,2964,3295,3423,ms
Task Path,:layer_0:module_0_42:compileDebugKotlin,1989,1976,1922,1935,2288,2215,ms
Task Path,:layer_0:module_0_43:kspDebugKotlin,3178,3265,3169,3195,3522,3715,ms
Task Path,:layer_0:module_0_44:kspDebugKotlin,3296,3264,3296,3253,3714,3740,ms
Task Path,:layer_0:module_0_45:kspDebugKotlin,3899,3787,3892,3814,4325,4117,ms
Task Path,:layer_0:module_0_46:kspDebugKotlin,3535,3447,3542,3444,3978,3839,ms
Task Path,:layer_0:module_0_44:compileDebugKotlin,2641,2442,2684,2419,3047,2850,ms
Task Path,:layer_0:module_0_45:compileDebugKotlin,2428,2405,2397,2357,2935,2915,ms
Task Path,:layer_0:module_0_43:compileDebugKotlin,3516,3469,3574,3441,4242,4004,ms
Task Path,:layer_0:module_0_46:compileDebugKotlin,2908,2933,2796,2944,3444,3289,ms
Task Path,:layer_0:module_0_47:kspDebugKotlin,3217,3225,3204,3237,3618,3664,ms
Task Path,:layer_0:module_0_48:kspDebugKotlin,3228,3296,3227,3231,3595,3860,ms
Task Path,:layer_0:module_0_49:kspDebugKotlin,3309,3378,3345,3388,3655,3756,ms
Task Path,:layer_0:module_0_5:kspDebugKotlin,3759,3791,3749,3765,4048,4206,ms
Task Path,:layer_0:module_0_48:compileDebugKotlin,2398,2450,2386,2428,2686,2823,ms
Task Path,:layer_0:module_0_47:compileDebugKotlin,2707,2794,2715,2705,3026,3264,ms
Task Path,:layer_0:module_0_49:compileDebugKotlin,3320,3344,3322,3326,3632,3783,ms
Task Path,:layer_0:module_0_5:compileDebugKotlin,3256,3166,3220,3128,3853,3628,ms
Task Path,:layer_0:module_0_50:kspDebugKotlin,3482,3514,3460,3463,3867,3960,ms
Task Path,:layer_0:module_0_51:kspDebugKotlin,3318,3402,3325,3361,3969,3941,ms
Task Path,:layer_0:module_0_52:kspDebugKotlin,3712,3658,3673,3674,4260,4079,ms
Task Path,:layer_0:module_0_53:kspDebugKotlin,3636,3509,3600,3513,4133,3862,ms
Task Path,:layer_0:module_0_50:compileDebugKotlin,1694,1743,1644,1670,2137,2157,ms
Task Path,:layer_0:module_0_51:compileDebugKotlin,3399,3214,3368,3221,3921,3620,ms
Task Path,:layer_0:module_0_52:compileDebugKotlin,3707,3666,3645,3613,4320,4171,ms
Task Path,:layer_0:module_0_53:compileDebugKotlin,3477,3455,3408,3360,4009,3944,ms
Task Path,:layer_0:module_0_54:kspDebugKotlin,3156,3080,3095,3071,3695,3529,ms
Task Path,:layer_0:module_0_55:kspDebugKotlin,3443,3496,3472,3434,3861,4076,ms
Task Path,:layer_0:module_0_54:compileDebugKotlin,1900,1867,1872,1805,2238,2176,ms
Task Path,:layer_0:module_0_55:compileDebugKotlin,2108,2008,2037,1932,2591,2446,ms
Task Path,:layer_0:module_0_57:kspDebugKotlin,3316,3257,3287,3248,3801,3633,ms
Task Path,:layer_0:module_0_56:kspDebugKotlin,3224,3193,3180,3177,3771,3765,ms
Task Path,:layer_0:module_0_58:kspDebugKotlin,3376,3383,3296,3360,3829,3835,ms
Task Path,:layer_0:module_0_57:compileDebugKotlin,3260,3173,3184,3096,3815,3744,ms
Task Path,:layer_0:module_0_59:kspDebugKotlin,3045,2970,2963,2935,3610,3415,ms
Task Path,:layer_0:module_0_56:compileDebugKotlin,3345,3294,3244,3229,4051,3816,ms
Task Path,:layer_0:module_0_58:compileDebugKotlin,3667,3547,3544,3473,4479,4119,ms
Task Path,:layer_0:module_0_59:compileDebugKotlin,1664,1732,1621,1663,1991,2239,ms
Task Path,:layer_0:module_0_6:kspDebugKotlin,2823,2717,2780,2689,3604,3249,ms
Task Path,:layer_0:module_0_60:kspDebugKotlin,3412,3435,3320,3365,4030,4199,ms
Task Path,:layer_0:module_0_6:compileDebugKotlin,2018,2075,1916,2006,2520,2534,ms
Task Path,:layer_0:module_0_60:compileDebugKotlin,1988,1993,1952,1965,2232,2379,ms
Task Path,:layer_0:module_0_62:kspDebugKotlin,3021,3044,2969,3019,3454,3399,ms
Task Path,:layer_0:module_0_61:kspDebugKotlin,3254,3232,3220,3205,3658,3774,ms
Task Path,:layer_0:module_0_62:compileDebugKotlin,2247,2334,2224,2356,2572,2655,ms
Task Path,:layer_0:module_0_61:compileDebugKotlin,3031,3151,2961,3130,3333,3566,ms
Task Path,:layer_0:module_0_63:kspDebugKotlin,3091,3133,3215,3165,3540,3753,ms
Task Path,:layer_0:module_0_64:kspDebugKotlin,2849,2965,2863,2885,3257,3455,ms
Task Path,:layer_0:module_0_65:kspDebugKotlin,3155,3272,3141,3212,3413,3751,ms
Task Path,:layer_0:module_0_64:compileDebugKotlin,2057,2071,2021,2041,2359,2450,ms
Task Path,:layer_0:module_0_63:compileDebugKotlin,2707,2719,2668,2624,3197,3154,ms
Task Path,:layer_0:module_0_66:kspDebugKotlin,3031,3153,3027,3057,3429,3757,ms
Task Path,:layer_0:module_0_65:compileDebugKotlin,1654,1615,1619,1581,2029,1910,ms
Task Path,:layer_0:module_0_66:compileDebugKotlin,2752,2748,2660,2676,3310,3319,ms
Task Path,:layer_0:module_0_67:kspDebugKotlin,2905,2904,2804,2878,3612,3555,ms
Task Path,:layer_0:module_0_68:kspDebugKotlin,3234,3337,3285,3288,3661,3841,ms
Task Path,:layer_0:module_0_69:kspDebugKotlin,3280,3324,3251,3343,3753,3720,ms
Task Path,:layer_0:module_0_67:compileDebugKotlin,2202,2303,2143,2305,2636,2781,ms
Task Path,:layer_0:module_0_7:kspDebugKotlin,3097,3180,3028,3168,3498,3706,ms
Task Path,:layer_0:module_0_68:compileDebugKotlin,2869,2905,2740,2833,3373,3424,ms
Task Path,:layer_0:module_0_69:compileDebugKotlin,3241,3288,3201,3258,3800,3786,ms
Task Path,:layer_0:module_0_7:compileDebugKotlin,2527,2569,2488,2547,2894,2996,ms
Task Path,:layer_0:module_0_70:kspDebugKotlin,3298,3287,3319,3377,3778,3832,ms
Task Path,:layer_0:module_0_70:compileDebugKotlin,1780,1737,1761,1743,2262,2086,ms
Task Path,:layer_0:module_0_8:kspDebugKotlin,2933,3027,2974,3007,3493,3728,ms
Task Path,:layer_0:module_0_9:kspDebugKotlin,3228,3177,3216,3095,3934,3664,ms
Task Path,:layer_0:module_0_8:compileDebugKotlin,2811,2745,2843,2707,3340,3399,ms
Task Path,:layer_0:module_0_9:compileDebugKotlin,3952,3745,3863,3698,4480,4360,ms
Task Path,:layer_1:module_1_100:kspDebugKotlin,4114,4072,4122,3986,4619,4660,ms
Task Path,:layer_1:module_1_101:kspDebugKotlin,3963,3850,3916,3732,4769,4606,ms
Task Path,:layer_1:module_1_100:compileDebugKotlin,2659,2527,2626,2461,3152,2798,ms
Task Path,:layer_1:module_1_103:kspDebugKotlin,3962,3983,3868,3891,4699,4740,ms
Task Path,:layer_1:module_1_102:kspDebugKotlin,4029,4046,3935,3933,4872,4924,ms
Task Path,:layer_1:module_1_101:compileDebugKotlin,3945,3829,4009,3721,4662,4508,ms
Task Path,:layer_1:module_1_103:compileDebugKotlin,2096,2037,2040,2036,2402,2393,ms
Task Path,:layer_1:module_1_102:compileDebugKotlin,3664,3599,3666,3529,4364,4480,ms
Task Path,:layer_1:module_1_104:kspDebugKotlin,3914,3881,3792,3788,4689,4748,ms
Task Path,:layer_1:module_1_104:compileDebugKotlin,2049,2088,2104,2035,2338,2481,ms
Task Path,:layer_1:module_1_105:kspDebugKotlin,4661,4678,4643,4701,5192,5107,ms
Task Path,:layer_1:module_1_106:kspDebugKotlin,4073,4056,4009,4055,4651,4610,ms
Task Path,:layer_1:module_1_107:kspDebugKotlin,4341,4322,4384,4372,4897,4800,ms
Task Path,:layer_1:module_1_106:compileDebugKotlin,3535,3590,3492,3593,4057,4153,ms
Task Path,:layer_1:module_1_105:compileDebugKotlin,4459,4337,4505,4195,5164,5096,ms
Task Path,:layer_1:module_1_108:kspDebugKotlin,4391,4442,4436,4411,5021,5230,ms
Task Path,:layer_1:module_1_107:compileDebugKotlin,4692,4590,4602,4555,5261,5172,ms
Task Path,:layer_1:module_1_108:compileDebugKotlin,4324,4190,4464,4300,4949,4749,ms
Task Path,:layer_1:module_1_109:kspDebugKotlin,3810,3598,3834,3546,4477,4216,ms
Task Path,:layer_1:module_1_110:kspDebugKotlin,4413,4308,4345,4166,5118,5303,ms
Task Path,:layer_1:module_1_111:kspDebugKotlin,4121,3988,4102,3879,4764,4822,ms
Task Path,:layer_1:module_1_109:compileDebugKotlin,3051,2948,3025,2776,3651,3836,ms
Task Path,:layer_1:module_1_110:compileDebugKotlin,3309,3071,3287,3076,3954,3788,ms
Task Path,:layer_1:module_1_111:compileDebugKotlin,4174,3890,4158,3979,4825,4567,ms
Task Path,:layer_1:module_1_112:kspDebugKotlin,4394,4210,4395,4136,5070,5065,ms
Task Path,:layer_1:module_1_113:kspDebugKotlin,3518,3425,3513,3395,4041,4072,ms
Task Path,:layer_1:module_1_113:compileDebugKotlin,2381,2230,2322,2274,3006,2657,ms
Task Path,:layer_1:module_1_112:compileDebugKotlin,4131,3937,4122,3901,4840,4736,ms
Task Path,:layer_1:module_1_114:kspDebugKotlin,3667,3601,3670,3669,4349,4201,ms
Task Path,:layer_1:module_1_115:kspDebugKotlin,3893,3899,3968,3897,4594,4420,ms
Task Path,:layer_1:module_1_115:compileDebugKotlin,2889,2752,2898,2721,3513,3384,ms
Task Path,:layer_1:module_1_114:compileDebugKotlin,3562,3289,3543,3298,4241,4067,ms
Task Path,:layer_1:module_1_116:kspDebugKotlin,3494,3479,3505,3434,4106,3946,ms
Task Path,:layer_1:module_1_117:kspDebugKotlin,3242,3245,3301,3164,3666,3822,ms
Task Path,:layer_1:module_1_117:compileDebugKotlin,2037,1882,2089,1856,2546,2369,ms
Task Path,:layer_1:module_1_116:compileDebugKotlin,2282,2085,2255,1999,2771,2540,ms
Task Path,:layer_1:module_1_118:kspDebugKotlin,3107,2855,3151,2776,3865,3716,ms
Task Path,:layer_1:module_1_119:kspDebugKotlin,2886,2734,2814,2686,3534,3389,ms
Task Path,:layer_1:module_1_118:compileDebugKotlin,2137,2047,2080,2092,2856,2482,ms
Task Path,:layer_1:module_1_119:compileDebugKotlin,1565,1489,1508,1458,1919,1887,ms
Task Path,:layer_1:module_1_121:kspDebugKotlin,2863,2787,2791,2753,3386,3393,ms
Task Path,:layer_1:module_1_120:kspDebugKotlin,3677,3585,3645,3492,4278,4471,ms
Task Path,:layer_1:module_1_121:compileDebugKotlin,1776,1685,1757,1625,2095,2107,ms
Task Path,:layer_1:module_1_122:kspDebugKotlin,3205,3002,3249,2966,3809,3671,ms
Task Path,:layer_1:module_1_120:compileDebugKotlin,2926,2751,2944,2653,3387,3361,ms
Task Path,:layer_1:module_1_123:kspDebugKotlin,2984,2819,3000,2767,3701,3574,ms
Task Path,:layer_1:module_1_124:kspDebugKotlin,3196,2996,3135,2939,3734,3442,ms
Task Path,:layer_1:module_1_122:compileDebugKotlin,2895,2751,2904,2635,3320,3128,ms
Task Path,:layer_1:module_1_123:compileDebugKotlin,2095,2019,2067,1946,2482,2444,ms
Task Path,:layer_1:module_1_124:compileDebugKotlin,1897,1882,1843,1862,2297,2251,ms
Task Path,:layer_1:module_1_125:kspDebugKotlin,3211,3165,3142,3119,3595,3725,ms
Task Path,:layer_1:module_1_125:compileDebugKotlin,1667,1545,1631,1537,2125,1873,ms
Task Path,:layer_1:module_1_126:kspDebugKotlin,2924,2674,2838,2633,3556,3238,ms
Task Path,:layer_1:module_1_127:kspDebugKotlin,2770,2604,2683,2607,3438,3162,ms
Task Path,:layer_1:module_1_128:kspDebugKotlin,3173,3089,3093,3064,3877,3674,ms
Task Path,:layer_1:module_1_127:compileDebugKotlin,1606,1611,1491,1583,2136,2033,ms
Task Path,:layer_1:module_1_129:kspDebugKotlin,2749,2806,2645,2827,3308,3287,ms
Task Path,:layer_1:module_1_126:compileDebugKotlin,2521,2384,2443,2275,3124,2796,ms
Task Path,:layer_1:module_1_128:compileDebugKotlin,1901,1857,1825,1844,2344,2346,ms
Task Path,:layer_1:module_1_129:compileDebugKotlin,1375,1411,1373,1318,1673,1814,ms
Task Path,:layer_1:module_1_130:kspDebugKotlin,3041,2976,3012,2922,3637,3590,ms
Task Path,:layer_1:module_1_131:kspDebugKotlin,2721,2690,2615,2654,3251,3232,ms
Task Path,:layer_1:module_1_132:kspDebugKotlin,3231,3096,3189,3059,3747,3545,ms
Task Path,:layer_1:module_1_130:compileDebugKotlin,2579,2489,2513,2454,2976,2904,ms
Task Path,:layer_1:module_1_133:kspDebugKotlin,3057,2948,3016,2902,3503,3456,ms
Task Path,:layer_1:module_1_131:compileDebugKotlin,2454,2351,2418,2276,2866,2805,ms
Task Path,:layer_1:module_1_132:compileDebugKotlin,2850,2844,2831,2754,3231,3465,ms
Task Path,:layer_1:module_1_133:compileDebugKotlin,2790,2792,2793,2688,3189,3356,ms
Task Path,:layer_1:module_1_134:kspDebugKotlin,2638,2660,2683,2677,3290,3279,ms
Task Path,:layer_1:module_1_135:kspDebugKotlin,2936,2814,2946,2754,3479,3407,ms
Task Path,:layer_1:module_1_134:compileDebugKotlin,2123,2091,2064,2039,2636,2609,ms
Task Path,:layer_1:module_1_135:compileDebugKotlin,1861,1864,1787,1741,2377,2582,ms
Task Path,:layer_1:module_1_137:kspDebugKotlin,2495,2594,2441,2527,3043,3207,ms
Task Path,:layer_1:module_1_136:kspDebugKotlin,3005,3077,2898,2962,3576,3764,ms
Task Path,:layer_1:module_1_137:compileDebugKotlin,1553,1529,1493,1451,1963,1917,ms
Task Path,:layer_1:module_1_138:kspDebugKotlin,2808,2802,2861,2776,3386,3523,ms
Task Path,:layer_1:module_1_136:compileDebugKotlin,2803,2726,2767,2647,3299,3180,ms
Task Path,:layer_1:module_1_139:kspDebugKotlin,2838,2791,2845,2710,3301,3399,ms
Task Path,:layer_1:module_1_138:compileDebugKotlin,2894,2682,2841,2636,3407,3044,ms
Task Path,:layer_1:module_1_140:kspDebugKotlin,3610,3487,3614,3409,4135,4058,ms
Task Path,:layer_1:module_1_139:compileDebugKotlin,2317,2174,2293,2094,2796,2553,ms
Task Path,:layer_1:module_1_71:kspDebugKotlin,2885,2764,2805,2648,3387,3356,ms
Task Path,:layer_1:module_1_140:compileDebugKotlin,2406,2242,2293,2159,2948,2777,ms
Task Path,:layer_1:module_1_71:compileDebugKotlin,2671,2543,2581,2403,3460,3140,ms
Task Path,:layer_1:module_1_73:kspDebugKotlin,2488,2383,2412,2299,3052,2798,ms
Task Path,:layer_1:module_1_72:kspDebugKotlin,3201,3048,3174,2994,3976,3562,ms
Task Path,:layer_1:module_1_73:compileDebugKotlin,1268,1251,1239,1197,1573,1586,ms
Task Path,:layer_1:module_1_74:kspDebugKotlin,2677,2609,2613,2478,3150,3079,ms
