Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Build,Build time,744363,4781554,745078,4748272,765304,4976704,ms
Build,Configuration time,69120,70830,68581,70424,72702,76690,ms
Gradle process state,Gradle-Process-gcTime,0.29,0.56,0.29,0.56,0.29,0.59,
Kotlin process state,Kotlin-Process-gcTime,0.77,0.01,0.77,0.01,0.81,0.01,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2171,29446,1871,29509,3131,33413,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,3321,3354,3273,3291,3803,3968,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3028,21377,2876,21294,4008,23143,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1164,1669,1138,1662,1420,1933,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5552,6843,4806,5188,11694,15123,ms
Task Path,:build-logic:convention:compileKotlin,6748,6774,6729,6729,7064,7142,ms
Task Path,:app:app:parseDebugLocalResources,1501,1521,1055,1245,3108,2398,ms
Task Path,:app:app:mergeDebugResources,4648,4478,4491,4257,5803,5415,ms
Task Path,:app:app:processDebugResources,3321,3354,3273,3291,3803,3968,ms
Task Path,:core:account:kspDebugKotlin,7055,21143,6979,20977,7748,22426,ms
Task Path,:core:alarm:kspDebugKotlin,5977,20510,5915,20391,6632,21663,ms
Task Path,:core:analytics:kspDebugKotlin,5618,21182,5551,21108,6299,22583,ms
Task Path,:core:article:kspDebugKotlin,4047,20543,3904,20610,4703,21655,ms
Task Path,:core:alarm:compileDebugKotlin,9189,29900,9134,29941,9630,31255,ms
Task Path,:core:article:compileDebugKotlin,8087,29109,8073,28906,8422,30565,ms
Task Path,:core:analytics:compileDebugKotlin,9918,33032,9888,32931,10396,34613,ms
Task Path,:core:account:compileDebugKotlin,10202,34167,10133,34285,10822,35700,ms
Task Path,:core:audio:kspDebugKotlin,5407,20029,5468,19965,6008,21477,ms
