Category,Metric,varianta_2.2.0 Mean,variantb_2.2.20-Beta2 Mean,varianta_2.2.0 P50,variantb_2.2.20-Beta2 P50,varianta_2.2.0 P90,variantb_2.2.20-Beta2 P90,Unit
Build,Build time,750638,762133,741872,752778,794976,828511,ms
Build,Configuration time,70962,72517,69967,70853,78211,81616,ms
Gradle process state,Gradle-Process-capacity,4.66,4.69,4.64,4.7,4.8,4.84,
Gradle process state,Gradle-Process-gcTime,0.29,0.29,0.29,0.29,0.3,0.31,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,12.49,12.68,12.34,12.52,13.23,13.79,
Gradle process state,Gradle-Process-usage,3.43,3.21,3.3,3.11,4.11,4.14,
Kotlin process state,Kotlin-Process-capacity,3.32,3.21,3.35,3.22,3.72,3.62,
Kotlin process state,Kotlin-Process-gcTime,0.77,0.73,0.78,0.72,0.81,0.8,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,12.28,11.03,12.14,10.91,13.0,12.0,
Kotlin process state,Kotlin-Process-usage,1.48,1.68,1.14,1.72,2.56,2.67,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,35,41,35,36,47,66,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,37,37,36,34,56,51,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2173,2199,1866,1856,3175,3179,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,469,466,376,372,635,644,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,41,41,40,42,49,48,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,3,2,4,6,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,3,3,3,3,6,5,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,758,784,720,810,989,965,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,3,3,3,3,5,5,ms
Task Type,com.android.build.gradle.tasks.MergeResources,23,23,9,9,13,13,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,75,67,70,66,117,90,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,16,14,17,30,23,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,4,ms
