Category,Metric,varianta_9.0.0 Mean,variantb_9.1.0-rc-1 Mean,varianta_9.0.0 P50,variantb_9.1.0-rc-1 P50,varianta_9.0.0 P90,variantb_9.1.0-rc-1 P90,Unit
Build,Build time,203511,204142,201350,203778,214991,212330,ms
Build,Configuration time,43812,43923,43698,44213,47612,46806,ms
Gradle process state,Gradle-Process-capacity,2.12,2.17,2.07,2.04,2.58,2.78,
Gradle process state,Gradle-Process-gcTime,0.07,0.07,0.07,0.07,0.08,0.08,
Gradle process state,Gradle-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Gradle process state,Gradle-Process-uptime,3.37,3.38,3.34,3.37,3.57,3.52,
Gradle process state,Gradle-Process-usage,1.45,1.51,1.39,1.44,1.93,1.95,
Kotlin process state,Kotlin-Process-capacity,2.48,2.52,2.48,2.51,2.72,2.72,
Kotlin process state,Kotlin-Process-gcTime,0.12,0.12,0.12,0.12,0.13,0.13,
Kotlin process state,Kotlin-Process-max,5.0,5.0,5.0,5.0,5.0,5.0,
Kotlin process state,Kotlin-Process-uptime,3.17,3.18,3.14,3.17,3.35,3.31,
Kotlin process state,Kotlin-Process-usage,1.09,1.07,1.12,1.02,1.81,1.71,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,37,37,35,56,44,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,41,38,39,37,65,47,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2566,2573,2278,2289,3606,3628,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,841,842,549,550,901,897,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,40,40,40,40,44,49,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,5,5,5,6,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,13,13,10,9,19,20,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,9,9,8,8,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,16,15,13,13,25,20,ms
Task Type,com.android.build.gradle.tasks.MergeResources,117,115,34,35,75,75,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1252,1249,1210,1240,1462,1454,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,6,6,6,6,11,11,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,16,17,15,23,23,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,1007,846,703,669,2303,1565,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,42,38,23,23,34,33,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,51,46,24,24,41,41,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,41,42,27,27,44,45,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,34,34,17,17,29,29,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,525,509,514,511,637,593,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,315,309,308,298,385,371,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,69,54,39,34,88,50,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,8,8,15,16,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2110,2135,2099,2121,2387,2391,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3325,3346,3106,3123,4032,4109,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,109,109,90,90,148,150,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,18,16,17,28,28,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,10,11,7,7,13,13,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,2,2,1,1,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,15,17,16,17,25,25,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,8,9,9,10,13,14,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,16,15,15,14,23,22,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,64,63,44,44,90,89,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,410,396,410,392,556,557,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,1195,1212,1161,1165,1559,1574,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1537,1590,1536,1548,1752,1883,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,198,194,180,176,225,226,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,44,45,11,11,18,18,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,6,6,2,2,5,6,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,9,9,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5730,5796,919,974,16007,16031,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,8,7,8,6,12,13,ms
