Category,Metric,varianta_agp_8.12 Mean,variantb_agp_9-alpha01 Mean,varianta_agp_8.12 P50,variantb_agp_9-alpha01 P50,varianta_agp_8.12 P90,variantb_agp_9-alpha01 P90,Unit
Build,Build time,375672,376991,372095,373656,392681,398487,ms
Build,Configuration time,43164,44092,42816,43210,46024,50201,ms
Gradle process state,Gradle-Process-gcTime,0.14,0.14,0.15,0.14,0.16,0.15,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.28,0.28,0.28,0.3,0.3,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3401,3383,3030,3007,5416,5410,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3715,3695,3495,3472,5093,5043,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2371,2452,2376,2490,2762,2766,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4757,4925,2698,2843,11703,11830,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1391,1430,1426,1399,1655,1894,ms
Task Path,:build-logic:convention:compileKotlin,6564,6463,6498,6410,7007,6823,ms
Task Path,:core:contact:kspDebugKotlin,6516,6495,6396,6445,6916,6879,ms
Task Path,:core:cart:kspDebugKotlin,7917,7645,7849,7645,8329,8046,ms
Task Path,:core:checkout:kspDebugKotlin,7065,6988,7006,6988,7522,7349,ms
Task Path,:core:identity:kspDebugKotlin,6249,6201,6239,6170,6629,6639,ms
Task Path,:core:checkout:compileDebugKotlin,7714,7591,7695,7524,8025,8158,ms
Task Path,:core:contact:compileDebugKotlin,8134,8067,8144,8048,8654,8405,ms
Task Path,:core:identity:compileDebugKotlin,9627,9561,9580,9524,10202,10145,ms
Task Path,:core:cart:compileDebugKotlin,10081,10022,10039,9891,10771,10820,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3182,3310,3157,3290,3734,3611,ms
Task Path,:core:login:kspDebugKotlin,5005,4915,5080,4927,5463,5377,ms
Task Path,:core:push:kspDebugKotlin,5093,5126,5071,5109,5750,5674,ms
Task Path,:core:login:compileDebugKotlin,5241,5229,5221,5188,5698,5736,ms
Task Path,:core:user:kspDebugKotlin,5848,5879,5836,5827,6469,6343,ms
Task Path,:feature:sync:kspDebugKotlin,5589,5572,5619,5470,6092,6299,ms
Task Path,:core:push:compileDebugKotlin,5951,5961,5919,5903,6470,6623,ms
Task Path,:feature:sync:compileDebugKotlin,4865,4890,4815,4864,5393,5324,ms
Task Path,:feature:search:kspDebugKotlin,4836,4971,4935,5038,5453,5549,ms
Task Path,:feature:feed:kspDebugKotlin,5129,4993,5164,4975,5629,5480,ms
Task Path,:core:user:compileDebugKotlin,9430,9406,9441,9441,10199,10167,ms
Task Path,:core:user:compileDebugJavaWithJavac,1229,1267,1222,1269,1521,1459,ms
Task Path,:domain:account:kspDebugKotlin,4182,4135,4107,4027,4933,4786,ms
Task Path,:feature:location:kspDebugKotlin,4893,4936,4807,4954,5550,5660,ms
Task Path,:domain:account:compileDebugKotlin,3473,3436,3447,3485,4138,4136,ms
Task Path,:feature:profile:kspDebugKotlin,4957,4719,4870,4655,5572,5414,ms
Task Path,:feature:network:kspDebugKotlin,4378,4062,4337,4054,5000,4487,ms
Task Path,:feature:feed:compileDebugKotlin,8000,7930,7813,7876,8960,9196,ms
Task Path,:feature:feed:compileDebugJavaWithJavac,1159,1143,1175,1137,1371,1430,ms
Task Path,:feature:post:kspDebugKotlin,5007,4887,5010,4860,5640,5440,ms
