Category,Metric,varianta_2.2.10 Mean,variantb_2.2.10-ksp2 Mean,varianta_2.2.10 P50,variantb_2.2.10-ksp2 P50,varianta_2.2.10 P90,variantb_2.2.10-ksp2 P90,Unit
Build,Build time,371257,401582,371581,399533,385551,416519,ms
Build,Configuration time,41831,40745,40900,40288,47422,44860,ms
Gradle process state,Gradle-Process-capacity,2.72,4.63,2.69,4.56,3.3,5.13,
Gradle process state,Gradle-Process-gcTime,0.15,0.34,0.15,0.34,0.16,0.36,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,6.17,6.67,6.17,6.64,6.41,6.92,
Gradle process state,Gradle-Process-usage,1.84,2.59,1.74,2.63,2.44,3.76,
Kotlin process state,Kotlin-Process-capacity,3.18,3.07,3.12,2.99,3.78,3.44,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.19,0.29,0.19,0.3,0.21,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,5.97,6.48,5.98,6.45,6.2,6.73,
Kotlin process state,Kotlin-Process-usage,1.27,1.22,1.23,1.21,2.0,1.76,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,38,31,37,30,57,36,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,33,33,33,44,44,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3726,3981,3260,3460,6885,7093,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,672,698,511,544,987,1041,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,38,36,38,36,43,41,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,1,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,11,12,6,6,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,4,3,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,10,9,2,3,8,7,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,9,9,8,8,15,15,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,13,12,12,21,20,ms
Task Type,com.android.build.gradle.tasks.MergeResources,82,82,32,32,51,51,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,38,35,22,22,42,40,ms
