Category,Metric,varianta_2.2.10 Mean,variantb_2.2.10-ksp2 Mean,varianta_2.2.10 P50,variantb_2.2.10-ksp2 P50,varianta_2.2.10 P90,variantb_2.2.10-ksp2 P90,Unit
Build,Build time,371257,401582,371581,399533,385551,416519,ms
Build,Configuration time,41831,40745,40900,40288,47422,44860,ms
Gradle process state,Gradle-Process-gcTime,0.15,0.34,0.15,0.34,0.16,0.36,
Kotlin process state,Kotlin-Process-gcTime,0.28,0.19,0.29,0.19,0.3,0.21,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3726,3981,3260,3460,6885,7093,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1042,1071,1071,1105,1290,1385,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2470,2443,2364,2395,3057,2842,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5351,5215,2867,3015,12938,12725,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1628,1451,1575,1432,2121,1744,ms
Task Path,:build-logic:convention:compileKotlin,6452,6323,6426,6291,6774,6584,ms
Task Path,:api:audio:parseDebugLocalResources,1576,1279,1018,909,4054,2353,ms
Task Path,:core:cart:kspDebugKotlin,7821,14365,7749,14394,8260,14843,ms
Task Path,:core:identity:kspDebugKotlin,6025,13202,6024,13264,6359,13585,ms
Task Path,:core:checkout:kspDebugKotlin,7043,13829,6973,13861,7535,14292,ms
Task Path,:core:contact:kspDebugKotlin,6543,13627,6505,13672,6897,14024,ms
Task Path,:core:checkout:compileDebugKotlin,7285,8052,7266,8005,7612,8611,ms
Task Path,:core:cart:compileDebugKotlin,7979,8964,7960,8936,8467,9448,ms
Task Path,:core:identity:compileDebugKotlin,8625,9121,8508,9069,9121,9627,ms
Task Path,:core:contact:compileDebugKotlin,10827,11010,10676,10987,11651,11522,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3903,3725,3894,3702,4490,4074,ms
Task Path,:core:login:kspDebugKotlin,5220,6751,5222,6803,5791,7232,ms
Task Path,:core:push:kspDebugKotlin,5266,8320,5246,8315,5860,8867,ms
Task Path,:feature:search:kspDebugKotlin,5464,9281,5503,9339,5974,9854,ms
Task Path,:feature:user:kspDebugKotlin,4887,8738,4881,8695,5472,9421,ms
Task Path,:core:login:compileDebugKotlin,7113,9083,7108,8952,7849,9695,ms
Task Path,:core:login:compileDebugJavaWithJavac,1055,1153,1059,1144,1273,1461,ms
Task Path,:core:push:compileDebugKotlin,7043,8577,6994,8545,7712,9463,ms
Task Path,:core:push:compileDebugJavaWithJavac,1068,1249,1054,1255,1239,1461,ms
Task Path,:feature:user:compileDebugKotlin,8069,8819,7983,8764,8895,9599,ms
