Category,Metric,varianta_jdk_17 Mean,variantb_jdk_21 Mean,varianta_jdk_17 P50,variantb_jdk_21 P50,varianta_jdk_17 P90,variantb_jdk_21 P90,Unit
Build,Build time,396626,381929,391789,379035,424128,403575,ms
Build,Configuration time,44278,43845,44064,42937,47542,47701,ms
Gradle process state,Gradle-Process-capacity,2.78,2.83,2.69,2.77,3.2,3.34,
Gradle process state,Gradle-Process-gcTime,0.12,0.14,0.12,0.14,0.13,0.15,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,6.59,6.34,6.52,6.3,7.05,6.71,
Gradle process state,Gradle-Process-usage,1.8,1.71,1.73,1.68,2.28,2.36,
Kotlin process state,Kotlin-Process-capacity,2.96,3.26,2.97,3.42,3.19,3.66,
Kotlin process state,Kotlin-Process-gcTime,0.3,0.4,0.3,0.4,0.34,0.47,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,6.39,6.15,6.32,6.11,6.84,6.51,
Kotlin process state,Kotlin-Process-usage,1.44,0.99,1.28,0.94,2.21,1.6,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,34,36,34,35,44,45,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,33,33,32,33,43,41,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3790,3511,3376,3132,5957,5530,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,649,626,518,495,870,841,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,40,38,40,36,44,46,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,10,10,5,6,11,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,2,2,1,1,3,4,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,1,1,1,1,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,10,8,3,2,7,8,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,8,7,7,6,15,14,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,11,10,11,10,20,19,ms
Task Type,com.android.build.gradle.tasks.MergeResources,62,60,28,27,50,51,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,37,36,23,22,42,42,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,25,24,23,22,41,39,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,13,13,11,11,22,21,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,4030,3806,3787,3572,5534,5144,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,177,173,161,157,287,285,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,27,26,25,23,44,42,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,4,4,3,2,10,9,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,4,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,2,2,2,2,3,4,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,24,22,20,19,32,31,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,2,3,2,9,7,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,18,17,14,13,24,23,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,872,866,826,835,1339,1244,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,112,98,104,89,152,132,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,10,11,10,11,15,15,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,396,425,418,442,541,641,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,254,342,243,371,415,462,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,111,84,37,48,522,231,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,14,15,8,8,18,20,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,7,9,6,7,13,16,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,23,22,5,5,10,11,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,31,31,30,30,48,48,ms
Task Type,com.android.build.gradle.tasks.BundleAar,10,10,10,10,14,15,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2498,2395,2534,2357,2963,2907,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,7,8,7,8,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,6,6,6,7,11,10,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,121,169,117,161,164,236,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,107,112,99,102,180,190,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,912,981,912,966,1080,1168,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4887,4929,2774,2654,11822,12328,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1589,1478,1581,1433,1777,1836,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsMergeTask,75,89,70,90,113,135,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,693,810,686,768,856,1155,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,3,4,3,4,4,9,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,18,20,19,20,23,26,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,759,804,770,787,855,999,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,2,2,2,3,3,3,ms
Task Path,:build-logic:convention:compileKotlin,6820,6722,6778,6688,7193,7087,ms
Task Path,:api:alarm-contact:parseDebugLocalResources,1397,1361,984,1231,2942,2368,ms
Task Path,:core:contact:kspDebugKotlin,6856,6711,6873,6641,7111,7238,ms
Task Path,:core:cart:kspDebugKotlin,8331,8195,8300,8117,8866,8674,ms
Task Path,:core:identity:kspDebugKotlin,6662,6442,6681,6341,7045,6979,ms
Task Path,:core:checkout:kspDebugKotlin,7447,7287,7423,7184,7801,7787,ms
Task Path,:core:checkout:compileDebugKotlin,8687,8280,8632,8173,9230,8669,ms
Task Path,:core:contact:compileDebugKotlin,9323,8785,9184,8687,9947,9260,ms
Task Path,:core:identity:compileDebugKotlin,10645,9950,10471,9817,11436,10593,ms
Task Path,:core:cart:compileDebugKotlin,11258,10356,11109,10329,12065,10775,ms
Task Path,:core:checkout:compileDebugJavaWithJavac,3457,3074,3415,3092,3826,3573,ms
Task Path,:core:login:kspDebugKotlin,5116,4540,5150,4451,5837,5303,ms
Task Path,:core:push:kspDebugKotlin,5465,5299,5335,5211,6104,5780,ms
Task Path,:core:login:compileDebugKotlin,5422,5273,5402,5194,5863,5821,ms
Task Path,:core:user:kspDebugKotlin,6410,6421,6461,6321,6872,7088,ms
Task Path,:feature:sync:kspDebugKotlin,6243,6118,6239,6079,6784,6527,ms
Task Path,:core:push:compileDebugKotlin,6833,6281,6798,6274,7381,6908,ms
Task Path,:feature:sync:compileDebugKotlin,5442,4519,5455,4524,5909,5312,ms
Task Path,:feature:search:kspDebugKotlin,5883,5016,5871,4979,6675,5866,ms
