Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Build,Build time,360189,363518,359379,361534,375017,379325,ms
Build,Configuration time,43379,44011,42911,43688,46514,46617,ms
Gradle process state,Gradle-Process-capacity,2.64,2.61,2.61,2.53,3.08,3.13,
Gradle process state,Gradle-Process-gcTime,0.14,0.14,0.14,0.14,0.15,0.15,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,5.98,6.04,5.97,6.01,6.23,6.3,
Gradle process state,Gradle-Process-usage,1.69,1.74,1.47,1.61,2.58,2.56,
Kotlin process state,Kotlin-Process-capacity,3.1,2.96,3.06,2.92,3.56,3.3,
Kotlin process state,Kotlin-Process-gcTime,0.26,0.26,0.26,0.25,0.28,0.27,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,5.79,5.85,5.78,5.82,6.03,6.11,
Kotlin process state,Kotlin-Process-usage,1.44,1.28,1.49,1.28,2.15,1.96,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,37,37,35,61,53,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,35,33,33,46,50,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3139,3150,2661,2654,5488,5440,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,653,662,506,516,877,894,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,39,39,40,39,47,43,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,3,3,3,3,5,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,5,4,4,8,8,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,2,2,3,3,4,4,ms
