Category,Metric,varianta_gradle_9_0_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_0_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_0_0 P90,variantb_gradle_9_1_0 P90,Unit
Build,Build time,466576,467976,466422,464634,487320,492974,ms
Build,Configuration time,58023,57761,58051,57419,60797,62331,ms
Gradle process state,Gradle-Process-gcTime,0.18,0.18,0.18,0.18,0.19,0.19,
Kotlin process state,Kotlin-Process-gcTime,0.37,0.37,0.37,0.38,0.41,0.41,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1688,1694,1422,1412,2549,2593,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,2765,2783,2604,2613,3673,3728,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2180,2204,2129,2174,2489,2463,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3847,3936,1948,1989,9408,9482,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1102,1154,1051,1055,1306,1765,ms
Task Path,:build-logic:convention:compileKotlin,6520,6435,6472,6375,6787,6782,ms
Task Path,:api:alarm-identity:parseDebugLocalResources,1318,1304,1003,941,2519,2369,ms
Task Path,:core:account:kspDebugKotlin,7104,7085,6955,7013,7736,7622,ms
Task Path,:core:cart:kspDebugKotlin,5813,5803,5652,5719,6402,6309,ms
Task Path,:core:analytics:kspDebugKotlin,6249,6241,6095,6154,6888,6763,ms
Task Path,:core:checkout:kspDebugKotlin,5453,5414,5336,5355,6088,5861,ms
Task Path,:core:checkout:compileDebugKotlin,5482,5370,5403,5363,6040,5613,ms
Task Path,:core:account:compileDebugKotlin,5565,5483,5481,5459,6204,5676,ms
Task Path,:core:cart:compileDebugKotlin,5496,5431,5425,5440,6056,5708,ms
Task Path,:core:analytics:compileDebugKotlin,5532,5442,5438,5401,6171,5695,ms
Task Path,:core:comment:kspDebugKotlin,4654,4650,4626,4564,5342,5416,ms
Task Path,:core:contact:kspDebugKotlin,4381,4440,4328,4338,4914,5066,ms
Task Path,:core:feed:kspDebugKotlin,4213,4315,4157,4291,4587,4738,ms
Task Path,:core:group:kspDebugKotlin,3916,4009,3918,3936,4273,4490,ms
Task Path,:core:comment:compileDebugKotlin,3901,4007,3825,3922,4223,4412,ms
Task Path,:core:contact:compileDebugKotlin,3825,3880,3816,3827,4094,4275,ms
Task Path,:core:feed:compileDebugKotlin,3745,3885,3723,3835,4050,4347,ms
Task Path,:core:group:compileDebugKotlin,3738,3878,3697,3812,4242,4326,ms
Task Path,:core:identity:kspDebugKotlin,4372,4563,4364,4492,4847,5197,ms
Task Path,:core:location:kspDebugKotlin,3764,3916,3749,3837,4144,4595,ms
Task Path,:core:log:kspDebugKotlin,3589,3692,3528,3646,3928,4158,ms
Task Path,:core:login:kspDebugKotlin,3595,3705,3563,3641,3940,4208,ms
Task Path,:core:identity:compileDebugKotlin,3152,3263,3131,3201,3564,3856,ms
Task Path,:core:location:compileDebugKotlin,3154,3134,3129,3150,3623,3564,ms
Task Path,:core:log:compileDebugKotlin,3065,3080,3043,3025,3524,3616,ms
Task Path,:core:login:compileDebugKotlin,3037,3060,2971,3097,3657,3602,ms
Task Path,:core:message:kspDebugKotlin,3817,3935,3676,3832,4404,4673,ms
Task Path,:core:message:compileDebugKotlin,3079,2976,3009,2983,3610,3453,ms
Task Path,:core:network:kspDebugKotlin,4086,4118,4121,4113,4538,4591,ms
Task Path,:core:notification:kspDebugKotlin,3758,3704,3748,3672,4150,4136,ms
Task Path,:core:post:kspDebugKotlin,3477,3468,3435,3486,3886,3806,ms
Task Path,:core:network:compileDebugKotlin,2743,2740,2734,2704,3110,3135,ms
Task Path,:core:notification:compileDebugKotlin,2682,2741,2686,2723,3020,3099,ms
Task Path,:core:post:compileDebugKotlin,2600,2653,2605,2589,2994,3132,ms
Task Path,:core:profile:kspDebugKotlin,3726,3874,3716,3805,4096,4326,ms
Task Path,:core:profile:compileDebugKotlin,2706,2724,2702,2690,3134,3165,ms
Task Path,:core:push:kspDebugKotlin,3501,3576,3490,3554,3873,4079,ms
Task Path,:core:report:kspDebugKotlin,3835,3842,3776,3780,4305,4365,ms
Task Path,:core:search:kspDebugKotlin,3894,3885,3901,3842,4474,4428,ms
Task Path,:core:push:compileDebugKotlin,2569,2603,2505,2575,3107,3024,ms
Task Path,:core:report:compileDebugKotlin,2511,2517,2462,2499,2886,3035,ms
Task Path,:core:search:compileDebugKotlin,2358,2442,2362,2386,2643,2871,ms
Task Path,:core:session:kspDebugKotlin,3510,3589,3489,3482,3907,4141,ms
Task Path,:core:session:compileDebugKotlin,2420,2478,2406,2446,2732,2991,ms
Task Path,:core:setting:kspDebugKotlin,3640,3750,3601,3663,4036,4212,ms
Task Path,:core:sync:kspDebugKotlin,3404,3437,3350,3328,3957,4141,ms
Task Path,:core:share:kspDebugKotlin,3581,3763,3510,3678,4055,4576,ms
Task Path,:core:sync:compileDebugKotlin,2513,2577,2519,2501,3116,3103,ms
Task Path,:core:setting:compileDebugKotlin,2720,2724,2634,2703,3335,3158,ms
Task Path,:core:share:compileDebugKotlin,2590,2625,2562,2606,3040,3164,ms
Task Path,:core:user:kspDebugKotlin,3814,3801,3801,3736,4279,4404,ms
Task Path,:core:user:compileDebugKotlin,2403,2480,2384,2497,2802,2811,ms
Task Path,:feature:calendar:kspDebugKotlin,3523,3558,3401,3496,4138,4117,ms
Task Path,:feature:playlist:kspDebugKotlin,3271,3406,3246,3363,3786,3928,ms
Task Path,:feature:document:kspDebugKotlin,3268,3357,3230,3345,3794,3930,ms
Task Path,:feature:article:kspDebugKotlin,3339,3411,3309,3390,3792,3876,ms
Task Path,:feature:calendar:compileDebugKotlin,2356,2348,2341,2308,2878,2747,ms
Task Path,:feature:media:kspDebugKotlin,3485,3493,3431,3478,4049,3968,ms
Task Path,:feature:news:kspDebugKotlin,3597,3591,3569,3561,4135,4143,ms
Task Path,:feature:article:compileDebugKotlin,2587,2534,2629,2524,3021,2799,ms
Task Path,:feature:playlist:compileDebugKotlin,2225,2242,2230,2286,2629,2649,ms
Task Path,:feature:media:compileDebugKotlin,2388,2419,2408,2361,2713,2807,ms
Task Path,:feature:news:compileDebugKotlin,2190,2303,2191,2186,2601,2813,ms
Task Path,:feature:status:kspDebugKotlin,2904,3103,2899,3011,3441,3802,ms
Task Path,:feature:document:compileDebugKotlin,1833,2102,1692,2045,2275,2810,ms
Task Path,:feature:timer:kspDebugKotlin,3321,3495,3359,3425,3615,4306,ms
Task Path,:feature:weather:kspDebugKotlin,3089,3291,3020,3265,3501,3918,ms
Task Path,:feature:status:compileDebugKotlin,2447,2562,2345,2547,3133,3289,ms
Task Path,:feature:timer:compileDebugKotlin,2910,3147,2950,3231,3354,3756,ms
Task Path,:feature:weather:compileDebugKotlin,2597,2712,2613,2733,3139,3314,ms
Task Path,:feature:note:kspDebugKotlin,3696,3711,3681,3827,4324,4397,ms
Task Path,:feature:note:compileDebugKotlin,2329,2288,2271,2269,2839,2657,ms
Task Path,:domain:account-contact:kspDebugKotlin,3549,3531,3473,3519,4174,4109,ms
Task Path,:feature:photo:kspDebugKotlin,3391,3514,3334,3475,3868,3964,ms
Task Path,:feature:push-contact:kspDebugKotlin,3365,3395,3296,3353,4058,3892,ms
Task Path,:feature:push-contact:compileDebugKotlin,2093,2150,2119,2106,2545,2582,ms
Task Path,:feature:photo:compileDebugKotlin,2296,2343,2200,2291,2940,2839,ms
Task Path,:domain:account-contact:compileDebugKotlin,2245,2310,2296,2301,2673,2770,ms
Task Path,:feature:event:kspDebugKotlin,3493,3416,3447,3326,4221,4022,ms
Task Path,:feature:event:compileDebugKotlin,2308,2171,2278,2091,2849,2618,ms
Task Path,:feature:file:kspDebugKotlin,3415,3378,3456,3360,3902,3877,ms
Task Path,:domain:analytics-contact:kspDebugKotlin,3625,3560,3703,3576,4036,4071,ms
Task Path,:feature:forecast:kspDebugKotlin,3541,3534,3611,3508,4046,4168,ms
Task Path,:domain:analytics-contact:compileDebugKotlin,2031,2102,1993,2097,2412,2428,ms
Task Path,:feature:file:compileDebugKotlin,2078,2068,2052,2035,2441,2515,ms
Task Path,:feature:map:kspDebugKotlin,3008,3196,2992,3170,3538,3827,ms
Task Path,:feature:forecast:compileDebugKotlin,2053,2245,2057,2161,2441,2842,ms
Task Path,:feature:map:compileDebugKotlin,2050,2066,2007,2068,2672,2633,ms
Task Path,:feature:podcast:kspDebugKotlin,3252,3257,3186,3264,3912,3853,ms
Task Path,:feature:todo:kspDebugKotlin,3430,3499,3338,3455,4117,4163,ms
Task Path,:feature:video:kspDebugKotlin,3447,3534,3375,3532,4168,4211,ms
Task Path,:feature:audio:kspDebugKotlin,3406,3505,3396,3442,4024,4131,ms
Task Path,:feature:todo:compileDebugKotlin,1922,1940,1891,1909,2385,2377,ms
Task Path,:feature:podcast:compileDebugKotlin,1953,2050,1871,2017,2497,2565,ms
Task Path,:feature:video:compileDebugKotlin,2093,2179,2085,2158,2524,2676,ms
Task Path,:feature:audio:compileDebugKotlin,2144,2185,2092,2113,2619,2701,ms
Task Path,:domain:cart-contact:kspDebugKotlin,3144,3169,3159,3147,3730,3718,ms
Task Path,:feature:metric:kspDebugKotlin,3059,3066,2997,2962,3536,3819,ms
Task Path,:domain:comment-contact:kspDebugKotlin,3066,3011,2985,2956,3586,3615,ms
Task Path,:feature:alarm:kspDebugKotlin,3006,3036,2918,3070,3661,3587,ms
Task Path,:domain:cart-contact:compileDebugKotlin,1976,2001,1894,1993,2458,2465,ms
Task Path,:feature:metric:compileDebugKotlin,1920,1978,1813,1981,2487,2361,ms
Task Path,:domain:comment-contact:compileDebugKotlin,1857,1929,1741,1884,2471,2393,ms
Task Path,:feature:alarm:compileDebugKotlin,1928,1836,1798,1785,2617,2481,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,3030,3104,3029,3091,3615,3786,ms
Task Path,:domain:contact-contact:kspDebugKotlin,3023,3142,2974,3111,3632,3715,ms
Task Path,:feature:gallery:kspDebugKotlin,3147,3167,3058,3143,3973,3890,ms
Task Path,:feature:list:kspDebugKotlin,3182,3070,3128,2947,3854,3775,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,1986,1988,1950,1870,2539,2744,ms
Task Path,:domain:contact-contact:compileDebugKotlin,1693,1672,1639,1560,2053,2069,ms
Task Path,:feature:gallery:compileDebugKotlin,2002,2112,1909,2097,2480,2797,ms
Task Path,:feature:list:compileDebugKotlin,1877,2008,1888,2014,2359,2624,ms
Task Path,:feature:task:kspDebugKotlin,3080,3222,3097,3275,3504,3713,ms
Task Path,:domain:group-contact:kspDebugKotlin,2778,2898,2780,2862,3141,3292,ms
Task Path,:feature:task:compileDebugKotlin,1814,1803,1772,1775,2184,2163,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2758,2865,2738,2891,3154,3205,ms
Task Path,:domain:location-contact:kspDebugKotlin,2765,2849,2707,2796,3060,3277,ms
Task Path,:domain:group-contact:compileDebugKotlin,1600,1744,1560,1629,1866,2342,ms
Task Path,:domain:identity-contact:compileDebugKotlin,1641,1718,1607,1662,2014,2164,ms
Task Path,:domain:location-contact:compileDebugKotlin,1724,1719,1630,1740,2167,2057,ms
