Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25 Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25 P50,varianta_gradle_9_1_0 P90,variantb_jdk_25 P90,Unit
Build,Build time,461379,469345,460131,465722,471945,481620,ms
Build,Configuration time,57628,55901,56977,55178,59407,58580,ms
Gradle process state,Gradle-Process-gcTime,0.18,0.15,0.18,0.15,0.19,0.16,
Kotlin process state,Kotlin-Process-gcTime,0.37,0.42,0.37,0.41,0.39,0.43,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1666,1695,1398,1414,2522,2574,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,2732,2768,2577,2625,3620,3628,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2130,2229,2128,2162,2315,2590,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3839,4142,1935,1920,9641,10422,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1142,1104,1110,1060,1455,1248,ms
Task Path,:build-logic:convention:compileKotlin,6429,6597,6393,6564,6621,6878,ms
Task Path,:core:checkout:kspDebugKotlin,5313,5784,5297,5711,5528,6287,ms
Task Path,:core:account:kspDebugKotlin,6997,7412,6983,7278,7283,8024,ms
Task Path,:core:cart:kspDebugKotlin,5660,6189,5638,6111,5871,6762,ms
Task Path,:core:analytics:kspDebugKotlin,6067,6597,6038,6474,6326,7262,ms
Task Path,:core:account:compileDebugKotlin,5434,5740,5400,5674,5740,6120,ms
Task Path,:core:checkout:compileDebugKotlin,5337,5617,5294,5555,5693,6000,ms
Task Path,:core:analytics:compileDebugKotlin,5432,5722,5381,5657,5580,6048,ms
Task Path,:core:cart:compileDebugKotlin,5403,5680,5356,5645,5688,6132,ms
Task Path,:core:comment:kspDebugKotlin,4601,4351,4549,4282,5039,5008,ms
Task Path,:core:contact:kspDebugKotlin,4363,4346,4287,4253,4888,4745,ms
Task Path,:core:feed:kspDebugKotlin,4236,4254,4181,4181,4646,4663,ms
Task Path,:core:group:kspDebugKotlin,3933,3833,3902,3758,4239,4293,ms
Task Path,:core:comment:compileDebugKotlin,3909,4231,3856,4170,4222,4693,ms
Task Path,:core:contact:compileDebugKotlin,3813,4155,3770,4127,4267,4629,ms
Task Path,:core:group:compileDebugKotlin,3710,4126,3683,4110,4081,4574,ms
Task Path,:core:feed:compileDebugKotlin,3774,4170,3699,4109,4231,4596,ms
Task Path,:core:identity:kspDebugKotlin,4358,4698,4290,4567,4891,5165,ms
Task Path,:core:location:kspDebugKotlin,3772,3873,3707,3784,4163,4437,ms
Task Path,:core:identity:compileDebugKotlin,3191,3569,3108,3480,3718,4240,ms
Task Path,:core:log:kspDebugKotlin,3559,3746,3525,3647,4019,4145,ms
Task Path,:core:login:kspDebugKotlin,3540,3689,3498,3602,3987,4167,ms
Task Path,:core:location:compileDebugKotlin,3093,3330,3068,3262,3414,3720,ms
Task Path,:core:log:compileDebugKotlin,3020,3231,3008,3240,3371,3566,ms
Task Path,:core:login:compileDebugKotlin,2984,3153,2941,3152,3369,3590,ms
Task Path,:core:message:kspDebugKotlin,3803,3983,3674,3943,4431,4800,ms
Task Path,:core:network:kspDebugKotlin,4005,3851,3929,3813,4530,4213,ms
Task Path,:core:notification:kspDebugKotlin,3617,3568,3627,3583,4139,3876,ms
Task Path,:core:message:compileDebugKotlin,2891,2978,2820,2994,3496,3257,ms
Task Path,:core:post:kspDebugKotlin,3379,3444,3341,3412,3656,3836,ms
Task Path,:core:network:compileDebugKotlin,2705,2978,2657,2922,3096,3308,ms
Task Path,:core:notification:compileDebugKotlin,2686,2955,2624,2909,3174,3221,ms
Task Path,:core:post:compileDebugKotlin,2618,2859,2583,2844,3088,3111,ms
Task Path,:core:profile:kspDebugKotlin,3765,3880,3739,3828,4364,4338,ms
Task Path,:core:profile:compileDebugKotlin,2679,2702,2635,2638,3005,3058,ms
Task Path,:core:push:kspDebugKotlin,3560,3453,3559,3413,3961,3831,ms
Task Path,:core:report:kspDebugKotlin,3836,3750,3844,3709,4267,4101,ms
Task Path,:core:search:kspDebugKotlin,3845,3741,3841,3708,4208,4219,ms
Task Path,:core:push:compileDebugKotlin,2508,2575,2441,2531,2982,3040,ms
Task Path,:core:report:compileDebugKotlin,2461,2541,2426,2446,2832,3084,ms
Task Path,:core:search:compileDebugKotlin,2377,2435,2288,2366,2861,2792,ms
Task Path,:core:session:kspDebugKotlin,3538,3576,3471,3466,3917,4025,ms
