Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25_parallel Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25_parallel P50,varianta_gradle_9_1_0 P90,variantb_jdk_25_parallel P90,Unit
Build,Build time,466318,448495,464060,446847,493302,464009,ms
Build,Configuration time,59939,53989,58788,53649,65043,57712,ms
Gradle process state,Gradle-Process-gcTime,0.18,0.24,0.18,0.23,0.2,0.25,
Kotlin process state,Kotlin-Process-gcTime,0.37,0.4,0.37,0.4,0.4,0.43,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1675,1627,1406,1323,2529,2506,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,2752,2643,2588,2461,3656,3490,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2181,1911,2146,1887,2486,2059,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3816,4119,1915,1475,9274,10784,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1099,1254,1060,1127,1318,2086,ms
Task Path,:build-logic:convention:compileKotlin,6467,6541,6447,6547,6746,6763,ms
Task Path,:api:alarm-identity:parseDebugLocalResources,1835,1504,1469,1183,3457,2634,ms
Task Path,:core:cart:kspDebugKotlin,5686,6030,5628,6033,6070,6271,ms
Task Path,:core:checkout:kspDebugKotlin,5299,5693,5236,5698,5655,5940,ms
Task Path,:core:analytics:kspDebugKotlin,6105,6443,6045,6422,6524,6688,ms
Task Path,:core:account:kspDebugKotlin,7002,7284,6960,7259,7426,7524,ms
Task Path,:core:cart:compileDebugKotlin,5393,5603,5355,5557,5655,5880,ms
Task Path,:core:analytics:compileDebugKotlin,5446,5680,5397,5629,5756,5918,ms
Task Path,:core:checkout:compileDebugKotlin,5399,5617,5317,5574,5892,5971,ms
Task Path,:core:account:compileDebugKotlin,5484,5669,5471,5623,5815,5909,ms
Task Path,:core:comment:kspDebugKotlin,4546,4128,4458,4244,5351,4573,ms
Task Path,:core:feed:kspDebugKotlin,4216,4092,4160,4079,4624,4351,ms
Task Path,:core:contact:kspDebugKotlin,4343,4214,4313,4203,4642,4390,ms
Task Path,:core:group:kspDebugKotlin,3918,3730,3820,3731,4404,4017,ms
Task Path,:core:comment:compileDebugKotlin,3959,4051,3925,3993,4462,4329,ms
