Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Build,Build time,544528,542012,543839,543043,560934,556369,ms
Build,Configuration time,66133,64152,64745,63683,68875,67482,ms
Gradle process state,Gradle-Process-gcTime,0.21,0.21,0.21,0.21,0.22,0.23,
Kotlin process state,Kotlin-Process-gcTime,0.49,0.49,0.5,0.49,0.51,0.52,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1611,1614,1372,1380,2379,2354,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,2730,2717,2586,2568,3643,3614,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2150,2097,2080,2102,2370,2232,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3965,4044,2221,2184,9625,9665,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1187,1144,1202,1119,1425,1415,ms
Task Path,:build-logic:convention:compileKotlin,6687,6793,6680,6782,6873,7020,ms
Task Path,:core:analytics:kspDebugKotlin,6379,6346,6142,6156,7314,7361,ms
Task Path,:core:calendar:kspDebugKotlin,5971,5971,5756,5768,6823,6969,ms
Task Path,:core:cart:kspDebugKotlin,5605,5619,5413,5433,6381,6570,ms
Task Path,:core:account:kspDebugKotlin,7063,7001,6832,6841,7996,7996,ms
Task Path,:core:analytics:compileDebugKotlin,5366,5384,5335,5356,5674,5742,ms
Task Path,:core:calendar:compileDebugKotlin,5296,5329,5282,5288,5561,5634,ms
Task Path,:core:cart:compileDebugKotlin,5267,5323,5218,5284,5511,5568,ms
Task Path,:core:account:compileDebugKotlin,5381,5419,5354,5406,5639,5687,ms
Task Path,:core:checkout:kspDebugKotlin,4728,4686,4640,4613,5390,5287,ms
Task Path,:core:comment:kspDebugKotlin,4225,4209,4176,4219,4616,4803,ms
Task Path,:core:contact:kspDebugKotlin,4014,4017,4006,3979,4499,4568,ms
Task Path,:core:event:kspDebugKotlin,3948,3888,3946,3872,4252,4279,ms
Task Path,:core:checkout:compileDebugKotlin,3967,3978,3940,3939,4329,4533,ms
