Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Build,Build time,580709,579848,578709,580105,607266,603651,ms
Build,Configuration time,58723,58641,58624,58416,63415,64491,ms
Gradle process state,Gradle-Process-capacity,5.78,5.75,5.81,5.8,5.97,5.96,
Gradle process state,Gradle-Process-gcTime,0.5,0.5,0.5,0.49,0.55,0.58,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,9.65,9.64,9.62,9.65,10.09,10.04,
Gradle process state,Gradle-Process-usage,3.72,3.71,3.81,3.81,4.72,4.65,
Kotlin process state,Kotlin-Process-capacity,2.88,2.49,2.87,2.47,3.11,2.73,
Kotlin process state,Kotlin-Process-gcTime,0.2,0.2,0.2,0.21,0.22,0.22,
Kotlin process state,Kotlin-Process-max,6.0,5.0,6.0,5.0,6.0,5.0,
Kotlin process state,Kotlin-Process-uptime,9.47,8.32,9.43,8.28,9.89,8.72,
Kotlin process state,Kotlin-Process-usage,1.07,0.96,1.05,0.96,1.75,1.39,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,35,35,35,34,43,55,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,34,38,32,34,54,59,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2191,2254,1798,1781,3498,3448,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,467,459,375,367,650,633,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,39,41,39,50,44,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,5,4,4,8,8,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,5,3,3,8,7,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,25,24,15,15,55,51,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,5,5,2,2,5,5,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,5,5,5,5,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,9,9,8,8,15,15,ms
Task Type,com.android.build.gradle.tasks.MergeResources,37,37,22,22,39,38,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,7,6,6,6,11,11,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,29,27,18,18,36,35,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,10,9,9,17,16,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,17,17,15,15,28,27,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3572,3513,3156,3104,4944,4903,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,100,98,90,89,151,147,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,17,16,16,28,27,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.tasks.ShaderCompile,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,12,11,8,8,16,16,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,11,11,7,7,19,18,ms
