Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Build,Build time,580709,579848,578709,580105,607266,603651,ms
Build,Configuration time,58723,58641,58624,58416,63415,64491,ms
Gradle process state,Gradle-Process-gcTime,0.5,0.5,0.5,0.49,0.55,0.58,
Kotlin process state,Kotlin-Process-gcTime,0.2,0.2,0.2,0.21,0.22,0.22,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2191,2254,1798,1781,3498,3448,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3572,3513,3156,3104,4944,4903,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2436,2406,2351,2356,2851,2751,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,3961,3967,2619,2645,9025,9218,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1150,1129,1126,1109,1381,1269,ms
Task Path,:build-logic:convention:compileKotlin,6726,6668,6702,6608,7145,7054,ms
Task Path,:api:alarm-identity:parseDebugLocalResources,1747,1405,1332,987,3340,2956,ms
Task Path,:core:account:kspDebugKotlin,13637,13468,13691,13496,14196,14061,ms
Task Path,:core:analytics:kspDebugKotlin,13173,12997,13240,12989,13761,13566,ms
Task Path,:core:cart:kspDebugKotlin,12898,12712,12970,12685,13527,13272,ms
Task Path,:core:checkout:kspDebugKotlin,12825,12608,12834,12494,13371,13108,ms
Task Path,:core:analytics:compileDebugKotlin,7407,12287,7411,12290,7878,12889,ms
Task Path,:core:account:compileDebugKotlin,7597,12520,7646,12467,8097,13172,ms
Task Path,:core:cart:compileDebugKotlin,7442,11956,7407,11751,8214,12966,ms
Task Path,:core:checkout:compileDebugKotlin,7175,11572,7198,11476,7578,12108,ms
Task Path,:core:comment:kspDebugKotlin,7596,7294,7641,7295,8454,7975,ms
Task Path,:core:contact:kspDebugKotlin,7251,7147,7305,7220,8210,7823,ms
Task Path,:core:feed:kspDebugKotlin,7174,7093,7202,7105,7888,7738,ms
Task Path,:core:group:kspDebugKotlin,7148,7373,7194,7554,8041,8093,ms
Task Path,:core:comment:compileDebugKotlin,6310,6855,6372,7002,6965,7596,ms
Task Path,:core:feed:compileDebugKotlin,4770,5127,4734,5202,5319,5822,ms
Task Path,:core:group:compileDebugKotlin,4641,5049,4634,4996,5120,5714,ms
Task Path,:core:contact:compileDebugKotlin,5260,5527,5236,5441,5818,6453,ms
Task Path,:core:location:kspDebugKotlin,5563,5397,5545,5387,6672,5957,ms
Task Path,:core:identity:kspDebugKotlin,5730,5670,5612,5622,6586,6449,ms
Task Path,:core:login:kspDebugKotlin,5733,5573,5745,5626,6683,6419,ms
Task Path,:core:log:kspDebugKotlin,6922,6850,6908,6801,7811,7899,ms
Task Path,:core:location:compileDebugKotlin,5025,4984,5113,5059,5622,5628,ms
Task Path,:core:login:compileDebugKotlin,4425,4458,4498,4476,4895,4916,ms
Task Path,:core:identity:compileDebugKotlin,4845,4809,4854,4799,5501,5450,ms
Task Path,:core:log:compileDebugKotlin,4404,4400,4325,4393,4982,5152,ms
Task Path,:core:message:kspDebugKotlin,4934,4804,4834,4783,6041,5890,ms
Task Path,:core:network:kspDebugKotlin,4887,4914,4921,4964,5726,5860,ms
Task Path,:core:notification:kspDebugKotlin,4945,4804,4885,4968,5824,5499,ms
Task Path,:core:post:kspDebugKotlin,4885,4921,4823,4990,5823,5471,ms
Task Path,:core:message:compileDebugKotlin,3846,3878,3781,3875,4476,4410,ms
Task Path,:core:network:compileDebugKotlin,3927,3915,3883,3964,4566,4494,ms
Task Path,:core:post:compileDebugKotlin,3758,3692,3646,3672,4636,4266,ms
Task Path,:core:notification:compileDebugKotlin,3878,3883,3873,3821,4597,4342,ms
Task Path,:core:push:kspDebugKotlin,4793,4707,4646,4631,5688,5809,ms
Task Path,:core:profile:kspDebugKotlin,4816,4617,4769,4500,5366,5421,ms
