Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Build,Build time,539895,542449,537038,541765,560126,566949,ms
Build,Configuration time,64491,65918,63809,65596,69059,70414,ms
Gradle process state,Gradle-Process-capacity,3.94,3.91,3.86,3.86,4.23,4.16,
Gradle process state,Gradle-Process-gcTime,0.21,0.21,0.21,0.21,0.22,0.23,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,8.98,9.02,8.93,9.01,9.32,9.43,
Gradle process state,Gradle-Process-usage,2.98,2.87,2.93,2.8,3.47,3.43,
Kotlin process state,Kotlin-Process-capacity,2.89,2.92,2.84,2.92,3.17,3.09,
Kotlin process state,Kotlin-Process-gcTime,0.49,0.5,0.49,0.49,0.52,0.53,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,8.79,8.83,8.74,8.82,9.13,9.23,
Kotlin process state,Kotlin-Process-usage,1.21,1.25,1.08,1.22,1.74,1.76,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,41,36,38,34,62,49,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,38,38,36,35,53,54,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1604,1604,1375,1370,2349,2348,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,369,368,293,294,503,504,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,42,41,41,41,51,46,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,4,4,4,3,7,7,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,5,5,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,4,4,2,2,5,4,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,4,4,4,4,10,10,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,7,7,6,6,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,24,25,14,16,53,56,ms
Task Type,com.android.build.gradle.tasks.MergeResources,31,31,17,17,36,36,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,5,5,4,4,10,10,ms
