Category,Metric,varianta_agp_9_0_0_beta01 Mean,variantb_agp_8_13_1 Mean,varianta_agp_9_0_0_beta01 P50,variantb_agp_8_13_1 P50,varianta_agp_9_0_0_beta01 P90,variantb_agp_8_13_1 P90,Unit
Build,Build time,554782,566004,554790,565163,578403,591394,ms
Build,Configuration time,53077,59078,50971,57442,62880,66441,ms
Gradle process state,Gradle-Process-gcTime,0.51,0.53,0.5,0.52,0.62,0.6,
Kotlin process state,Kotlin-Process-gcTime,0.2,0.2,0.2,0.2,0.22,0.21,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2078,2069,1729,1726,3222,3209,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3471,3575,3055,3170,4853,4928,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2181,2391,2103,2389,2726,2686,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1253,1051,1207,1023,1562,1307,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4924,3802,2457,2399,12417,8929,ms
Task Path,:build-logic:convention:compileKotlin,6680,6769,6676,6743,7021,7128,ms
Task Path,:api:alarm-checkout:parseDebugLocalResources,1894,1411,1294,1233,3470,2332,ms
Task Path,:core:cart:kspDebugKotlin,13630,13897,13568,13879,14183,14636,ms
Task Path,:core:contact:kspDebugKotlin,12760,12934,12697,12925,13266,13632,ms
Task Path,:core:comment:kspDebugKotlin,13154,13351,13096,13348,13716,13948,ms
Task Path,:core:checkout:kspDebugKotlin,13473,13646,13397,13610,14003,14382,ms
Task Path,:core:comment:compileDebugKotlin,6828,6873,6749,6779,7349,7412,ms
Task Path,:core:checkout:compileDebugKotlin,6924,6972,6825,6913,7416,7529,ms
Task Path,:core:contact:compileDebugKotlin,6880,6894,6793,6780,7456,7391,ms
Task Path,:core:cart:compileDebugKotlin,7298,7337,7210,7340,7916,7938,ms
Task Path,:core:feed:kspDebugKotlin,6134,6198,6123,6196,6688,6961,ms
Task Path,:core:login:kspDebugKotlin,7414,7473,7370,7459,8057,8140,ms
Task Path,:core:identity:kspDebugKotlin,7911,8101,7959,8106,8579,8775,ms
Task Path,:core:post:kspDebugKotlin,7365,7500,7317,7550,8029,8083,ms
Task Path,:core:feed:compileDebugKotlin,6431,6502,6416,6492,6980,7300,ms
Task Path,:core:login:compileDebugKotlin,4886,4898,4894,4890,5401,5521,ms
Task Path,:core:identity:compileDebugKotlin,4709,4721,4718,4739,5199,5166,ms
Task Path,:core:post:compileDebugKotlin,4558,4679,4465,4667,5074,5249,ms
Task Path,:core:profile:kspDebugKotlin,5211,5660,5209,5545,5982,6470,ms
Task Path,:core:push:kspDebugKotlin,5677,6049,5592,6008,6399,6850,ms
Task Path,:core:user:kspDebugKotlin,5775,6081,5649,5838,6604,6956,ms
Task Path,:core:profile:compileDebugKotlin,4949,4776,4935,4844,5484,5334,ms
Task Path,:core:push:compileDebugKotlin,4473,4386,4488,4367,4888,4923,ms
Task Path,:feature:search:kspDebugKotlin,6907,6790,6894,6593,7782,7660,ms
Task Path,:core:user:compileDebugKotlin,4364,4194,4352,4149,4806,4744,ms
Task Path,:feature:sync:kspDebugKotlin,6208,6322,6283,6354,6853,7106,ms
Task Path,:feature:location:kspDebugKotlin,4966,5104,4934,5064,5581,5848,ms
Task Path,:feature:account:kspDebugKotlin,5049,5283,5054,5305,5636,6045,ms
Task Path,:feature:status:kspDebugKotlin,5047,5307,4983,5351,5592,6039,ms
Task Path,:feature:sync:compileDebugKotlin,4270,4257,4225,4268,4685,4735,ms
Task Path,:feature:location:compileDebugKotlin,3716,3880,3706,3854,4156,4329,ms
Task Path,:feature:account:compileDebugKotlin,3714,3811,3730,3834,4113,4300,ms
Task Path,:feature:status:compileDebugKotlin,3281,3408,3275,3464,3815,3964,ms
