Category,Metric,varianta_agp_9_0_0_beta01 Mean,variantb_agp_9_0_0_beta01_no_builtInKotlin Mean,varianta_agp_9_0_0_beta01 P50,variantb_agp_9_0_0_beta01_no_builtInKotlin P50,varianta_agp_9_0_0_beta01 P90,variantb_agp_9_0_0_beta01_no_builtInKotlin P90,Unit
Build,Build time,560768,555408,554198,551645,583428,585019,ms
Build,Configuration time,56552,57775,53009,56424,69263,67221,ms
Gradle process state,Gradle-Process-gcTime,0.53,0.54,0.51,0.52,0.67,0.66,
Kotlin process state,Kotlin-Process-gcTime,0.2,0.21,0.2,0.22,0.23,0.23,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2067,2036,1775,1755,2906,2840,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3501,3474,3129,3124,4639,4509,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2172,2134,2122,2091,2633,2507,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1292,1275,1272,1258,1609,1591,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4928,4942,2421,2577,12525,12428,ms
Task Path,:build-logic:convention:compileKotlin,6859,6682,6801,6625,7096,7082,ms
Task Path,:api:alarm-checkout:parseDebugLocalResources,1803,1970,1549,1966,2861,3600,ms
Task Path,:core:cart:kspDebugKotlin,14110,13775,13865,13741,14752,14551,ms
Task Path,:core:contact:kspDebugKotlin,13057,12889,12844,12733,13673,13709,ms
Task Path,:core:comment:kspDebugKotlin,13439,13242,13285,13207,14123,13887,ms
Task Path,:core:checkout:kspDebugKotlin,13697,13521,13501,13456,14310,14131,ms
Task Path,:core:contact:compileDebugKotlin,7014,6931,6961,6897,7526,7641,ms
Task Path,:core:checkout:compileDebugKotlin,6994,6922,6896,6860,7593,7473,ms
Task Path,:core:cart:compileDebugKotlin,7318,7254,7190,7207,8050,7868,ms
Task Path,:core:comment:compileDebugKotlin,6910,6832,6764,6805,7515,7355,ms
Task Path,:core:feed:kspDebugKotlin,6286,6021,6301,5999,7099,6715,ms
Task Path,:core:login:kspDebugKotlin,7630,7417,7677,7412,8339,8265,ms
Task Path,:core:identity:kspDebugKotlin,8147,8038,8236,8041,8764,8898,ms
Task Path,:core:post:kspDebugKotlin,7544,7387,7390,7510,8504,8234,ms
Task Path,:core:feed:compileDebugKotlin,6499,6459,6495,6447,7214,7169,ms
Task Path,:core:login:compileDebugKotlin,4941,4930,4879,4911,5484,5434,ms
Task Path,:core:identity:compileDebugKotlin,4775,4646,4732,4584,5270,5185,ms
Task Path,:core:post:compileDebugKotlin,4668,4631,4569,4642,5198,5172,ms
Task Path,:core:profile:kspDebugKotlin,5507,5365,5449,5289,6158,6227,ms
Task Path,:core:push:kspDebugKotlin,5969,5781,5940,5664,6928,6468,ms
Task Path,:core:user:kspDebugKotlin,6135,5892,6134,5870,7025,6779,ms
Task Path,:core:profile:compileDebugKotlin,5095,4740,5055,4747,5741,5467,ms
Task Path,:core:push:compileDebugKotlin,4636,4467,4556,4357,5311,5181,ms
Task Path,:core:user:compileDebugKotlin,4340,4299,4233,4289,5042,4974,ms
Task Path,:feature:search:kspDebugKotlin,7008,6798,6964,6770,7920,7624,ms
Task Path,:feature:sync:kspDebugKotlin,6111,6279,6064,6425,7132,7012,ms
Task Path,:feature:location:kspDebugKotlin,4941,5039,4796,5048,5693,5618,ms
Task Path,:feature:account:kspDebugKotlin,5043,5066,4977,4980,5641,5726,ms
Task Path,:feature:status:kspDebugKotlin,5027,5087,4963,5118,5632,5632,ms
Task Path,:feature:sync:compileDebugKotlin,4200,3970,4251,4029,4842,4502,ms
Task Path,:feature:location:compileDebugKotlin,3735,3619,3713,3641,4239,4243,ms
Task Path,:feature:status:compileDebugKotlin,3367,3164,3345,3091,3817,3764,ms
Task Path,:feature:account:compileDebugKotlin,3716,3554,3677,3483,4288,4162,ms
Task Path,:feature:notification:kspDebugKotlin,4094,4057,4013,3935,5064,5010,ms
Task Path,:feature:notification:compileDebugKotlin,3196,2907,3223,2806,3748,3573,ms
Task Path,:domain:alarm:kspDebugKotlin,4482,4322,4590,4311,5294,5378,ms
Task Path,:feature:share:kspDebugKotlin,4902,4657,4872,4626,5806,5574,ms
Task Path,:feature:analytics:kspDebugKotlin,4674,4473,4739,4369,5421,5475,ms
Task Path,:domain:alarm:compileDebugKotlin,3615,3464,3591,3511,4200,4062,ms
Task Path,:feature:share:compileDebugKotlin,3882,3701,3888,3731,4486,4422,ms
Task Path,:feature:analytics:compileDebugKotlin,3712,3541,3749,3628,4260,4324,ms
Task Path,:feature:log:kspDebugKotlin,4946,4932,4862,5047,6086,5928,ms
Task Path,:feature:log:compileDebugKotlin,2950,2956,2834,2938,3711,3389,ms
Task Path,:domain:article:kspDebugKotlin,4119,4059,4036,4097,4855,4835,ms
Task Path,:feature:message:kspDebugKotlin,3996,4092,4025,4059,4466,5019,ms
Task Path,:feature:network:kspDebugKotlin,4143,4206,4153,4154,4690,5005,ms
Task Path,:feature:message:compileDebugKotlin,2909,2902,2906,2878,3377,3387,ms
Task Path,:domain:article:compileDebugKotlin,2934,2927,2944,2900,3375,3378,ms
Task Path,:feature:group:kspDebugKotlin,4074,3982,4072,3953,4810,4698,ms
Task Path,:feature:network:compileDebugKotlin,2841,2844,2825,2756,3333,3411,ms
Task Path,:feature:group:compileDebugKotlin,2457,2449,2473,2453,2936,2940,ms
Task Path,:feature:search:compileDebugKotlin,2575,2477,2512,2412,2971,2993,ms
Task Path,:domain:audio:kspDebugKotlin,4119,4003,4159,4037,4815,4663,ms
Task Path,:feature:setting:kspDebugKotlin,4926,4842,4917,4775,5745,5552,ms
Task Path,:domain:audio:compileDebugKotlin,2923,2852,2822,2884,3460,3273,ms
Task Path,:feature:setting:compileDebugKotlin,2618,2550,2661,2555,3166,2991,ms
Task Path,:feature:report:kspDebugKotlin,4507,4326,4570,4282,5182,5173,ms
Task Path,:feature:session:kspDebugKotlin,4197,4032,4218,4043,5068,4826,ms
Task Path,:feature:session:compileDebugKotlin,2574,2465,2581,2439,3046,2829,ms
Task Path,:feature:report:compileDebugKotlin,2808,2750,2807,2668,3378,3296,ms
Task Path,:domain:calendar:kspDebugKotlin,3933,3743,4030,3656,4673,4506,ms
Task Path,:domain:media:kspDebugKotlin,3857,3641,3960,3605,4654,4500,ms
Task Path,:domain:calendar:compileDebugKotlin,2478,2561,2445,2564,2777,3000,ms
Task Path,:domain:file:kspDebugKotlin,3918,4015,3869,3947,4423,4715,ms
Task Path,:domain:document:kspDebugKotlin,3885,3985,3870,3936,4441,4487,ms
Task Path,:domain:event:kspDebugKotlin,4733,4913,4670,4898,5426,5572,ms
Task Path,:domain:file:compileDebugKotlin,2566,2633,2500,2618,2922,3180,ms
Task Path,:domain:document:compileDebugKotlin,2616,2670,2575,2599,3055,3117,ms
Task Path,:domain:event:compileDebugKotlin,2514,2538,2478,2587,2940,2929,ms
Task Path,:domain:forecast:kspDebugKotlin,4805,4746,4800,4692,5481,5816,ms
Task Path,:domain:forecast:compileDebugKotlin,2374,2305,2375,2277,2718,2756,ms
Task Path,:domain:gallery:kspDebugKotlin,3838,3726,3821,3684,4320,4597,ms
Task Path,:domain:list:kspDebugKotlin,3726,3644,3754,3541,4187,4656,ms
Task Path,:domain:map:kspDebugKotlin,3818,3646,3880,3634,4496,4395,ms
Task Path,:domain:gallery:compileDebugKotlin,2325,2250,2238,2261,2831,2553,ms
Task Path,:domain:list:compileDebugKotlin,2316,2299,2226,2211,2910,2608,ms
Task Path,:domain:media:compileDebugKotlin,2296,2267,2233,2228,2914,2794,ms
Task Path,:domain:map:compileDebugKotlin,2421,2284,2294,2168,3156,2837,ms
Task Path,:domain:metric:kspDebugKotlin,3543,3512,3487,3366,4296,4299,ms
Task Path,:domain:news:kspDebugKotlin,3732,3681,3657,3644,4580,4489,ms
Task Path,:domain:note:kspDebugKotlin,4704,4585,4561,4530,5651,5450,ms
Task Path,:domain:photo:kspDebugKotlin,4511,4322,4460,4292,5424,4991,ms
Task Path,:domain:metric:compileDebugKotlin,2582,2492,2479,2391,3356,3198,ms
Task Path,:domain:news:compileDebugKotlin,2558,2627,2519,2559,3072,3195,ms
Task Path,:domain:photo:compileDebugKotlin,2184,2182,2126,2125,2615,2735,ms
Task Path,:domain:note:compileDebugKotlin,2447,2386,2444,2419,2803,2990,ms
Task Path,:domain:podcast:kspDebugKotlin,3539,3423,3500,3354,4329,4103,ms
Task Path,:domain:task:kspDebugKotlin,3857,3781,3816,3785,4611,4299,ms
Task Path,:domain:timer:kspDebugKotlin,3758,3799,3702,3744,4344,4379,ms
Task Path,:domain:todo:kspDebugKotlin,3886,3873,3899,3886,4398,4473,ms
Task Path,:domain:podcast:compileDebugKotlin,2136,2121,2072,2111,2408,2534,ms
Task Path,:domain:timer:compileDebugKotlin,2112,2086,2124,2073,2460,2370,ms
Task Path,:domain:task:compileDebugKotlin,2316,2317,2315,2321,2663,2584,ms
Task Path,:domain:todo:compileDebugKotlin,2223,2230,2188,2193,2560,2617,ms
Task Path,:domain:weather:kspDebugKotlin,3510,3358,3484,3318,4184,4065,ms
Task Path,:domain:video:kspDebugKotlin,3753,3638,3750,3600,4366,4430,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,3848,3751,3758,3711,4518,4269,ms
Task Path,:repository:article-contact:kspDebugKotlin,3580,3429,3547,3386,4117,3912,ms
Task Path,:domain:weather:compileDebugKotlin,2020,2024,2022,2023,2315,2415,ms
Task Path,:domain:video:compileDebugKotlin,2152,2159,2153,2153,2472,2573,ms
Task Path,:repository:article-contact:compileDebugKotlin,2080,1979,2062,1982,2414,2368,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2276,2106,2280,2090,2763,2482,ms
Task Path,:repository:account-contact:kspDebugKotlin,4255,3978,4133,4020,5114,4728,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,3459,3278,3398,3254,4141,4104,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,4445,4216,4440,4182,5092,5054,ms
Task Path,:repository:cart-contact:kspDebugKotlin,4247,4064,4235,3974,4964,4890,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,1904,1880,1877,1919,2345,2304,ms
Task Path,:repository:account-contact:compileDebugKotlin,2204,2129,2240,2134,2524,2489,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2189,2138,2185,2094,2573,2638,ms
Task Path,:repository:cart-contact:compileDebugKotlin,2109,2075,2061,2056,2504,2510,ms
Task Path,:repository:checkout-contact:kspDebugKotlin,3479,3402,3435,3391,4219,4038,ms
