Category,Metric,varianta_agp_9_0_0_beta01_no_builtInKotlin Mean,variantb_agp_9_0_0_beta01_builtInKotlin Mean,varianta_agp_9_0_0_beta01_no_builtInKotlin P50,variantb_agp_9_0_0_beta01_builtInKotlin P50,varianta_agp_9_0_0_beta01_no_builtInKotlin P90,variantb_agp_9_0_0_beta01_builtInKotlin P90,Unit
Build,Build time,555578,551235,555926,548106,577289,578102,ms
Build,Configuration time,55243,52432,55285,52452,58788,55780,ms
Gradle process state,Gradle-Process-gcTime,0.53,0.55,0.53,0.54,0.58,0.65,
Kotlin process state,Kotlin-Process-gcTime,0.21,0.22,0.21,0.21,0.23,0.24,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2058,2051,1786,1764,2817,2854,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3476,3462,3132,3094,4471,4517,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2187,2170,2180,2118,2578,2557,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1253,1332,1273,1333,1536,1616,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4955,4950,2557,2510,12596,12185,ms
Task Path,:build-logic:convention:compileKotlin,6788,6788,6779,6739,7056,7119,ms
Task Path,:api:alarm-checkout:parseDebugLocalResources,1570,1421,1094,1146,3194,2731,ms
Task Path,:core:contact:kspDebugKotlin,12884,12822,12752,12695,13461,13542,ms
Task Path,:core:cart:kspDebugKotlin,13934,13896,13825,13765,14536,14687,ms
Task Path,:core:comment:kspDebugKotlin,13294,13192,13241,13117,14045,13876,ms
Task Path,:core:checkout:kspDebugKotlin,13565,13495,13450,13445,14339,14192,ms
Task Path,:core:contact:compileDebugKotlin,7082,6901,7053,6757,7862,7781,ms
Task Path,:core:checkout:compileDebugKotlin,7035,6918,7000,6845,7588,7313,ms
Task Path,:core:cart:compileDebugKotlin,7373,7270,7338,7239,8073,7768,ms
Task Path,:core:comment:compileDebugKotlin,6936,6831,6913,6834,7497,7205,ms
Task Path,:core:feed:kspDebugKotlin,6120,5949,5957,5942,6896,6559,ms
Task Path,:core:login:kspDebugKotlin,7457,7478,7450,7447,8014,8360,ms
Task Path,:core:identity:kspDebugKotlin,8014,8012,8051,7893,8629,8825,ms
Task Path,:core:post:kspDebugKotlin,7278,7489,7152,7405,8146,8221,ms
Task Path,:core:feed:compileDebugKotlin,6432,6516,6371,6486,7210,7095,ms
Task Path,:core:identity:compileDebugKotlin,4676,4748,4640,4724,5115,5440,ms
Task Path,:core:login:compileDebugKotlin,4954,4993,4945,4978,5457,5539,ms
Task Path,:core:post:compileDebugKotlin,4671,4648,4657,4626,5145,5146,ms
Task Path,:core:profile:kspDebugKotlin,5385,5384,5345,5357,6019,6161,ms
Task Path,:core:push:kspDebugKotlin,5781,5865,5644,5891,6601,6504,ms
Task Path,:core:user:kspDebugKotlin,5882,5856,5861,5813,6745,6455,ms
Task Path,:core:profile:compileDebugKotlin,4893,4855,4871,4801,5555,5575,ms
Task Path,:core:user:compileDebugKotlin,4262,4336,4264,4335,4803,4945,ms
Task Path,:core:push:compileDebugKotlin,4464,4455,4429,4401,4933,5039,ms
Task Path,:feature:search:kspDebugKotlin,6884,6935,6682,6832,7791,7815,ms
Task Path,:feature:sync:kspDebugKotlin,6161,6258,6157,6223,6866,7072,ms
Task Path,:feature:location:kspDebugKotlin,4954,5043,4877,5032,5752,5852,ms
Task Path,:feature:account:kspDebugKotlin,5135,5126,5111,5071,5805,5806,ms
Task Path,:feature:status:kspDebugKotlin,5212,5038,5216,4982,5823,5664,ms
Task Path,:feature:sync:compileDebugKotlin,4213,4228,4152,4230,4889,4673,ms
Task Path,:feature:location:compileDebugKotlin,3739,3750,3649,3744,4408,4404,ms
Task Path,:feature:account:compileDebugKotlin,3610,3629,3589,3662,4208,4191,ms
Task Path,:feature:status:compileDebugKotlin,3176,3278,3142,3323,3700,3679,ms
Task Path,:feature:notification:kspDebugKotlin,3846,3868,3939,3770,4660,4603,ms
Task Path,:feature:notification:compileDebugKotlin,2891,3021,2872,3066,3589,3538,ms
Task Path,:feature:share:kspDebugKotlin,4619,4733,4549,4646,5489,5647,ms
Task Path,:domain:alarm:kspDebugKotlin,4182,4289,4029,4364,5225,5207,ms
Task Path,:feature:analytics:kspDebugKotlin,4399,4451,4324,4464,5338,5148,ms
Task Path,:domain:alarm:compileDebugKotlin,3438,3549,3414,3574,4205,4140,ms
Task Path,:feature:share:compileDebugKotlin,3679,3819,3705,3852,4413,4504,ms
Task Path,:feature:analytics:compileDebugKotlin,3551,3659,3528,3634,4474,4295,ms
Task Path,:feature:log:kspDebugKotlin,4801,4901,4846,4978,5814,6166,ms
Task Path,:feature:log:compileDebugKotlin,2882,2847,2871,2845,3407,3368,ms
Task Path,:domain:article:kspDebugKotlin,3999,4139,3978,4222,4907,4908,ms
Task Path,:feature:message:kspDebugKotlin,4101,4104,4162,4140,4652,4961,ms
Task Path,:feature:network:kspDebugKotlin,4129,4194,4230,4206,4811,4872,ms
Task Path,:domain:article:compileDebugKotlin,2925,2899,2915,2875,3397,3262,ms
Task Path,:feature:message:compileDebugKotlin,2873,2813,2821,2800,3471,3213,ms
Task Path,:feature:group:kspDebugKotlin,3895,3986,3927,4009,4501,4694,ms
Task Path,:feature:network:compileDebugKotlin,2851,2787,2764,2817,3531,3137,ms
Task Path,:feature:group:compileDebugKotlin,2461,2436,2391,2409,2934,2892,ms
Task Path,:feature:search:compileDebugKotlin,2370,2549,2389,2563,2725,2882,ms
Task Path,:domain:audio:kspDebugKotlin,3928,4040,3925,4085,4439,4612,ms
Task Path,:feature:setting:kspDebugKotlin,4837,4837,4755,4811,5542,5446,ms
Task Path,:domain:audio:compileDebugKotlin,2792,2839,2784,2814,3282,3341,ms
Task Path,:feature:setting:compileDebugKotlin,2501,2537,2443,2504,2917,3036,ms
Task Path,:feature:session:kspDebugKotlin,4040,4044,3954,4024,4730,4610,ms
Task Path,:feature:report:kspDebugKotlin,4329,4349,4328,4395,4939,4935,ms
Task Path,:feature:session:compileDebugKotlin,2459,2406,2452,2438,2903,2781,ms
Task Path,:feature:report:compileDebugKotlin,2760,2723,2702,2710,3232,3134,ms
Task Path,:domain:calendar:kspDebugKotlin,3676,3764,3603,3730,4525,4595,ms
Task Path,:domain:media:kspDebugKotlin,3668,3623,3589,3655,4514,4375,ms
Task Path,:domain:calendar:compileDebugKotlin,2501,2544,2509,2566,2912,2948,ms
Task Path,:domain:document:kspDebugKotlin,3932,3979,3955,3977,4584,4662,ms
Task Path,:domain:file:kspDebugKotlin,3931,3999,3930,3951,4529,4674,ms
Task Path,:domain:event:kspDebugKotlin,4696,4770,4606,4743,5442,5378,ms
Task Path,:domain:document:compileDebugKotlin,2646,2588,2615,2544,3010,2886,ms
Task Path,:domain:forecast:kspDebugKotlin,4675,4607,4709,4635,5408,5348,ms
Task Path,:domain:file:compileDebugKotlin,2549,2539,2585,2557,3017,3029,ms
Task Path,:domain:event:compileDebugKotlin,2441,2414,2416,2437,2873,2704,ms
Task Path,:domain:forecast:compileDebugKotlin,2276,2327,2242,2304,2599,2734,ms
Task Path,:domain:gallery:kspDebugKotlin,3669,3693,3676,3676,4299,4221,ms
Task Path,:domain:list:kspDebugKotlin,3622,3717,3555,3719,4193,4436,ms
Task Path,:domain:media:compileDebugKotlin,2211,2317,2186,2196,2581,3024,ms
Task Path,:domain:map:kspDebugKotlin,3624,3729,3504,3778,4222,4307,ms
Task Path,:domain:gallery:compileDebugKotlin,2279,2286,2239,2252,2837,2721,ms
Task Path,:domain:list:compileDebugKotlin,2187,2322,2136,2278,2671,3000,ms
Task Path,:domain:map:compileDebugKotlin,2222,2399,2164,2378,2754,3024,ms
Task Path,:domain:metric:kspDebugKotlin,3332,3473,3245,3452,4022,4332,ms
Task Path,:domain:news:kspDebugKotlin,3525,3635,3491,3504,4089,4358,ms
Task Path,:domain:metric:compileDebugKotlin,2377,2450,2320,2441,3035,3044,ms
Task Path,:domain:news:compileDebugKotlin,2622,2655,2556,2653,3363,3201,ms
Task Path,:domain:note:kspDebugKotlin,4416,4470,4440,4437,5054,5333,ms
Task Path,:domain:photo:kspDebugKotlin,4218,4317,4152,4193,5119,5267,ms
Task Path,:domain:photo:compileDebugKotlin,2220,2167,2218,2143,2627,2526,ms
Task Path,:domain:note:compileDebugKotlin,2349,2442,2260,2415,2889,2890,ms
Task Path,:domain:podcast:kspDebugKotlin,3476,3524,3411,3504,4372,4068,ms
Task Path,:domain:task:kspDebugKotlin,3830,3869,3798,3836,4575,4386,ms
Task Path,:domain:podcast:compileDebugKotlin,2135,2204,2101,2127,2474,2568,ms
Task Path,:domain:task:compileDebugKotlin,2314,2349,2349,2306,2666,2780,ms
Task Path,:domain:timer:kspDebugKotlin,3801,3857,3798,3865,4640,4537,ms
Task Path,:domain:todo:kspDebugKotlin,3816,3922,3690,3868,4808,4710,ms
Task Path,:domain:timer:compileDebugKotlin,2085,2138,2095,2144,2372,2522,ms
Task Path,:domain:todo:compileDebugKotlin,2256,2300,2214,2289,2638,2750,ms
Task Path,:domain:video:kspDebugKotlin,3715,3728,3734,3727,4667,4617,ms
Task Path,:domain:weather:kspDebugKotlin,3371,3445,3411,3465,3967,4074,ms
Task Path,:domain:video:compileDebugKotlin,2176,2216,2167,2160,2486,2615,ms
Task Path,:domain:weather:compileDebugKotlin,2062,2033,2095,1973,2292,2333,ms
Task Path,:repository:article-contact:kspDebugKotlin,3423,3551,3388,3499,3855,4198,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,3731,3846,3690,3743,4379,4536,ms
Task Path,:repository:article-contact:compileDebugKotlin,1989,2032,1953,2042,2328,2346,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2062,2153,2055,2157,2377,2594,ms
Task Path,:repository:account-contact:kspDebugKotlin,3956,4203,3892,4263,4566,5038,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,4172,4292,4081,4228,4877,5174,ms
Task Path,:repository:account-contact:compileDebugKotlin,2133,2179,2077,2137,2481,2616,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2111,2097,2101,2053,2570,2505,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,3275,3345,3213,3312,3859,4091,ms
Task Path,:repository:cart-contact:kspDebugKotlin,3966,4008,3893,3917,4633,4910,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,1885,1844,1874,1843,2249,2163,ms
Task Path,:repository:cart-contact:compileDebugKotlin,2108,2083,2105,2102,2473,2523,ms
Task Path,:repository:checkout-contact:kspDebugKotlin,3356,3310,3369,3235,4058,3965,ms
Task Path,:repository:comment-contact:kspDebugKotlin,3476,3409,3402,3359,4324,4141,ms
Task Path,:repository:contact-contact:kspDebugKotlin,3286,3219,3206,3167,3931,3822,ms
Task Path,:repository:checkout-contact:compileDebugKotlin,1997,1961,1955,1951,2350,2351,ms
Task Path,:repository:comment-contact:compileDebugKotlin,2033,2050,2004,2036,2427,2415,ms
Task Path,:repository:contact-contact:compileDebugKotlin,1885,1913,1874,1851,2189,2422,ms
Task Path,:repository:document-contact:kspDebugKotlin,3323,3189,3330,3135,4010,3890,ms
Task Path,:repository:document-contact:compileDebugKotlin,1988,2052,1977,2025,2295,2538,ms
Task Path,:repository:event-contact:kspDebugKotlin,3330,3273,3323,3194,3958,3888,ms
Task Path,:repository:feed-contact:kspDebugKotlin,3361,3372,3346,3257,3833,4130,ms
Task Path,:repository:file-contact:kspDebugKotlin,3239,3256,3224,3262,3724,4045,ms
Task Path,:repository:feed-contact:compileDebugKotlin,1983,1983,1972,1969,2373,2338,ms
Task Path,:repository:event-contact:compileDebugKotlin,2007,2005,2008,1966,2394,2336,ms
Task Path,:repository:file-contact:compileDebugKotlin,1849,1874,1812,1833,2217,2294,ms
Task Path,:repository:forecast-contact:kspDebugKotlin,3103,3074,3053,3073,3656,3590,ms
Task Path,:repository:forecast-contact:compileDebugKotlin,1922,1948,1877,1844,2255,2578,ms
Task Path,:repository:group-contact:kspDebugKotlin,3059,3101,3012,3049,3710,3825,ms
Task Path,:repository:identity-contact:kspDebugKotlin,3174,3171,3078,3006,3800,3868,ms
Task Path,:repository:list-contact:kspDebugKotlin,3184,3138,3083,3070,3737,3614,ms
Task Path,:repository:location-contact:kspDebugKotlin,3024,3055,2980,2997,3524,3709,ms
Task Path,:repository:group-contact:compileDebugKotlin,1926,1991,1828,1931,2371,2548,ms
Task Path,:repository:identity-contact:compileDebugKotlin,2139,2174,2105,2037,2593,2790,ms
Task Path,:repository:list-contact:compileDebugKotlin,1990,1955,1931,1857,2584,2704,ms
Task Path,:repository:location-contact:compileDebugKotlin,1935,2075,1900,1934,2598,2703,ms
Task Path,:repository:log-contact:kspDebugKotlin,2974,2978,2915,2968,3639,3566,ms
Task Path,:repository:map-contact:kspDebugKotlin,3241,3158,3153,3152,3960,3783,ms
Task Path,:repository:login-contact:kspDebugKotlin,3442,3368,3344,3321,4119,3950,ms
Task Path,:repository:message-contact:kspDebugKotlin,3172,3022,3102,2913,3956,3762,ms
Task Path,:repository:log-contact:compileDebugKotlin,1858,1866,1806,1794,2321,2322,ms
Task Path,:repository:map-contact:compileDebugKotlin,2065,1942,2003,1875,2646,2375,ms
Task Path,:repository:message-contact:compileDebugKotlin,1998,1863,2044,1872,2301,2163,ms
Task Path,:repository:login-contact:compileDebugKotlin,2105,2035,2036,1946,2587,2529,ms
Task Path,:repository:metric-contact:kspDebugKotlin,3347,3216,3382,3160,3955,3892,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2000,1934,1955,1896,2317,2308,ms
Task Path,:repository:network-contact:kspDebugKotlin,3230,3127,3169,3119,3667,3796,ms
Task Path,:repository:note-contact:kspDebugKotlin,3328,3352,3325,3237,3733,4046,ms
Task Path,:repository:notification-contact:kspDebugKotlin,3366,3293,3394,3250,3900,4039,ms
Task Path,:repository:network-contact:compileDebugKotlin,1998,1943,1928,1924,2450,2322,ms
Task Path,:repository:note-contact:compileDebugKotlin,2005,1942,2006,1919,2376,2364,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2039,1950,1958,1887,2425,2450,ms
Task Path,:repository:photo-contact:kspDebugKotlin,3100,3104,3062,3034,3586,3537,ms
Task Path,:repository:photo-contact:compileDebugKotlin,1918,1963,1868,1907,2294,2432,ms
Task Path,:repository:playlist:kspDebugKotlin,3069,3051,3075,2945,3621,3739,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,3202,3332,3222,3268,3695,3908,ms
Task Path,:repository:post-contact:kspDebugKotlin,3678,3682,3616,3685,4436,4310,ms
Task Path,:repository:profile-contact:kspDebugKotlin,3069,3078,2972,3043,3609,3614,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,1820,1775,1758,1756,2249,2122,ms
Task Path,:repository:playlist:compileDebugKotlin,1879,1878,1906,1852,2358,2231,ms
