Category,Metric,varianta_r8 Mean,variantb_kill_process_before_r8 Mean,varianta_r8 P50,variantb_kill_process_before_r8 P50,varianta_r8 P90,variantb_kill_process_before_r8 P90,Unit
Build,Build time,507045,498696,505061,495041,531210,520179,ms
Build,Configuration time,46039,45163,44979,45009,49190,48926,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,0,0,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,40,36,35,36,65,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,36,32,35,32,51,39,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3493,3505,3020,3018,5801,5765,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,654,649,521,518,934,891,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,48,45,49,56,55,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,4,4,3,3,6,6,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,5,5,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,4,5,4,4,8,9,ms
Task Type,com.android.build.gradle.tasks.GenerateResValues,6,6,6,5,11,11,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,10,10,9,9,16,15,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,4,4,3,4,8,9,ms
Task Type,com.android.build.gradle.tasks.MergeResources,54,54,25,25,42,41,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,7,7,6,6,12,11,ms
Task Type,com.android.build.gradle.internal.tasks.ExtractNativeDebugMetadataTask,25,25,25,24,34,38,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,2,1,6,5,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,12,12,11,11,19,19,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,39,37,23,23,43,42,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,20,20,18,18,32,32,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,4435,4410,3795,3775,6539,6390,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,165,164,145,143,286,284,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,23,23,19,20,37,38,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,5,5,4,4,8,9,ms
Task Type,com.android.build.gradle.internal.tasks.ExportConsumerProguardFilesTask,6,5,5,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,249,250,226,242,371,387,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,2,2,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.tasks.MergeArtProfileTask,125,134,114,134,174,215,ms
Task Type,org.jetbrains.kotlin.gradle.tooling.BuildKotlinToolingMetadataTask$FromKotlinExtension,99,88,96,91,150,124,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,4,4,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,23,28,20,25,36,40,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,76,61,67,55,142,100,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,80,79,77,69,131,148,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,12,11,12,11,18,17,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,3,4,3,3,6,7,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,13,13,9,10,17,19,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,7,7,6,6,10,11,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,162,160,159,157,190,195,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,114,113,118,113,129,133,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,19,20,18,20,28,28,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,8,9,8,8,12,13,ms
