Category,Metric,varianta_2.2.21 Mean,variantb_2.3.0 Mean,varianta_2.2.21 P50,variantb_2.3.0 P50,varianta_2.2.21 P90,variantb_2.3.0 P90,Unit
Build,Build time,569213,567616,569242,566129,596533,596175,ms
Build,Configuration time,54823,52565,53071,50887,64737,62528,ms
Gradle process state,Gradle-Process-gcTime,0.51,0.52,0.51,0.52,0.56,0.6,
Kotlin process state,Kotlin-Process-gcTime,0.25,0.24,0.25,0.24,0.26,0.26,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3479,3507,3054,3058,5076,5125,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2064,2044,2046,2034,2380,2516,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,4530,4510,4050,4014,5964,5949,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4390,4364,3714,3897,9201,9063,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1535,1564,1501,1530,1740,1777,ms
Task Path,:build-logic:convention:compileKotlin,6790,6815,6751,6756,7158,7151,ms
Task Path,:app:app:parseDebugLocalResources,1917,1868,1677,1630,3412,3096,ms
Task Path,:app:app:mergeDebugResources,3688,3680,3604,3680,4222,4296,ms
Task Path,:app:app:processDebugResources,2064,2044,2046,2034,2380,2516,ms
Task Path,:core:alarm:kspDebugKotlin,15112,15167,15206,15101,15724,16141,ms
Task Path,:core:account:kspDebugKotlin,15913,16152,15985,16081,16682,17159,ms
Task Path,:core:analytics:kspDebugKotlin,14898,14970,14970,14874,15518,15890,ms
Task Path,:core:calendar:kspDebugKotlin,13415,13457,13484,13443,14106,14044,ms
Task Path,:core:alarm:compileDebugKotlin,11227,11438,11130,11334,11935,12052,ms
Task Path,:core:account:compileDebugKotlin,12314,12503,12258,12448,12915,13085,ms
Task Path,:core:calendar:compileDebugKotlin,12294,12530,12241,12425,12851,13378,ms
