Category,Metric,varianta_useMetro_true Mean,variantb_useMetro_false Mean,varianta_useMetro_true P50,variantb_useMetro_false P50,varianta_useMetro_true P90,variantb_useMetro_false P90,Unit
Build,Build time,120548,139476,121150,138161,124045,146975,ms
Build,Configuration time,36237,37654,36210,37402,37997,39389,ms
Gradle process state,Gradle-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-gcTime,0.06,0.07,0.05,0.07,0.06,0.08,
Gradle process state,Gradle-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Gradle process state,Gradle-Process-uptime,1.99,2.3,2.0,2.28,2.05,2.43,
Gradle process state,Gradle-Process-usage,2.25,2.11,2.28,2.15,2.66,2.85,
Kotlin process state,Kotlin-Process-capacity,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-gcTime,0.05,0.04,0.05,0.04,0.05,0.04,
Kotlin process state,Kotlin-Process-max,4.0,4.0,4.0,4.0,4.0,4.0,
Kotlin process state,Kotlin-Process-uptime,1.31,1.59,1.32,1.58,1.36,1.68,
Kotlin process state,Kotlin-Process-usage,0.9,1.02,0.89,1.0,1.07,1.22,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,44,44,44,45,52,51,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,19,7,7,46,49,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,6524,5683,5232,3759,12403,12693,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,375,786,5,596,733,1856,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,1,ms
Task Type,org.gradle.api.tasks.bundling.Jar,52,54,38,40,93,98,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,5,5,4,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,15,28,10,12,25,96,ms
Task Type,GenerateMetroGraphTask,159,,151,,211,,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,64,54,12,14,29,47,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,1366,1151,1436,1116,1594,1394,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,62,59,60,56,86,71,ms
