Category,Metric,varianta_9.3.1 Mean,variantb_9.4.0-rc-1 Mean,varianta_9.3.1 P50,variantb_9.4.0-rc-1 P50,varianta_9.3.1 P90,variantb_9.4.0-rc-1 P90,Unit
Build,Build time,503917,508496,499491,503940,526273,539733,ms
Build,Configuration time,45383,46405,44998,45421,49567,50707,ms
Gradle process state,Gradle-Process-gcTime,0.44,0.45,0.43,0.45,0.52,0.54,
Kotlin process state,Kotlin-Process-gcTime,0.19,0.2,0.19,0.2,0.21,0.22,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2541,2547,2134,2141,3869,3837,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,3672,3718,3174,3204,5153,5224,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2098,2088,2026,2034,2591,2528,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1323,1260,1286,1173,1699,1632,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,4956,4975,2787,2823,12119,12052,ms
Task Path,:build-logic:convention:compileKotlin,6858,6903,6806,6827,7206,7404,ms
Task Path,:core:cart:kspDebugKotlin,14092,14144,13955,13962,14714,15031,ms
Task Path,:core:contact:kspDebugKotlin,13068,13270,12979,13103,13664,14144,ms
Task Path,:core:comment:kspDebugKotlin,13388,13593,13279,13444,13896,14450,ms
Task Path,:core:checkout:kspDebugKotlin,13637,13828,13529,13654,14268,14691,ms
Task Path,:core:contact:compileDebugKotlin,7983,8084,7917,7960,8577,8688,ms
Task Path,:core:comment:compileDebugKotlin,7921,7971,7873,7856,8354,8391,ms
Task Path,:core:checkout:compileDebugKotlin,7996,8065,7951,7954,8493,8453,ms
Task Path,:core:cart:compileDebugKotlin,8281,8319,8240,8232,8786,8807,ms
Task Path,:core:feed:kspDebugKotlin,6619,6745,6683,6703,7282,7513,ms
Task Path,:core:identity:kspDebugKotlin,8039,8262,7970,8248,8762,8956,ms
Task Path,:core:login:kspDebugKotlin,7672,7825,7658,7756,8450,8448,ms
Task Path,:core:post:kspDebugKotlin,7662,7723,7509,7683,8783,8361,ms
Task Path,:core:feed:compileDebugKotlin,7426,7480,7301,7431,8430,8162,ms
Task Path,:core:feed:compileDebugJavaWithJavac,1018,1024,1005,997,1190,1237,ms
Task Path,:core:identity:compileDebugKotlin,5372,5320,5331,5251,6095,5900,ms
Task Path,:core:login:compileDebugKotlin,5582,5689,5517,5679,6215,6320,ms
Task Path,:core:post:compileDebugKotlin,5290,5426,5233,5325,6037,6044,ms
Task Path,:core:profile:kspDebugKotlin,5884,5936,5844,5850,6562,6635,ms
Task Path,:core:push:kspDebugKotlin,6381,6425,6400,6461,7223,7246,ms
Task Path,:core:user:kspDebugKotlin,6341,6500,6446,6592,7070,7322,ms
Task Path,:core:profile:compileDebugKotlin,5460,5608,5444,5656,6078,5972,ms
Task Path,:feature:log:kspDebugKotlin,7779,7963,7723,7994,8783,8865,ms
Task Path,:core:push:compileDebugKotlin,5363,5438,5360,5374,5909,6084,ms
Task Path,:core:user:compileDebugKotlin,5128,5250,5145,5163,5554,5957,ms
Task Path,:feature:log:compileDebugKotlin,4646,4841,4616,4837,5160,5439,ms
Task Path,:feature:network:kspDebugKotlin,5733,6054,5673,5892,6597,7011,ms
Task Path,:feature:account:kspDebugKotlin,5428,5656,5392,5606,6191,6424,ms
Task Path,:feature:group:kspDebugKotlin,5366,5529,5415,5445,6046,6543,ms
Task Path,:feature:network:compileDebugKotlin,4978,5121,5073,5073,5876,6127,ms
Task Path,:feature:metric:kspDebugKotlin,5629,5766,5657,5626,6359,6958,ms
Task Path,:feature:account:compileDebugKotlin,4799,4789,4842,4824,5735,5410,ms
Task Path,:feature:group:compileDebugKotlin,4666,4672,4665,4615,5515,5550,ms
Task Path,:feature:metric:compileDebugKotlin,4225,4157,4216,4170,4808,4708,ms
Task Path,:feature:notification:kspDebugKotlin,4470,4535,4243,4513,5601,5436,ms
Task Path,:feature:notification:compileDebugKotlin,3775,3712,3788,3624,4348,4183,ms
Task Path,:feature:search:kspDebugKotlin,5125,5135,5152,5181,5975,5940,ms
Task Path,:feature:report:kspDebugKotlin,5069,5136,5122,5170,6044,5887,ms
Task Path,:feature:setting:kspDebugKotlin,6181,6201,6224,6270,7326,7053,ms
Task Path,:feature:report:compileDebugKotlin,3807,3829,3788,3793,4413,4346,ms
Task Path,:feature:search:compileDebugKotlin,3680,3643,3755,3594,4106,4248,ms
Task Path,:feature:share:kspDebugKotlin,4789,4708,4836,4674,5503,5621,ms
Task Path,:feature:setting:compileDebugKotlin,3491,3431,3478,3426,4175,4026,ms
