Category,Metric,varianta_kotlin_2.3.10 Mean,variantb_kotlin_2.3.20 Mean,varianta_kotlin_2.3.10 P50,variantb_kotlin_2.3.20 P50,varianta_kotlin_2.3.10 P90,variantb_kotlin_2.3.20 P90,Unit
Build,Build time,553994,558244,555706,554566,578186,584637,ms
Build,Configuration time,61276,61172,61099,60613,69528,66824,ms
Gradle process state,Gradle-Process-capacity,4.22,4.22,4.18,4.18,4.6,4.49,
Gradle process state,Gradle-Process-gcTime,0.31,0.31,0.31,0.3,0.33,0.33,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,9.21,9.28,9.24,9.22,9.62,9.72,
Gradle process state,Gradle-Process-usage,3.11,3.1,3.1,3.01,3.62,3.72,
Kotlin process state,Kotlin-Process-capacity,3.04,3.0,3.01,2.98,3.31,3.24,
Kotlin process state,Kotlin-Process-gcTime,0.25,0.25,0.25,0.25,0.27,0.27,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,9.04,9.09,9.06,9.03,9.43,9.53,
Kotlin process state,Kotlin-Process-usage,1.15,1.31,1.19,1.36,1.87,1.91,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,7,7,8,7,10,9,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,32,31,30,29,40,46,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,40,43,37,41,54,61,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1953,1998,1642,1672,2959,2985,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,288,287,243,243,446,439,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,44,41,44,42,51,49,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,4,4,4,4,8,8,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,6,3,3,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,2,2,1,1,1,1,ms
