Category,Metric,varianta_kotlin_2.3.10 Mean,variantb_kotlin_2.3.20 Mean,varianta_kotlin_2.3.10 P50,variantb_kotlin_2.3.20 P50,varianta_kotlin_2.3.10 P90,variantb_kotlin_2.3.20 P90,Unit
Build,Build time,553994,558244,555706,554566,578186,584637,ms
Build,Configuration time,61276,61172,61099,60613,69528,66824,ms
Gradle process state,Gradle-Process-gcTime,0.31,0.31,0.31,0.3,0.33,0.33,
Kotlin process state,Kotlin-Process-gcTime,0.25,0.25,0.25,0.25,0.27,0.27,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,1953,1998,1642,1672,2959,2985,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1646,1646,1432,1442,2443,2397,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1847,1888,1815,1873,2121,2140,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1466,1431,1483,1479,1721,1784,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5251,5210,3034,3017,12682,12480,ms
Task Path,:build-logic:convention:compileKotlin,7049,7584,7062,7540,7404,7933,ms
Task Path,:api:account-user:parseDebugLocalResources,2041,1741,1638,1406,3574,3381,ms
Task Path,:core:account:kspDebugKotlin,6999,7110,6882,7219,7713,7602,ms
Task Path,:core:alarm:kspDebugKotlin,6619,6687,6477,6776,7371,7234,ms
Task Path,:core:article:kspDebugKotlin,6131,6187,5994,6172,6645,6677,ms
Task Path,:core:analytics:kspDebugKotlin,6331,6394,6182,6419,6888,6874,ms
Task Path,:core:account:compileDebugKotlin,7219,7885,7100,7702,8120,8841,ms
Task Path,:core:article:compileDebugKotlin,7030,7746,6987,7596,7753,8594,ms
Task Path,:core:analytics:compileDebugKotlin,7117,7843,6978,7668,7947,8755,ms
Task Path,:core:alarm:compileDebugKotlin,7177,7896,7091,7755,7991,8761,ms
Task Path,:core:calendar:kspDebugKotlin,2742,2741,2731,2648,3256,3378,ms
Task Path,:core:cart:kspDebugKotlin,3917,3835,3860,3832,4437,4343,ms
Task Path,:core:checkout:kspDebugKotlin,5336,5414,5344,5400,5963,6118,ms
Task Path,:core:comment:kspDebugKotlin,5162,5245,5137,5145,5834,6003,ms
Task Path,:core:calendar:compileDebugKotlin,6917,7164,6887,7116,7575,7946,ms
Task Path,:core:cart:compileDebugKotlin,5376,5700,5268,5717,6062,6201,ms
