Category,Metric,varianta_main Mean,variantb_9.5.0-rc-1 Mean,varianta_main P50,variantb_9.5.0-rc-1 P50,varianta_main P90,variantb_9.5.0-rc-1 P90,Unit
Build,Build time,492041,496417,489819,492510,510167,520371,ms
Build,Configuration time,53798,53409,53609,53535,57270,57586,ms
Gradle process state,Gradle-Process-capacity,3.79,3.88,3.76,3.86,4.04,4.22,
Gradle process state,Gradle-Process-gcTime,0.27,0.27,0.27,0.27,0.29,0.29,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,8.18,8.25,8.15,8.19,8.48,8.65,
Gradle process state,Gradle-Process-usage,2.74,2.68,2.78,2.58,3.24,3.39,
Kotlin process state,Kotlin-Process-capacity,3.13,3.15,3.04,3.1,3.69,3.58,
Kotlin process state,Kotlin-Process-gcTime,0.23,0.23,0.23,0.23,0.25,0.25,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,7.99,8.06,7.96,8.0,8.3,8.46,
Kotlin process state,Kotlin-Process-usage,1.28,1.16,1.36,1.17,1.96,1.77,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,7,9,7,8,10,11,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,30,37,29,33,42,57,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,39,47,38,42,56,75,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2081,2111,1728,1755,3170,3172,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,294,294,248,247,455,461,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,43,45,43,44,48,61,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,3,3,3,3,6,5,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,8,8,7,7,13,13,ms
Task Type,com.android.build.gradle.tasks.MergeResources,39,39,22,22,39,39,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,6,6,4,4,7,6,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,25,24,19,19,36,37,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,10,9,9,17,17,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,17,17,15,15,28,27,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1657,1669,1447,1453,2454,2466,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,103,100,94,91,157,155,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,12,12,11,11,20,20,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,6,5,3,3,6,7,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,10,11,10,9,17,19,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,9,8,9,8,12,13,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,5,5,5,8,8,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,3,4,3,4,6,6,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,89,65,85,66,141,93,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,20,20,17,17,26,26,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,0,1,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,11,13,12,12,18,20,ms
