Category,Metric,varianta_main Mean,variantb_9.5.0-rc-1 Mean,varianta_main P50,variantb_9.5.0-rc-1 P50,varianta_main P90,variantb_9.5.0-rc-1 P90,Unit
Build,Build time,492041,496417,489819,492510,510167,520371,ms
Build,Configuration time,53798,53409,53609,53535,57270,57586,ms
Gradle process state,Gradle-Process-gcTime,0.27,0.27,0.27,0.27,0.29,0.29,
Kotlin process state,Kotlin-Process-gcTime,0.23,0.23,0.23,0.23,0.25,0.25,
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,2081,2111,1728,1755,3170,3172,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1657,1669,1447,1453,2454,2466,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1735,1757,1724,1754,1997,1934,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1095,1074,1082,1035,1477,1448,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,5091,5072,2611,2532,12412,12709,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1017,978,1021,930,1356,1270,ms
Task Path,:build-logic:convention:compileKotlin,7516,7699,7490,7622,7818,8195,ms
Task Path,:core:account:kspDebugKotlin,6950,6996,6962,6969,7586,7440,ms
Task Path,:core:analytics:kspDebugKotlin,6258,6311,6257,6287,6829,6792,ms
Task Path,:core:alarm:kspDebugKotlin,6534,6583,6521,6548,7129,7063,ms
Task Path,:core:article:kspDebugKotlin,6071,6130,6079,6118,6597,6574,ms
Task Path,:core:article:compileDebugKotlin,7898,7977,7751,7937,8523,8520,ms
Task Path,:core:analytics:compileDebugKotlin,7915,8052,7805,8067,8511,8595,ms
Task Path,:core:account:compileDebugKotlin,8014,8218,7893,8290,8623,8820,ms
Task Path,:core:alarm:compileDebugKotlin,8012,8219,7881,8350,8580,8763,ms
Task Path,:core:audio:kspDebugKotlin,2701,2663,2659,2607,3156,3227,ms
Task Path,:core:calendar:kspDebugKotlin,3522,3441,3450,3337,4005,3950,ms
Task Path,:core:cart:kspDebugKotlin,3647,3557,3636,3491,4202,3991,ms
Task Path,:core:cart-contact:kspDebugKotlin,5266,5191,5174,5109,6149,5946,ms
Task Path,:core:audio:compileDebugKotlin,7023,6905,7033,6808,7739,7477,ms
Task Path,:core:cart:compileDebugKotlin,5408,5427,5423,5330,5962,5983,ms
Task Path,:core:calendar:compileDebugKotlin,5933,5992,5984,5921,6562,6587,ms
Task Path,:core:cart-contact:compileDebugKotlin,5364,5452,5293,5384,6177,6176,ms
Task Path,:core:checkout:kspDebugKotlin,4082,4172,4039,4196,4728,4733,ms
Task Path,:core:checkout-contact:kspDebugKotlin,2809,2933,2806,2898,3318,3476,ms
Task Path,:core:comment-contact:kspDebugKotlin,3007,3001,2985,2974,3423,3450,ms
Task Path,:core:comment:kspDebugKotlin,3928,4089,3866,4131,4426,4699,ms
Task Path,:core:checkout-contact:compileDebugKotlin,4377,4352,4362,4310,4805,4844,ms
Task Path,:core:checkout:compileDebugKotlin,4939,4960,4904,5026,5466,5561,ms
Task Path,:core:comment-contact:compileDebugKotlin,4206,4274,4177,4267,4629,4791,ms
Task Path,:core:comment:compileDebugKotlin,4035,4114,3976,4139,4575,4568,ms
Task Path,:core:contact:kspDebugKotlin,2367,2337,2379,2344,2743,2816,ms
Task Path,:core:contact-contact:kspDebugKotlin,2446,2414,2418,2376,3045,2893,ms
Task Path,:core:document:kspDebugKotlin,2586,2526,2536,2535,3065,2974,ms
Task Path,:core:event:kspDebugKotlin,3681,3658,3742,3574,4214,4264,ms
Task Path,:core:contact-contact:compileDebugKotlin,4356,4310,4345,4250,5173,4951,ms
Task Path,:core:contact:compileDebugKotlin,4640,4625,4580,4530,5304,5418,ms
