Category,Metric,varianta_baseline Mean,variantb_agp-9.2.1 Mean,varianta_baseline P50,variantb_agp-9.2.1 P50,varianta_baseline P90,variantb_agp-9.2.1 P90,Unit
Build,Build time,259862,267061,260737,266979,282223,284491,ms
Build,Configuration time,39901,46440,39323,41601,56435,61817,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3116,3142,2730,2732,4581,4615,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2314,2314,2057,2034,3135,3018,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3023,2811,3088,2824,3639,3567,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,6959,6667,1259,1197,19983,19330,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1683,1669,1622,1664,2265,1793,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1186,1109,1174,1096,1581,1438,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1094,1175,1159,1305,1672,1720,ms
Task Path,:build-logic:convention:compileKotlin,7991,8140,7927,8210,8308,8542,ms
Task Path,:app:app:parseDebugLocalResources,2364,2431,2363,2733,3732,4256,ms
Task Path,:core:cart:kspDebugKotlin,8022,8247,8004,8246,9026,8591,ms
Task Path,:core:contact:kspDebugKotlin,6981,7138,6946,7163,8041,7443,ms
Task Path,:core:comment:kspDebugKotlin,7383,7600,7389,7667,8236,7858,ms
Task Path,:core:checkout:kspDebugKotlin,7691,7892,7749,7985,8477,8114,ms
Task Path,:core:cart:compileDebugKotlin,8446,8649,8436,8719,9081,9837,ms
Task Path,:core:checkout:compileDebugKotlin,8162,8301,8246,8305,8800,9166,ms
Task Path,:core:comment:compileDebugKotlin,8113,8202,8126,8231,8711,9008,ms
Task Path,:core:contact:compileDebugKotlin,8267,8276,8153,8333,9076,8990,ms
Task Path,:core:cart:compileDebugJavaWithJavac,1310,1270,1733,1637,2287,2176,ms
Task Path,:core:feed:kspDebugKotlin,2734,2830,2693,2881,3152,3240,ms
Task Path,:core:group:kspDebugKotlin,2656,2784,2595,2704,3139,3438,ms
Task Path,:core:location:kspDebugKotlin,2912,2938,2866,2928,3399,3691,ms
Task Path,:core:identity:kspDebugKotlin,2996,3103,2897,3058,3698,3924,ms
Task Path,:core:feed:compileDebugKotlin,5408,5295,5343,5315,6053,6006,ms
Task Path,:core:group:compileDebugKotlin,5332,5435,5307,5302,5970,6628,ms
Task Path,:core:location:compileDebugKotlin,4887,4868,4840,4871,5399,5615,ms
Task Path,:core:identity:compileDebugKotlin,5049,5003,4908,4758,5893,6316,ms
Task Path,:core:message:kspDebugKotlin,2493,2301,2525,2099,2846,3082,ms
Task Path,:core:network:kspDebugKotlin,2564,2373,2457,2210,3184,3145,ms
Task Path,:core:login:kspDebugKotlin,2474,2238,2483,2293,2780,2422,ms
Task Path,:core:notification:kspDebugKotlin,2710,2457,2799,2322,3087,3370,ms
Task Path,:core:message:compileDebugKotlin,4165,4191,4188,4165,4787,4866,ms
Task Path,:core:login:compileDebugKotlin,4197,4332,4230,4540,4542,4851,ms
Task Path,:core:network:compileDebugKotlin,4205,4207,4275,4157,4622,5091,ms
Task Path,:core:notification:compileDebugKotlin,3959,4264,3842,4345,4566,5039,ms
Task Path,:core:post:kspDebugKotlin,2230,2268,2199,2259,2775,2703,ms
Task Path,:core:profile:kspDebugKotlin,2441,2585,2427,2551,3093,3145,ms
Task Path,:core:push:kspDebugKotlin,2496,2490,2371,2451,3470,3003,ms
Task Path,:core:search:kspDebugKotlin,2730,2813,2709,2812,3582,3468,ms
Task Path,:core:post:compileDebugKotlin,4381,4578,4356,4614,4952,5086,ms
Task Path,:core:profile:compileDebugKotlin,4003,4209,3908,4127,4458,4826,ms
Task Path,:core:push:compileDebugKotlin,3801,4200,3759,4173,4251,4701,ms
Task Path,:core:search:compileDebugKotlin,3512,3819,3415,3772,3940,4288,ms
Task Path,:core:share:kspDebugKotlin,2179,2160,2166,2045,2600,2726,ms
Task Path,:core:user:kspDebugKotlin,2127,2133,2094,2024,2518,2872,ms
Task Path,:core:setting:kspDebugKotlin,3017,2783,3034,2757,3582,3504,ms
Task Path,:core:sync:kspDebugKotlin,3243,3071,3282,3019,3664,3962,ms
Task Path,:core:user:compileDebugKotlin,4223,4243,4222,4308,4890,4814,ms
Task Path,:core:share:compileDebugKotlin,4541,4381,4430,4459,5116,5113,ms
Task Path,:core:setting:compileDebugKotlin,4083,3935,4078,4054,4816,4441,ms
Task Path,:core:sync:compileDebugKotlin,3753,3710,3635,3817,4650,4447,ms
Task Path,:feature:list:kspDebugKotlin,2015,2175,1808,2146,2793,2582,ms
Task Path,:feature:event:kspDebugKotlin,2698,2757,2609,2746,3674,3482,ms
Task Path,:feature:forecast:kspDebugKotlin,2853,2991,2750,3051,3679,3444,ms
Task Path,:feature:report:kspDebugKotlin,2418,2381,2241,2366,3194,2985,ms
Task Path,:feature:event:compileDebugKotlin,3413,3436,3398,3429,4159,3768,ms
Task Path,:feature:list:compileDebugKotlin,3728,3597,3793,3570,4109,3989,ms
Task Path,:feature:forecast:compileDebugKotlin,3185,3205,3205,3253,3706,3637,ms
Task Path,:feature:report:compileDebugKotlin,3203,3304,3088,3248,4045,3768,ms
Task Path,:feature:session:kspDebugKotlin,1722,1789,1697,1659,2139,2194,ms
Task Path,:feature:account:kspDebugKotlin,2042,2077,1999,1995,2752,2535,ms
Task Path,:feature:alarm:kspDebugKotlin,2147,2114,2048,1985,2594,2792,ms
Task Path,:feature:analytics:kspDebugKotlin,2265,2184,2220,2225,2749,2597,ms
Task Path,:feature:alarm:compileDebugKotlin,3410,3433,3474,3456,3627,3992,ms
Task Path,:feature:account:compileDebugKotlin,3222,3235,3178,3249,3633,3670,ms
Task Path,:feature:session:compileDebugKotlin,3732,3536,3875,3409,4164,4466,ms
Task Path,:feature:analytics:compileDebugKotlin,3242,3402,3187,3355,3683,3804,ms
Task Path,:domain:article:kspDebugKotlin,1572,1644,1527,1612,1938,2043,ms
Task Path,:feature:calendar:kspDebugKotlin,2123,2174,2179,2144,2522,2679,ms
Task Path,:feature:map:kspDebugKotlin,2287,2295,2263,2340,2698,2758,ms
Task Path,:feature:log:kspDebugKotlin,3020,3183,2940,3049,3677,4086,ms
Task Path,:domain:article:compileDebugKotlin,3381,3584,3250,3586,4143,3967,ms
Task Path,:feature:calendar:compileDebugKotlin,3460,3715,3322,3831,4605,4110,ms
Task Path,:feature:map:compileDebugKotlin,3391,3760,3330,3957,4724,4119,ms
Task Path,:feature:log:compileDebugKotlin,3320,3479,3201,3588,4500,3766,ms
Task Path,:feature:metric:kspDebugKotlin,2076,2027,2023,2074,2796,2425,ms
Task Path,:feature:status:kspDebugKotlin,2443,2357,2392,2294,2914,2899,ms
Task Path,:feature:note:kspDebugKotlin,3195,3012,3126,2870,3500,3825,ms
Task Path,:feature:metric:compileDebugKotlin,3035,2939,3010,2893,3465,3291,ms
Task Path,:feature:task:kspDebugKotlin,2625,2464,2541,2518,2969,2929,ms
Task Path,:feature:note:compileDebugKotlin,3306,3440,3247,3464,3988,4075,ms
Task Path,:feature:status:compileDebugKotlin,3412,3508,3485,3567,3856,3911,ms
Task Path,:feature:timer:kspDebugKotlin,2334,2290,2338,2269,3008,2955,ms
Task Path,:feature:task:compileDebugKotlin,3236,3401,3325,3295,3580,4195,ms
Task Path,:feature:weather:kspDebugKotlin,2308,2123,2233,2194,2735,2466,ms
Task Path,:feature:todo:kspDebugKotlin,2428,2170,2390,2179,2832,2957,ms
Task Path,:feature:file:kspDebugKotlin,2262,2134,2280,2141,2423,2548,ms
Task Path,:feature:timer:compileDebugKotlin,3317,3038,3365,2973,3860,3734,ms
Task Path,:feature:weather:compileDebugKotlin,2843,2868,2839,2842,3264,3323,ms
Task Path,:feature:todo:compileDebugKotlin,3068,2998,3102,2881,3579,3634,ms
Task Path,:feature:file:compileDebugKotlin,2728,2714,2709,2817,3457,3398,ms
Task Path,:feature:document:kspDebugKotlin,2037,2035,1930,1914,2916,2650,ms
Task Path,:domain:audio:kspDebugKotlin,2143,1889,2137,1783,2593,2363,ms
Task Path,:domain:comment-contact:kspDebugKotlin,2196,2087,2153,2033,2660,2420,ms
Task Path,:domain:cart-contact:kspDebugKotlin,2931,2656,2997,2592,3707,3311,ms
Task Path,:feature:document:compileDebugKotlin,2826,2627,2857,2620,3650,3190,ms
Task Path,:domain:audio:compileDebugKotlin,2868,2931,2874,2884,3050,3377,ms
Task Path,:domain:comment-contact:compileDebugKotlin,2744,2732,2654,2751,3510,3039,ms
Task Path,:domain:cart-contact:compileDebugKotlin,2634,2647,2518,2740,3587,2962,ms
Task Path,:domain:checkout-contact:kspDebugKotlin,2111,1975,1934,1976,2797,2250,ms
Task Path,:domain:checkout-contact:compileDebugKotlin,2443,2459,2349,2534,3005,2844,ms
Task Path,:domain:contact-contact:kspDebugKotlin,2019,1736,1929,1672,2778,2274,ms
Task Path,:domain:feed-contact:kspDebugKotlin,2066,1937,1944,1854,2752,2618,ms
Task Path,:domain:gallery:kspDebugKotlin,2071,2115,2012,2096,2802,2850,ms
Task Path,:domain:identity-contact:kspDebugKotlin,2223,2225,2156,2236,3013,2858,ms
Task Path,:domain:contact-contact:compileDebugKotlin,2633,2551,2722,2527,2840,2886,ms
Task Path,:domain:gallery:compileDebugKotlin,2681,2613,2632,2526,3336,3237,ms
Task Path,:domain:feed-contact:compileDebugKotlin,2893,2657,2871,2635,3304,3299,ms
Task Path,:domain:identity-contact:compileDebugKotlin,2331,2410,2236,2346,3364,3169,ms
Task Path,:domain:login-contact:kspDebugKotlin,1869,1882,1921,1877,2597,2421,ms
Task Path,:domain:media:kspDebugKotlin,1794,1804,1865,1795,2211,2277,ms
Task Path,:domain:news:kspDebugKotlin,1846,1968,1877,1994,2215,2540,ms
Task Path,:domain:photo:kspDebugKotlin,2685,2749,2724,2554,3333,3850,ms
Task Path,:domain:media:compileDebugKotlin,2856,2768,2744,2727,3618,3314,ms
Task Path,:domain:login-contact:compileDebugKotlin,2698,2835,2674,2857,3092,3200,ms
Task Path,:domain:news:compileDebugKotlin,2628,2743,2715,2831,3104,2945,ms
Task Path,:domain:photo:compileDebugKotlin,2262,2265,2298,2276,2760,2758,ms
Task Path,:domain:playlist:kspDebugKotlin,1802,1669,1790,1747,2494,1966,ms
Task Path,:domain:podcast:kspDebugKotlin,1982,1643,1933,1672,2670,2047,ms
Task Path,:domain:profile-contact:kspDebugKotlin,2043,1950,2007,1952,2712,2256,ms
Task Path,:domain:post-contact:kspDebugKotlin,2714,2542,2591,2504,3775,3579,ms
Task Path,:domain:playlist:compileDebugKotlin,2741,2730,2667,2850,3436,3256,ms
Task Path,:domain:podcast:compileDebugKotlin,2634,2719,2623,2695,3235,3059,ms
Task Path,:domain:profile-contact:compileDebugKotlin,2278,2402,2368,2320,2600,2746,ms
Task Path,:domain:post-contact:compileDebugKotlin,2354,2435,2370,2348,2783,3003,ms
Task Path,:domain:user-contact:kspDebugKotlin,1733,1747,1805,1689,2105,2277,ms
Task Path,:domain:push-contact:kspDebugKotlin,2394,2192,2459,2194,3274,2850,ms
Task Path,:domain:video:kspDebugKotlin,1891,1763,1812,1767,2644,2228,ms
Task Path,:repository:account-contact:kspDebugKotlin,2377,2531,2197,2429,3145,3094,ms
Task Path,:domain:user-contact:compileDebugKotlin,2787,2632,2658,2539,4144,3389,ms
Task Path,:domain:push-contact:compileDebugKotlin,2600,2540,2540,2496,3114,3303,ms
Task Path,:domain:video:compileDebugKotlin,2363,2294,2229,2187,3335,2877,ms
Task Path,:repository:account-contact:compileDebugKotlin,1957,2233,1868,2162,2557,2762,ms
Task Path,:repository:analytics-contact:kspDebugKotlin,1673,1869,1652,1699,2187,2410,ms
Task Path,:repository:calendar-contact:kspDebugKotlin,1621,1847,1618,1865,2026,2198,ms
Task Path,:repository:group-contact:kspDebugKotlin,1789,1896,1824,1829,2021,2660,ms
Task Path,:repository:location-contact:kspDebugKotlin,1903,1813,1944,1808,2311,2434,ms
Task Path,:repository:calendar-contact:compileDebugKotlin,2711,2528,2775,2477,3132,2972,ms
Task Path,:repository:analytics-contact:compileDebugKotlin,2933,2520,2912,2633,3292,3146,ms
Task Path,:repository:group-contact:compileDebugKotlin,2584,2436,2589,2398,2842,2806,ms
Task Path,:repository:location-contact:compileDebugKotlin,2415,2358,2486,2501,2953,2713,ms
Task Path,:repository:log-contact:kspDebugKotlin,1318,1554,1216,1445,1854,2079,ms
Task Path,:repository:message-contact:kspDebugKotlin,1443,1645,1358,1572,1905,2344,ms
Task Path,:repository:network-contact:kspDebugKotlin,1615,1863,1613,1816,1981,2713,ms
Task Path,:repository:notification-contact:kspDebugKotlin,1689,2024,1691,1875,2208,2777,ms
Task Path,:repository:message-contact:compileDebugKotlin,2222,2518,2166,2475,2788,2950,ms
Task Path,:repository:log-contact:compileDebugKotlin,2237,2659,2143,2451,2840,3315,ms
Task Path,:repository:notification-contact:compileDebugKotlin,2058,2200,1975,2211,2615,2699,ms
Task Path,:repository:network-contact:compileDebugKotlin,2206,2253,2150,2185,2724,2862,ms
Task Path,:repository:search-contact:kspDebugKotlin,1344,1417,1280,1474,2017,1757,ms
Task Path,:repository:session-contact:kspDebugKotlin,1435,1549,1460,1524,1816,1952,ms
Task Path,:repository:setting-contact:kspDebugKotlin,1613,1749,1689,1707,1906,2299,ms
Task Path,:repository:sync-contact:kspDebugKotlin,1661,1734,1619,1735,1916,2148,ms
Task Path,:repository:search-contact:compileDebugKotlin,2063,2271,2029,2132,2452,2997,ms
Task Path,:repository:session-contact:compileDebugKotlin,2094,2251,2080,2310,2315,2838,ms
Task Path,:repository:setting-contact:compileDebugKotlin,1921,2062,1855,1853,2351,2857,ms
Task Path,:repository:sync-contact:compileDebugKotlin,1920,2244,1875,2272,2288,2753,ms
Task Path,:repository:task-contact:kspDebugKotlin,1224,1451,1153,1427,1576,2067,ms
Task Path,:repository:task-contact:compileDebugKotlin,2102,2341,2111,2273,2466,3007,ms
Task Path,:repository:share-contact:kspDebugKotlin,2129,2220,2150,2226,2470,2934,ms
Task Path,:repository:status-contact:kspDebugKotlin,2307,2400,2300,2373,2586,3129,ms
Task Path,:repository:alarm-contact:kspDebugKotlin,2442,2328,2434,2374,3055,2742,ms
Task Path,:repository:share-contact:compileDebugKotlin,2228,2269,2169,2283,2620,2598,ms
Task Path,:model:article-contact:kspDebugKotlin,1492,1462,1361,1444,2466,1810,ms
Task Path,:repository:status-contact:compileDebugKotlin,2306,2176,2178,2270,2827,2552,ms
Task Path,:repository:alarm-contact:compileDebugKotlin,2179,2102,2131,2086,2681,2570,ms
Task Path,:model:article-contact:compileDebugKotlin,1998,2128,1909,2089,3091,3318,ms
Task Path,:model:audio-contact:kspDebugKotlin,1516,1494,1422,1421,2301,2245,ms
Task Path,:repository:metric-contact:kspDebugKotlin,1765,1812,1591,1888,3140,2229,ms
Task Path,:model:contact-login:kspDebugKotlin,2197,2190,2027,2338,3180,2523,ms
Task Path,:repository:event-contact:kspDebugKotlin,1768,1629,1582,1640,2621,2116,ms
Task Path,:model:audio-contact:compileDebugKotlin,2288,2371,2358,2365,2670,2989,ms
Task Path,:repository:metric-contact:compileDebugKotlin,2421,2400,2553,2410,2744,2911,ms
Task Path,:model:contact-login:compileDebugKotlin,2213,2294,2260,2380,2534,2642,ms
Task Path,:repository:event-contact:compileDebugKotlin,2118,2144,2232,2156,2529,2821,ms
Task Path,:model:document-contact:kspDebugKotlin,1471,1434,1525,1398,1836,1892,ms
Task Path,:repository:report-contact:kspDebugKotlin,1474,1565,1527,1380,2138,2119,ms
Task Path,:model:gallery-contact:kspDebugKotlin,2255,2156,2228,2114,3163,2650,ms
Task Path,:model:photo-contact:kspDebugKotlin,1684,1540,1699,1533,1982,2237,ms
Task Path,:model:document-contact:compileDebugKotlin,2145,2352,2068,2436,3092,2730,ms
Task Path,:repository:report-contact:compileDebugKotlin,2098,2083,2065,2106,2627,2516,ms
Task Path,:model:gallery-contact:compileDebugKotlin,2343,2011,2255,2005,2932,2430,ms
Task Path,:model:photo-contact:compileDebugKotlin,2429,2055,2383,2027,3011,2705,ms
Task Path,:model:file-contact:kspDebugKotlin,1568,1410,1533,1391,2036,1842,ms
Task Path,:model:forecast-contact:kspDebugKotlin,1583,1426,1645,1483,1919,1725,ms
Task Path,:model:list-contact:kspDebugKotlin,1704,1535,1705,1467,2321,1916,ms
Task Path,:model:map-contact:kspDebugKotlin,1470,1554,1434,1538,2026,1827,ms
Task Path,:model:forecast-contact:compileDebugKotlin,2114,2067,2060,2046,2624,2431,ms
Task Path,:model:file-contact:compileDebugKotlin,2159,2036,2086,2068,2639,2353,ms
Task Path,:model:list-contact:compileDebugKotlin,2022,2081,1943,2072,2355,2450,ms
Task Path,:model:map-contact:compileDebugKotlin,1922,1903,1861,1879,2578,2435,ms
Task Path,:model:media-contact:kspDebugKotlin,1526,1534,1388,1558,2433,1947,ms
Task Path,:model:news-contact:kspDebugKotlin,2000,2108,1908,2057,2854,2530,ms
Task Path,:model:note-contact:kspDebugKotlin,1759,1735,1726,1691,2630,2149,ms
Task Path,:model:playlist-contact:kspDebugKotlin,1601,1395,1585,1409,2285,1844,ms
Task Path,:model:media-contact:compileDebugKotlin,2018,1989,1997,1997,2418,2302,ms
Task Path,:model:news-contact:compileDebugKotlin,2229,2096,2132,2062,3233,2933,ms
Task Path,:model:note-contact:compileDebugKotlin,2156,2039,2038,2084,3155,2632,ms
Task Path,:model:playlist-contact:compileDebugKotlin,1952,1867,1895,1930,2878,2325,ms
Task Path,:model:podcast-contact:kspDebugKotlin,1399,1570,1419,1563,2193,1952,ms
Task Path,:model:push-login:kspDebugKotlin,1541,1639,1567,1580,1913,2141,ms
Task Path,:model:timer-contact:kspDebugKotlin,1625,1572,1527,1475,2079,2361,ms
Task Path,:model:todo-contact:kspDebugKotlin,1966,1895,1950,1871,2608,2504,ms
Task Path,:model:podcast-contact:compileDebugKotlin,2077,1952,2117,2018,2463,2512,ms
Task Path,:model:push-login:compileDebugKotlin,1975,2006,1948,1931,2640,2695,ms
Task Path,:model:timer-contact:compileDebugKotlin,1907,1886,1935,1860,2394,2697,ms
Task Path,:model:todo-contact:compileDebugKotlin,1731,1873,1696,1848,2109,2337,ms
Task Path,:model:video-contact:kspDebugKotlin,1346,1597,1300,1558,2149,2328,ms
Task Path,:model:weather-contact:kspDebugKotlin,1591,1628,1543,1583,2211,2349,ms
Task Path,:app:app:generateDebugGlobalSynthetics,3023,2811,3088,2824,3639,3567,ms
Task Path,:model:video-contact:compileDebugKotlin,1720,1602,1683,1463,2004,2104,ms
Task Path,:model:weather-contact:compileDebugKotlin,1753,1734,1761,1620,2040,2367,ms
Task Path,:app:app:kspDebugKotlin,4332,4829,4766,5067,5273,5964,ms
Task Path,:app:app:compileDebugKotlin,3557,3251,3456,3249,4594,4082,ms
Task Path,:app:app:mergeDebugJavaResource,2570,2660,2597,2494,3017,3728,ms
Task Path,:app:app:mergeExtDexDebug,19356,18493,19263,18413,20814,20172,ms
Task Path,:app:app:mergeLibDexDebug,1215,1219,1259,1197,1463,1812,ms
Task Path,:app:app:hiltJavaCompileDebug,3968,3752,4165,3622,4730,4703,ms
Task Path,:app:app:mergeDebugResources,3524,3667,3544,3775,4281,4184,ms
Task Path,:app:app:processDebugResources,1683,1669,1622,1664,2265,1793,ms
Task Path,:app:app:validateSigningDebug,1186,1109,1174,1096,1581,1438,ms
Task Path,:app:app:stripDebugDebugSymbols,1129,1091,1220,1229,1613,1639,ms
Task Path,:app:app:dexBuilderDebug,1094,1175,1159,1305,1672,1720,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,8.34,8.65,8.33,8.65,9.0,9.0,Gb
Build process cpu,Max,96.2,95.9,96.0,96.0,97,97,%
Build processes memory,Max,3.94,4.17,3.86,4.18,4.66,4.69,Gb
Build child processes cpu,Max,94.8,94.4,94.5,94.5,96,96,%
Build child processes memory,Max,3.34,3.41,3.28,3.36,3.65,3.78,Gb
