Category,Metric,varianta_baseline Mean,variantb_kotlin-2.3.21 Mean,varianta_baseline P50,variantb_kotlin-2.3.21 P50,varianta_baseline P90,variantb_kotlin-2.3.21 P90,Unit
Build,Build time,265725,270138,264847,271717,285050,289119,ms
Build,Configuration time,40455,38658,40044,38566,45854,42180,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,4,3,4,4,6,5,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,28,30,27,27,38,47,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,39,42,39,39,49,63,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3209,3435,2730,2738,5221,5169,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,404,407,340,344,599,611,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,43,46,43,46,56,62,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,2,2,2,2,4,4,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,11,11,10,10,19,18,ms
Task Type,com.android.build.gradle.tasks.MergeResources,81,82,32,32,58,58,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,10,9,5,5,9,8,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,48,48,30,30,55,54,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,26,26,23,23,42,43,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,15,15,13,13,24,24,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,2512,2514,2193,2200,3585,3659,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,117,117,107,108,179,179,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,18,16,16,28,28,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,10,9,5,5,12,12,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,14,14,13,14,26,26,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,9,9,9,17,15,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,5,6,5,5,10,10,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,5,5,5,5,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,23,25,16,16,26,26,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,64,89,55,67,114,173,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,17,21,17,20,30,29,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,4,4,3,3,10,10,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,27,27,21,21,34,36,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,333,356,337,363,433,474,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,1,0,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,237,245,237,235,308,336,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,243,252,221,246,362,332,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,56,37,39,36,99,59,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,10,9,9,8,16,14,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,9,8,7,7,18,15,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,165,188,155,159,216,250,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,57,57,50,50,77,76,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2032,2107,2001,2056,2505,2586,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,29,32,5,5,10,11,ms
