Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Build,Build time,635716,633923,637299,632473,659892,677351,ms
Build,Configuration time,59524,59764,58413,58185,68193,68326,ms
Gradle process state,Gradle-Process-capacity,5.78,5.65,5.8,5.64,5.86,5.84,
Gradle process state,Gradle-Process-gcTime,0.27,0.27,0.27,0.27,0.29,0.29,
Gradle process state,Gradle-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Gradle process state,Gradle-Process-uptime,10.58,10.55,10.61,10.52,10.98,11.27,
Gradle process state,Gradle-Process-usage,3.9,3.42,3.81,3.12,5.31,4.99,
Kotlin process state,Kotlin-Process-capacity,2.46,2.52,2.42,2.45,2.74,2.97,
Kotlin process state,Kotlin-Process-gcTime,0.46,0.47,0.46,0.47,0.53,0.51,
Kotlin process state,Kotlin-Process-max,6.0,6.0,6.0,6.0,6.0,6.0,
Kotlin process state,Kotlin-Process-uptime,10.37,10.34,10.39,10.31,10.78,11.06,
Kotlin process state,Kotlin-Process-usage,0.49,0.43,0.43,0.44,0.65,0.55,
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,7,8,7,8,10,10,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,35,64,31,57,56,115,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,48,56,44,44,79,105,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3129,3125,2654,2642,4819,4753,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,315,316,265,266,457,467,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,0,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,55,49,47,47,82,66,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,7,3,4,3,7,6,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,8,8,7,7,13,14,ms
Task Type,com.android.build.gradle.tasks.MergeResources,40,39,22,21,37,38,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessNavigationXmlTask,6,6,4,4,7,7,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,26,26,19,19,34,35,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,10,10,9,9,17,17,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,17,17,15,15,27,27,ms
Task Type,com.google.devtools.ksp.gradle.KspAATask,1681,1710,1489,1504,2384,2443,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,144,140,130,126,222,216,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,18,18,17,16,28,28,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,4,5,4,4,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,15,16,16,14,23,26,ms
Task Type,com.android.build.gradle.internal.tasks.GlobalSyntheticsGeneratorTask,3042,3076,3032,3023,3541,3629,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,10,10,8,8,17,17,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,10,13,10,13,17,22,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,220,227,224,229,310,276,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesDir,106,100,102,96,149,142,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,17,17,5,5,9,8,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,8364,8333,6218,5857,19192,19449,ms
Task Type,dagger.hilt.android.plugin.task.HiltSyncTask,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,22,18,3,3,6,6,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,3668,3526,3967,3684,4837,4445,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,4,4,4,4,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,21,21,17,17,25,25,ms
Task Type,com.android.build.gradle.tasks.CompileNavigationXmlTask,67,67,64,62,90,94,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,16,20,16,18,24,32,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,2,2,2,2,5,5,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,21,21,12,12,21,21,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,333,328,337,331,458,422,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,205,191,204,193,262,245,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,9,8,8,8,14,13,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,51,48,41,35,87,85,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,3,3,2,2,5,5,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,2819,2646,2769,2709,3468,3012,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,1114,1215,986,970,1691,1900,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,6,7,5,5,11,9,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,33,34,33,32,47,62,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,3,3,1,1,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1037,981,885,859,1875,1470,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,11,11,9,9,14,14,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,2,2,2,2,3,3,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,1,1,2,2,3,3,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,1,1,1,1,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,2,2,2,2,2,2,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,37,35,34,31,53,50,ms
Task Type,com.android.build.gradle.tasks.BundleAar,10,10,9,9,13,13,ms
Task Type,org.gradle.api.Task,0,0,0,0,0,0,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,1191,1075,1078,1034,1674,1446,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,3,3,3,3,5,4,ms
Task Path,:build-logic:convention:compileKotlin,8469,8419,8484,8373,8987,8904,ms
Task Path,:app:app:parseDebugLocalResources,1619,1607,1127,1283,3793,2764,ms
Task Path,:core:article:kspDebugKotlin,7328,7457,7283,7472,7720,7929,ms
Task Path,:core:alarm:kspDebugKotlin,7781,7945,7758,7910,8150,8451,ms
Task Path,:core:account:kspDebugKotlin,8425,8553,8403,8466,8917,9111,ms
Task Path,:core:analytics:kspDebugKotlin,7515,7655,7482,7645,7903,8124,ms
Task Path,:core:alarm:compileDebugKotlin,12048,12103,12128,12012,12768,12920,ms
